                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              5.10023              1.31462             0.948647             0.920333               0.7543             0.626573            0.0709321            -0.340897 
                 0.4              10.2653              1.28627             0.898164             0.842352             0.534266             0.309147            -0.573672             -1.07545 
                 0.6              15.5553              1.25493             0.848369              0.76542             0.338076            0.0422884            -0.979776             -1.33416 
                 0.8              21.0218              1.22117             0.799139             0.689096             0.164506            -0.177447              -1.1861             -1.22394 
                   1              26.7036              1.18564             0.750419             0.613166            0.0127905            -0.352053             -1.22706            -0.838336 
                 1.2              32.6247              1.14902             0.702228              0.53765            -0.117558            -0.482688             -1.13486            -0.264572 
                 1.4              38.7926              1.11196             0.654654             0.462792            -0.226923            -0.570316            -0.940791             0.413232 
                 1.6              45.1971              1.07502             0.607853             0.389044            -0.315761              -0.6163            -0.675595              1.11423 
                 1.8               51.811              1.03868             0.562041             0.317017            -0.384748            -0.622895            -0.368998              1.76397 
                   2              58.5908              1.00333             0.517483             0.247434            -0.434894            -0.593555           -0.0486801               2.2993 
                 2.2               65.478             0.969279             0.474477             0.181062            -0.467608            -0.533024             0.261112              2.67353 
                 2.4              72.4024             0.936773             0.433335             0.118648            -0.484702            -0.447187             0.540913               2.8604 
                 2.6              79.2842             0.906008             0.394362            0.0608529            -0.488346            -0.342717             0.777053              2.85547 
                 2.8              86.0381             0.877145             0.357836           0.00820535             -0.48096            -0.226589             0.962012              2.67447 
                   3              92.5767              0.85032             0.323988           -0.0389461             -0.46508            -0.105524              1.09413              2.34876 
                 3.2              98.8144             0.825645             0.292995           -0.0804407            -0.443212            0.0144795              1.17664               1.9192 
                 3.4              104.671             0.803212             0.264968            -0.116313            -0.417689             0.128529              1.21628              1.42942 
                 3.6              110.079             0.783076             0.239944            -0.146781            -0.390561             0.233059              1.22185             0.919899 
                 3.8              114.983             0.765258             0.217887            -0.172216            -0.363506             0.325876              1.20271              0.42378 
                   4              119.348              0.74974              0.19869              -0.1931            -0.337803             0.406029              1.16764           -0.0351619 
                 4.2              123.155             0.736472              0.18219            -0.209966            -0.314354             0.473537              1.12419            -0.442363 
                 4.4              126.397             0.725384             0.168194             -0.22335            -0.293741             0.529066              1.07828            -0.790852 
                 4.6              129.083             0.716374             0.156525            -0.233753            -0.276284             0.573602              1.03435             -1.07892 
                 4.8              131.233             0.709293             0.147031            -0.241644            -0.262072             0.608316             0.995364             -1.30866 
                   5              132.888             0.703937             0.139535            -0.247459            -0.250986             0.634529             0.962977             -1.48512 
                 5.2              134.109             0.700063             0.133831            -0.251606            -0.242729             0.653623             0.937703             -1.61529 
                 5.4              134.965             0.697399             0.129673            -0.254449            -0.236885             0.666973             0.919166             -1.70715 
                 5.6              135.534             0.695667             0.126791            -0.256311            -0.232973             0.675877             0.906413             -1.76882 
                 5.8              135.891              0.69461             0.124904            -0.257468            -0.230511             0.681505             0.898206             -1.80797 
                   6              136.099             0.694008             0.123745            -0.258145             -0.22906             0.684852             0.893281             -1.83134 
                 6.2              136.213              0.69369             0.123083            -0.258515            -0.228266             0.686709             0.890544             -1.84434 
                 6.4               136.27             0.693534             0.122733            -0.258702            -0.227863             0.687666             0.889137             -1.85104 
                 6.6              136.296             0.693466             0.122563            -0.258789            -0.227677             0.688117             0.888476             -1.85421 
                 6.8              136.307             0.693438             0.122488            -0.258826            -0.227598             0.688312             0.888192             -1.85558 
                   7              136.312             0.693427             0.122458             -0.25884            -0.227567             0.688389             0.888081             -1.85612 
                 7.2              136.313             0.693424             0.122447            -0.258845            -0.227557             0.688415             0.888043             -1.85631 
                 7.4              136.314             0.693423             0.122444            -0.258846            -0.227554             0.688424             0.888031             -1.85637 
                 7.6              136.314             0.693423             0.122443            -0.258847            -0.227553             0.688426             0.888028             -1.85639 
                 7.8              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
                   8              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
                 8.2              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
                 8.4              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
                 8.6              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
                 8.8              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
                   9              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
                 9.2              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
                 9.4              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
                 9.6              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
                 9.8              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
                  10              136.314             0.693423             0.122442            -0.258847            -0.227553             0.688427             0.888027             -1.85639 
