                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              11.7651              1.37103             0.881844             0.825956             0.467377             0.252158              -0.7339             -1.12618 
                 0.4              23.6532              1.30876              0.76923             0.663463            0.0665734            -0.226153             -1.25046             -1.00341 
                 0.6              35.7801              1.24392             0.661941             0.511741            -0.220127            -0.482941             -1.03551             0.133777 
                 0.8              48.2469              1.17699             0.559943             0.370547            -0.408188            -0.559454            -0.454115              1.43653 
                   1              61.1341              1.10856             0.463381              0.24019            -0.511806            -0.493455             0.224588              2.35706 
                 1.2               74.496              1.03924             0.372562             0.121491            -0.544711            -0.321716             0.812851              2.60119 
                 1.4              88.3569             0.969633             0.287915            0.0156982            -0.520698           -0.0814448              1.19593              2.09882 
                 1.6              102.711             0.900294             0.209948           -0.0756385            -0.453815             0.189598              1.32552             0.973609 
                 1.8               117.52             0.831734             0.139192            -0.150834            -0.358193             0.454276              1.21121            -0.502301 
                   2              132.721             0.764395            0.0761454            -0.208248            -0.247579             0.678376             0.907756             -1.97469 
                 2.2              148.222             0.698651            0.0212255            -0.246471            -0.134649             0.833561             0.497839                -3.09 
                 2.4              163.913             0.634823           -0.0252764            -0.264492           -0.0302703             0.900351            0.0723022             -3.57978 
                 2.6              179.668             0.573194           -0.0632305            -0.261846            0.0571795             0.870514            -0.288944             -3.32693 
                 2.8              195.347             0.514015            -0.092697            -0.238714              0.12229             0.748243            -0.531636             -2.39503 
                   3              210.802             0.457521            -0.113943            -0.195996             0.162798             0.549737             -0.63461             -1.01071 
                 3.2              225.882             0.403935            -0.127446            -0.135325             0.179431             0.301074            -0.608911             0.497766 
                 3.4              240.435             0.353467            -0.133891           -0.0590402             0.175416             0.034586            -0.489602              1.78884 
                 3.6              254.308             0.306327            -0.134146            0.0298691              0.15574            -0.215765            -0.323228              2.59706 
                 3.8              267.355             0.262705            -0.129233             0.127896             0.126246            -0.419386            -0.154667              2.79756 
                   4              279.449             0.222751            -0.120278             0.231233            0.0927117             -0.55354           -0.0169523              2.42572 
                 4.2              290.489             0.186552            -0.108436             0.336055            0.0600438            -0.606263            0.0735044              1.64769 
                 4.4              300.409             0.154123           -0.0948209              0.43881            0.0317628             -0.57703             0.115938             0.696571 
                 4.6              309.177             0.125403           -0.0804374             0.536438           0.00983805            -0.475275             0.120292            -0.198984 
                 4.8              316.794             0.100269           -0.0661428             0.626492           -0.0051725            -0.317514             0.101048            -0.869453 
