                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2               2.7903               2.0325             0.962722               0.9541             0.819062             0.779573             0.291645               0.1592 
                 0.4              5.62434              1.99408             0.925797             0.908768             0.650563             0.579656            -0.270663            -0.445133 
                 0.6              8.54458              1.94819             0.889142             0.863685              0.49387             0.398317            -0.702077            -0.846289 
                 0.8              11.5909              1.89595             0.852696             0.818574             0.348591             0.234251             -1.01532             -1.07093 
                   1              14.7991              1.83872             0.816424             0.773211             0.214544            0.0867284             -1.22157              -1.1413 
                 1.2              18.1998              1.77793             0.780316             0.727432            0.0916969           -0.0444826             -1.33131             -1.07731 
                 1.4              21.8163              1.71501             0.744389             0.681147           -0.0198718            -0.159208             -1.35489            -0.898188 
                 1.6              25.6646              1.65128             0.708688             0.634348            -0.120038            -0.256996             -1.30305            -0.623986 
                 1.8              29.7516              1.58792             0.673276             0.587106            -0.208687            -0.337266             -1.18715            -0.276398 
                   2              34.0755              1.52587             0.638243             0.539576            -0.285763            -0.399473              -1.0192             0.120933 
                 2.2              38.6261              1.46588             0.603689             0.491981            -0.351319            -0.443263            -0.811677             0.542814 
                 2.4               43.385              1.40847             0.569731             0.444608            -0.405546            -0.468618            -0.577219             0.963475 
                 2.6              48.3275              1.35399             0.536487             0.397779            -0.448793            -0.475943            -0.328119              1.35801 
                 2.8              53.4233              1.30262             0.504082             0.351844            -0.481571            -0.466125           -0.0758822              1.70396 
                   3              58.6382              1.25442             0.472638             0.307154            -0.504544            -0.440521             0.169248              1.98279 
                 3.2              63.9349              1.20935             0.442276             0.264047            -0.518511            -0.400916             0.398646              2.18107 
                 3.4              69.2752              1.16734             0.413106              0.22283            -0.524382             -0.34943             0.605588              2.29121 
                 3.6              74.6203              1.12825             0.385229             0.183769            -0.523147            -0.288406             0.785344              2.31151 
                 3.8              79.9321              1.09194             0.358731             0.147078            -0.515842            -0.220284             0.935167               2.2457 
                   4               85.173              1.05827             0.333682             0.112917            -0.503517            -0.147481              1.05414              2.10211 
                 4.2              90.3063              1.02712             0.310137            0.0813985            -0.487208           -0.0722977              1.14292               1.8925 
                 4.4              95.2949             0.998375             0.288142            0.0525885            -0.467917           0.00314553              1.20343              1.63094 
                 4.6                100.1             0.971964             0.267734              0.02652            -0.446599            0.0769509              1.23859              1.33265 
                 4.8              104.682             0.947828             0.248941           0.00318188            -0.424143             0.147508              1.25202              1.01292 
                   5              109.005             0.925919             0.231776           -0.0174802            -0.401349              0.21353              1.24773             0.686073 
                 5.2              113.034              0.90619             0.216236           -0.0355644            -0.378914             0.274081              1.22987             0.364616 
                 5.4              116.741             0.888592               0.2023           -0.0512044            -0.357424             0.328561              1.20242            0.0587548 
                 5.6                120.1             0.873081             0.189933           -0.0645573            -0.337358             0.376659              1.16908            -0.223748 
                 5.8              123.092             0.859611             0.179087           -0.0757986            -0.319084             0.418325              1.13306            -0.477578 
                   6              125.691             0.848169             0.169743           -0.0850753            -0.302932             0.453557              1.09721            -0.698656 
                 6.2              127.877              0.83874             0.161913           -0.0925234            -0.289175             0.482434              1.06395            -0.884183 
                 6.4              129.642             0.831256             0.155575           -0.0983086             -0.27795             0.505252              1.03509             -1.03352 
                 6.6              131.003             0.825572             0.150655             -0.10263            -0.269226             0.522539              1.01163             -1.14827 
                 6.8              131.998             0.821471             0.147016            -0.105716            -0.262804             0.535028             0.993807             -1.23205 
