            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        5.83656        2.04156       0.921069        0.90394       0.629587       0.559429      -0.335336        -0.4969 
           0.4        11.7699        1.97236       0.843955       0.811243       0.314122       0.209406       -1.08752       -1.09051 
           0.6        17.8944        1.89572       0.768529       0.721281      0.0495587     -0.0601305       -1.38962       -1.05479 
           0.8        24.2997        1.81306       0.694749        0.63358       -0.16727      -0.256836       -1.35433      -0.609926 
             1        31.0676        1.72599       0.622657       0.547847      -0.338989      -0.386637       -1.07996       0.060928 
           1.2        38.2682        1.63617       0.552376       0.463998      -0.468006      -0.454457      -0.654045       0.801189 
           1.4        45.9569        1.54518       0.484104       0.382178      -0.556798      -0.464975        -0.1549        1.47611 
           1.6        54.1699        1.45448       0.418106       0.302783      -0.608177      -0.423402       0.348617        1.97353 
           1.8        62.9227         1.3653       0.354698       0.226438       -0.62548       -0.33616       0.798738        2.20907 
             2        72.2076        1.27862       0.294231       0.153979      -0.612683      -0.211368        1.15107        2.13369 
           2.2        81.9943        1.19517       0.237071        0.08639      -0.574415     -0.0589866        1.37685        1.74053 
           2.4        92.2313        1.11547       0.183569       0.024726      -0.515847       0.109416        1.46416        1.06778 
           2.6        102.849        1.03982       0.134046      -0.029971      -0.442494        0.28131        1.41762       0.194909 
           2.8        113.762       0.968362      0.0887678     -0.0767617      -0.359937       0.444131        1.25618      -0.768419 
             3        124.876       0.901139      0.0479309      -0.114889      -0.273519       0.586364        1.00915       -1.69941 
           3.2        136.091       0.838105      0.0116527      -0.143839      -0.188047       0.698567       0.711352       -2.48187 
           3.4        147.303       0.779165     -0.0200374      -0.163382       -0.10755       0.774184       0.397919       -3.02439 
           3.6         158.41       0.724209     -0.0472002      -0.173591     -0.0351106       0.810003      0.0998226        -3.2732 
           3.8        169.315       0.673118     -0.0699866      -0.174839      0.0272042       0.806209      -0.159297       -3.21722 
             4        179.924       0.625777     -0.0886296      -0.167773       0.078323       0.766055      -0.364661       -2.88522 
           4.2        190.148       0.582088      -0.103436      -0.153284       0.118068       0.695243      -0.510321        -2.3364 
           4.4        199.904       0.541968      -0.114771       -0.13247          0.147       0.601125       -0.59789       -1.64746 
           4.6        209.114       0.505347      -0.123046       -0.10659       0.166233       0.491839      -0.634552       -0.89884 
           4.8        217.705       0.472166      -0.128706     -0.0770136       0.177246       0.375455        -0.6308       -0.16266 
             5        225.617       0.442356      -0.132206     -0.0451503       0.181699       0.259206      -0.598283       0.505851 
           5.2        232.802       0.415838      -0.133999     -0.0123809       0.181262       0.148954      -0.548077        1.07218 
           5.4        239.226       0.392515      -0.134516      0.0200131        0.17748      0.0488867      -0.489536         1.5221 
           5.6        244.874       0.372262      -0.134151      0.0509131       0.171686     -0.0385248      -0.429755          1.858 
           5.8        249.747       0.354924      -0.133249      0.0794184       0.164947      -0.112361      -0.373518        2.09363 
             6        253.851       0.340374      -0.132094       0.104771       0.158089      -0.172659      -0.323808        2.24785 
           6.2        257.197       0.328506      -0.130905       0.126377        0.15173      -0.220127      -0.282241        2.34099 
           6.4        259.818       0.319169      -0.129834       0.143923        0.14627      -0.256072      -0.249266        2.39229 
           6.6         261.78       0.312134      -0.128967       0.157425       0.141905      -0.282185      -0.224448        2.41771 
           6.8        263.173       0.307096      -0.128329       0.167219        0.13865      -0.300317      -0.206764        2.42887 
             7        264.105       0.303689      -0.127901       0.173878        0.13639      -0.312285      -0.194882        2.43311 
           7.2        264.689       0.301529       -0.12764       0.178103       0.134931      -0.319747      -0.187391        2.43446 
           7.4        265.029       0.300252      -0.127496       0.180591       0.134059      -0.324109      -0.182984        2.43482 
           7.6        265.213       0.299552      -0.127423       0.181946       0.133578      -0.326482      -0.180579         2.4349 
           7.8        265.305       0.299199       -0.12739       0.182623       0.133334      -0.327675       -0.17937        2.43492 
             8        265.346       0.299037      -0.127377       0.182933       0.133221      -0.328224      -0.178814        2.43493 
           8.2        265.363       0.298968      -0.127373       0.183061       0.133173      -0.328454      -0.178581        2.43494 
           8.4         265.37       0.298943      -0.127371        0.18311       0.133155      -0.328541      -0.178494        2.43494 
           8.6        265.372       0.298934      -0.127371       0.183126       0.133149       -0.32857      -0.178464        2.43495 
           8.8        265.372       0.298931      -0.127371        0.18313       0.133147      -0.328579      -0.178455        2.43495 
             9        265.373       0.298931      -0.127371       0.183132       0.133147      -0.328582      -0.178453        2.43495 
           9.2        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
           9.4        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
           9.6        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
           9.8        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
            10        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
          10.2        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
          10.4        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
          10.6        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
          10.8        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
            11        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
          11.2        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
          11.4        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
          11.6        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
          11.8        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
            12        265.373        0.29893      -0.127371       0.183132       0.133146      -0.328582      -0.178452        2.43495 
