            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        7.36683        2.01258       0.901439       0.879972       0.545012       0.461861      -0.573813      -0.722479
           0.4         14.853        1.93027       0.805847       0.765517       0.175122      0.0637866       -1.28719        -1.1364
           0.6        22.5748        1.84097       0.713109       0.655903      -0.117513      -0.212887       -1.39207      -0.752287
           0.8        30.6423         1.7462       0.623239       0.550634       -0.33949      -0.383208       -1.09491      0.0375627
             1        39.1555        1.64759       0.536373       0.449484      -0.496746      -0.459917      -0.567277       0.927996
           1.2        48.2003        1.54679       0.452758       0.352525      -0.595071      -0.454733      0.0484493        1.68379
           1.4        57.8438        1.44536       0.372736       0.260153       -0.64054      -0.379588       0.637189        2.13388
           1.6         68.131        1.34471       0.296725       0.173091       -0.63982      -0.247701         1.1118        2.17411
           1.8        79.0811        1.24598       0.225196      0.0923674      -0.600336     -0.0743164        1.41491        1.77384
             2        90.6867        1.15009       0.158639      0.0192572      -0.530275        0.12308        1.52035       0.980524
           2.2        102.913        1.05771      0.0975376     -0.0448022        -0.4384       0.325189         1.4326     -0.0838567
           2.4        115.702       0.969293      0.0423323     -0.0983233      -0.333708       0.512007        1.18327       -1.23924
           2.6        128.971       0.885088     -0.0066067      -0.139892      -0.224959       0.664476       0.824156       -2.27745
           2.8        142.622       0.805214     -0.0490034      -0.168284      -0.120167       0.766419        0.41766       -3.00171
             3        156.546       0.729681     -0.0846946      -0.182579     -0.0260896       0.806425      0.0259539       -3.26764
           3.2        170.625       0.658435      -0.113643      -0.182232      0.0521642       0.779307      -0.299006       -3.01544
           3.4         184.74       0.591379      -0.135942      -0.167126       0.111388       0.686872      -0.522838       -2.28473
           3.6        198.775       0.528396      -0.151819      -0.137578        0.15034       0.537813      -0.632152        -1.2073
           3.8        212.621       0.469359      -0.161621     -0.0943224       0.169606       0.346758      -0.633673       0.020472
             4        226.177       0.414143      -0.165806     -0.0384596       0.171302       0.132678      -0.549832        1.17845
           4.2        239.346       0.362642      -0.164922      0.0285697       0.158675     -0.0830596      -0.412266        2.06697
           4.4        252.028       0.314799      -0.159602       0.104981       0.135688      -0.278772      -0.254854        2.54567
           4.6        264.117       0.270604      -0.150558       0.188633       0.106588      -0.434724      -0.107443        2.56037
           4.8        275.505       0.230076      -0.138575       0.277085      0.0754756      -0.535483      0.0088699        2.15163
             5        286.096       0.193221       -0.12447       0.367752      0.0458657       -0.57187      0.0840381        1.44048
           5.2        295.818       0.160001      -0.109048       0.458115      0.0203651      -0.541815       0.118452       0.594364
           5.4        304.624        0.13033      -0.093054       0.545873    0.000536632      -0.449971        0.12002      -0.214233
           5.6        312.487       0.104089     -0.0771579       0.628997      -0.013051      -0.306496       0.100324      -0.843676
           5.8        319.396      0.0811393     -0.0619354       0.705785     -0.0206655      -0.125399      0.0711163       -1.20656
             6        325.332      0.0614151     -0.0479165       0.774596     -0.0231756      0.0764039      0.0419809       -1.27783
           6.2        330.276      0.0449105     -0.0355672       0.833958     -0.0218824       0.280514       0.019016       -1.09459
           6.4        334.242      0.0315647     -0.0252115       0.882955     -0.0182933       0.469981      0.0044212      -0.740755
           6.6        337.286      0.0212109     -0.0169864       0.921424     -0.0138199       0.632093    -0.00268601      -0.317474
           6.8        339.507      0.0135561     -0.0108281           0.95    -0.00952807       0.760149    -0.00473051      0.0876879
             7        341.039     0.00819686    -0.00650115       0.969983    -0.00602672       0.853589    -0.00421779       0.420103
           7.2        342.032     0.00466441    -0.00365951        0.98308    -0.00350704       0.916571    -0.00291336       0.660909
