            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        2.00381        2.80033       0.967627       0.963756       0.842102       0.824668       0.374608       0.319173 
           0.4        4.03441        2.75316       0.935484       0.928009       0.693168        0.66326      -0.143182      -0.203379 
           0.6        6.11834        2.69601       0.903543        0.89262       0.552923       0.514723      -0.562193      -0.587144 
           0.8        8.28148        2.63004       0.871786       0.857459       0.421211       0.378218      -0.890083      -0.848635 
             1        10.5486        2.55664        0.84021       0.822407        0.29797       0.253114       -1.13376       -1.00202 
           1.2        12.9428        2.47736       0.808818       0.787362       0.183206       0.138975       -1.29974       -1.05971 
           1.4        15.4844        2.39383       0.777628       0.752241      0.0769787      0.0355602       -1.39446       -1.03299 
           1.6        18.1904        2.30771       0.746671        0.71699     -0.0206302     -0.0572059       -1.42454       -0.93252 
           1.8        21.0735        2.22054       0.715988       0.681586      -0.109534      -0.139257       -1.39687      -0.768939 
             2        24.1414        2.13373       0.685634       0.646042      -0.189672      -0.210434       -1.31879      -0.553227 
           2.2        27.3965        2.04849        0.65567       0.610408      -0.261033      -0.270548       -1.19802      -0.296966 
           2.4        30.8354        1.96579       0.626169        0.57477      -0.323671      -0.319429       -1.04256     -0.0124001 
           2.6        34.4498        1.88639       0.597202       0.539243      -0.377728      -0.357003      -0.860549       0.287786 
           2.8        38.2265         1.8108       0.568841       0.503968      -0.423438      -0.383327      -0.659998        0.59079 
             3        42.1484        1.73936       0.541155       0.469101      -0.461125      -0.398636      -0.448581       0.884218 
           3.2        46.1954        1.67222        0.51421        0.43481      -0.491199      -0.403352      -0.233391        1.15662 
           3.4        50.3455        1.60938       0.488063        0.40126      -0.514137      -0.398088     -0.0207549        1.39801 
           3.6        54.5756        1.55075        0.46277       0.368611      -0.530472      -0.383632       0.183896        1.60028 
           3.8        58.8631        1.49614       0.438379       0.337013      -0.540775      -0.360916       0.376112        1.75752 
             4         63.186        1.44533       0.414929       0.306592      -0.545641      -0.330977       0.552464         1.8661 
           4.2        67.5246        1.39802       0.392456       0.277452      -0.545668      -0.294912       0.710508        1.92465 
           4.4        71.8621        1.35394       0.370981       0.249667      -0.541451      -0.253824       0.848745        1.93382 
           4.6        76.1846         1.3128       0.350516       0.223284      -0.533558      -0.208787       0.966485        1.89592 
           4.8        80.4813         1.2743       0.331062       0.198324       -0.52253      -0.160805        1.06373        1.81456 
             5        84.7438        1.23821       0.312609       0.174786      -0.508869      -0.110796        1.14104        1.69424 
           5.2         88.963        1.20431       0.295143       0.152664      -0.493044     -0.0596092        1.19934        1.54007 
           5.4        93.1281        1.17245       0.278656       0.131955      -0.475503    -0.00803326        1.23988        1.35762 
           5.6        97.2235        1.14254       0.263145       0.112662       -0.45668      0.0431755        1.26415        1.15288 
           5.8        101.228        1.11455       0.248616      0.0948035       -0.43701      0.0932802        1.27386       0.932152 
             6        105.114        1.08848        0.23509      0.0784039      -0.416928       0.141568        1.27095       0.702039 
           6.2        108.851        1.06436       0.222587      0.0634841      -0.396864       0.187381        1.25757       0.469125 
           6.4        112.403        1.04225       0.211133      0.0500582      -0.377235       0.230133        1.23597       0.239764 
