            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        5.47214        2.78502       0.910977        0.90149       0.584643       0.550911       -0.47568      -0.502664
           0.4        11.0192        2.68238       0.823893        0.80746       0.235266       0.203151       -1.25147       -1.03726
           0.6        16.7154        2.57056       0.738752       0.717539     -0.0526439     -0.0557764        -1.4989      -0.934555
           0.8        22.6338         2.4512       0.655644       0.631424      -0.283009      -0.236552       -1.36517      -0.453926
             1        28.8446        2.32615        0.57473       0.548892        -0.4595      -0.348421       -0.97794       0.201035
           1.2        35.4138        2.19731       0.496237       0.469812      -0.585802      -0.399578      -0.447773       0.871104
           1.4        42.4009        2.06655       0.420445        0.39417      -0.665839      -0.397594       0.131059        1.43388
           1.6        49.8565        1.93564       0.347672       0.322085      -0.703925      -0.349851       0.680865         1.7999
           1.8        57.8189        1.80619       0.278265       0.253817      -0.704858      -0.263981        1.14138        1.91173
             2        66.3127        1.67958       0.212587       0.189778      -0.673949      -0.148225        1.47076        1.74516
           2.2        75.3456        1.55694       0.150997       0.130512      -0.616976      -0.011652        1.64616        1.31073
           2.4        84.9082        1.43913      0.0938334       0.076674      -0.540064       0.135825        1.66346       0.653714
           2.6        94.9736        1.32675      0.0413991      0.0289878        -0.4495       0.283685        1.53569      -0.149346
           2.8        105.499        1.22017    -0.00605994     -0.0118036      -0.351486       0.421281        1.29003      -0.998623
             3        116.426        1.11957     -0.0483657     -0.0449938      -0.251869       0.538505       0.963462       -1.78348
           3.2        127.689        1.02496     -0.0854128     -0.0699623      -0.155892       0.626538       0.597669       -2.39785
           3.4        139.211       0.936204      -0.117173     -0.0862217     -0.0679572       0.678585       0.233684        -2.7561
           3.6        150.913       0.853104      -0.143688     -0.0934495     0.00851917       0.690462     -0.0928133       -2.80632
           3.8        162.717       0.775397       -0.16507     -0.0915087      0.0712078       0.660965      -0.355082       -2.53854
             4        174.548       0.702789      -0.181491     -0.0804491       0.118874       0.591948      -0.537305       -1.98604
           4.2        186.338       0.634976      -0.193176     -0.0604933       0.151312       0.488113      -0.634872       -1.21979
           4.4        198.033       0.571642      -0.200396     -0.0320019       0.169214       0.356543      -0.653136      -0.337161
           4.6        209.588       0.512474      -0.203451     0.00456888       0.173979       0.206088      -0.605058       0.552305
           4.8        220.974       0.457165       -0.20266      0.0487124       0.167512      0.0467305      -0.508343        1.34148
             5        232.168       0.405431      -0.198351      0.0998936       0.152029      -0.110947      -0.382653        1.93813
           5.2        243.149       0.357031      -0.190862        0.15754       0.129906      -0.256168      -0.247261        2.27487
           5.4        253.886       0.311794      -0.180548       0.220977       0.103582      -0.378321      -0.119246        2.31686
           5.6        264.318       0.269662       -0.16782       0.289282      0.0754994      -0.467436     -0.0121224        2.06816
           5.8        274.359       0.230678      -0.153165       0.361196      0.0479946      -0.515221      0.0654568        1.57529
             6        283.921       0.194874      -0.137108       0.435287      0.0230792       -0.51631       0.110603       0.921854
           6.2        292.939         0.1622      -0.120152       0.510168     0.00224738      -0.468783       0.125788       0.213188
           6.4        301.365       0.132569      -0.102772        0.58451      -0.013564      -0.374069       0.117315      -0.440954
           6.6        309.137       0.105948     -0.0854653       0.656827     -0.0239405      -0.237168      0.0936151      -0.941498
           6.8        316.195      0.0823139      -0.068713       0.725619     -0.0290111     -0.0664699      0.0635417       -1.21716
             7        322.437      0.0618059     -0.0530986       0.788915     -0.0294093       0.125089      0.0349545       -1.23749
           7.2         327.75      0.0446063      -0.039223       0.844624     -0.0262972       0.320835      0.0132022       -1.02697
           7.4        332.069      0.0307772     -0.0275494       0.891161     -0.0211685       0.503729    0.000134861      -0.660016
           7.6        335.401      0.0201896     -0.0183034       0.927831     -0.0154831       0.660225    -0.00543949       -0.23377
           7.8        337.827      0.0125217     -0.0114442       0.954936     -0.0103395       0.782899    -0.00622355       0.165508
             8        339.482     0.00730051    -0.00670005       0.973638    -0.00632039       0.871007    -0.00486275       0.485174
           8.2        340.535     0.00397792    -0.00365391       0.985629    -0.00354061       0.928983    -0.00309734       0.709832
           8.4        341.157     0.00201363    -0.00184631       0.992739    -0.00181726       0.963907    -0.00170234       0.850497
           8.6        341.495     0.00094119    -0.00085958       0.996619   -0.000853249       0.983139   -0.000828056        0.92964
           8.8        341.664    0.000403667   -0.000366529       0.998557    -0.00036537       0.992796   -0.000360746       0.969825
             9         341.74     0.00015783   -0.000142233        0.99944   -0.000142058         0.9972   -0.000141355       0.988254
           9.2        341.772    5.58773e-05   -4.98915e-05       0.999803   -4.98697e-05       0.999017   -4.97824e-05       0.995872
           9.4        341.784    1.77886e-05   -1.57083e-05       0.999938   -1.57061e-05        0.99969   -1.56974e-05       0.998698
           9.6        341.787     5.0567e-06   -4.40816e-06       0.999983   -4.40799e-06       0.999913   -4.40729e-06       0.999634
           9.8        341.789    1.27505e-06   -1.09547e-06       0.999996   -1.09545e-06       0.999978   -1.09541e-06       0.999909
            10        341.789    2.83585e-07   -2.39897e-07       0.999999   -2.39897e-07       0.999995   -2.39895e-07        0.99998
          10.2        341.789    5.54561e-08   -4.62296e-08              1   -4.62296e-08       0.999999   -4.62295e-08       0.999996
          10.4        341.789    9.54957e-09   -7.88038e-09              1   -7.88038e-09              1   -7.88038e-09       0.999999
          10.6        341.789    1.46205e-09   -1.20717e-09              1   -1.20717e-09              1   -1.20717e-09              1
          10.8        341.789    2.03087e-10   -1.70776e-10              1   -1.70776e-10              1   -1.70776e-10              1
            11        341.789    2.62848e-11   -2.29454e-11              1   -2.29454e-11              1   -2.29454e-11              1
          11.2        341.789    3.22072e-12   -2.94486e-12              1   -2.94486e-12              1   -2.94486e-12              1
          11.4        341.789    3.68371e-13   -3.50516e-13              1   -3.50516e-13              1   -3.50516e-13              1
          11.6        341.789    3.76692e-14   -3.67796e-14              1   -3.67796e-14              1   -3.67796e-14              1
          11.8        341.789    3.26761e-15   -3.23458e-15              1   -3.23458e-15              1   -3.23458e-15              1
            12        341.789    2.29471e-16   -2.28803e-16              1   -2.28803e-16              1   -2.28803e-16              1
          12.2        341.789    1.25767e-17   -1.25585e-17              1   -1.25585e-17              1   -1.25585e-17              1
          12.4        341.789    5.10043e-19   -5.09302e-19              1   -5.09302e-19              1   -5.09302e-19              1
          12.6        341.789    1.34063e-20   -1.33871e-20              1   -1.33871e-20              1   -1.33871e-20              1
          12.8        341.789              0              0              1              0              1              0              1
            13        341.789              0              0              1              0              1              0              1
          13.2        341.789              0              0              1              0              1              0              1
          13.4        341.789              0              0              1              0              1              0              1
          13.6        341.789              0              0              1              0              1              0              1
          13.8        341.789              0              0              1              0              1              0              1
            14        341.789              0              0              1              0              1              0              1
