            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        23.7365       0.952761       0.796517       0.613043       0.164407      -0.422974       -1.10955       -1.38279 
           0.4        47.5326       0.879234       0.613036       0.284712      -0.285758      -0.827858      -0.584171        1.47974 
           0.6        71.4232       0.805401       0.449565      0.0151045      -0.456973      -0.609882       0.494463        3.28874 
           0.8        95.3959       0.731428       0.306416      -0.194979      -0.441617     -0.0961005        1.14831        2.36615 
             1        119.375       0.657643       0.184089      -0.344547      -0.319098       0.453679        1.13573        -0.3661 
           1.2        143.213        0.58455      0.0830479      -0.433204      -0.155116       0.853044        0.64132       -3.04185 
           1.4        166.692       0.512818     0.00344313      -0.462028    0.000431396       0.997487     0.00960207       -4.12492 
           1.6        189.536       0.443252     -0.0551542      -0.434361       0.115551       0.867694       -0.46033       -3.14595 
           1.8        211.421       0.376763     -0.0939444      -0.356327       0.176636       0.520738      -0.629391      -0.773066 
             2        231.992       0.314335      -0.114985      -0.237011       0.186299      0.0665605      -0.529647        1.70294 
           2.2        250.881       0.256985       -0.12117     -0.0882129       0.158542      -0.367382      -0.295497        3.13622 
           2.4        267.781       0.205562      -0.116041      0.0767519       0.112072      -0.675431     -0.0672216        3.09761 
           2.6         282.52       0.160522      -0.103329       0.245184      0.0636396      -0.801458      0.0756401        1.92981 
           2.8        295.064       0.121929     -0.0864348       0.406583      0.0241222      -0.742866       0.123357        0.36752 
             3        305.441      0.0897001     -0.0681985       0.552692    -0.00191271      -0.537756       0.107405      -0.906294 
           3.2        313.742      0.0636228     -0.0508011       0.677788     -0.0149044      -0.246659       0.067542       -1.53188 
           3.4        320.123       0.043301     -0.0356979       0.778985     -0.0182161      0.0672859      0.0311573       -1.51118 
           3.6        324.811       0.028141     -0.0236243       0.856164      -0.016009       0.354229     0.00858564       -1.07175 
           3.8        328.085      0.0173787     -0.0146921       0.911516     -0.0117422       0.585517    -0.00135093      -0.485617 
             4        330.247      0.0101484    -0.00856461       0.948741    -0.00755502       0.753134    -0.00379794      0.0519227 
           4.2        331.588     0.00557584    -0.00466603       0.972149    -0.00436286       0.863545    -0.00319644       0.453737 
           4.4        332.368     0.00286754    -0.00236743       0.985869    -0.00228819       0.930069    -0.00197739       0.713318 
           4.6        332.789     0.00137288    -0.00111399       0.993337    -0.00109612       0.966846    -0.00102531       0.862334 
           4.8            333    0.000608329   -0.000483732       0.997096   -0.000480292       0.985511    -0.00046659       0.939448 
             5        333.097    0.000247892   -0.000192715       0.998837   -0.000192156       0.994191   -0.000189926       0.975652 
           5.2        333.138    9.22478e-05   -6.99668e-05       0.999575   -6.98913e-05       0.997877   -6.95897e-05       0.991089 
           5.4        333.153     3.1106e-05   -2.29727e-05       0.999859   -2.29644e-05       0.999297    -2.2931e-05        0.99705 
           5.6        333.159    9.42265e-06   -6.76285e-06       0.999958   -6.76211e-06       0.999791   -6.75913e-06       0.999124 
           5.8        333.161    2.53962e-06   -1.76789e-06       0.999989   -1.76784e-06       0.999945   -1.76763e-06       0.999769 
             6        333.161    6.02541e-07   -4.05995e-07       0.999997   -4.05992e-07       0.999987    -4.0598e-07       0.999946 
           6.2        333.161    1.24355e-07   -8.09338e-08       0.999999   -8.09337e-08       0.999997   -8.09332e-08       0.999989 
           6.4        333.161    2.20308e-08   -1.38193e-08              1   -1.38193e-08              1   -1.38193e-08       0.999998 
           6.6        333.161    3.30097e-09   -1.99114e-09              1   -1.99114e-09              1   -1.99114e-09              1 
           6.8        333.161    4.11387e-10   -2.38059e-10              1   -2.38059e-10              1   -2.38059e-10              1 
             7        333.161    4.18494e-11   -2.31747e-11              1   -2.31747e-11              1   -2.31747e-11              1 
           7.2        333.161    3.40194e-12   -1.79803e-12              1   -1.79803e-12              1   -1.79803e-12              1 
           7.4        333.161      2.157e-13    -1.0849e-13              1    -1.0849e-13              1    -1.0849e-13              1 
           7.6        333.161    1.03459e-14   -4.92758e-15              1   -4.92758e-15              1   -4.92758e-15              1 
           7.8        333.161    3.44156e-16   -1.51682e-16              1   -1.51682e-16              1   -1.51682e-16              1 
             8        333.161              0           -nan           -nan           -nan           -nan           -nan           -nan 
