                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              2.96584              1.19742             0.971194             0.951624             0.859506             0.766878             0.443538              0.10337 
                 0.4              5.95995              1.18255             0.942624             0.903708             0.727132             0.553204           -0.0167694            -0.563226 
                 0.6              9.00808              1.16582             0.914191             0.855915             0.602292             0.357068            -0.390128             -1.02904 
                 0.8              12.1312              1.14755             0.885825             0.807999             0.484633             0.177331            -0.683904             -1.31705 
                   1              15.3436              1.12812             0.857494             0.759826              0.37402             0.013543            -0.904296             -1.44653 
                 1.2              18.6521              1.10796             0.829206              0.71138             0.270491            -0.134226               -1.057             -1.43534 
                 1.4               22.055              1.08745              0.80101             0.662767             0.174212            -0.265575             -1.14776             -1.30174 
                 1.6              25.5421              1.06697             0.772994             0.614197             0.085407            -0.379994             -1.18277             -1.06545 
                 1.8              29.0957              1.04681             0.745281             0.565975           0.00430552            -0.477079             -1.16891            -0.748007 
                   2               32.691              1.02723             0.718028             0.518469           -0.0689226            -0.556706             -1.11371             -0.37232 
                 2.2              36.2974              1.00844             0.691408              0.47209            -0.134212            -0.619163             -1.02525            0.0383354 
                 2.4              39.8801             0.990582             0.665612             0.427265            -0.191633            -0.665204            -0.911797             0.461624 
                 2.6              43.3998             0.973797             0.640841             0.384426            -0.241394            -0.696052            -0.781514             0.877403 
                 2.8              46.8147             0.958191             0.617301              0.34399            -0.283842            -0.713358            -0.642112              1.26886 
                   3               50.081             0.943857             0.595197             0.306345            -0.319459            -0.719126            -0.500537              1.62333 
                 3.2              53.1558             0.930872             0.574719             0.271825            -0.348842            -0.715604            -0.362685              1.93272 
                 3.4              56.0002             0.919287             0.556028             0.240678            -0.372683            -0.705136             -0.23318              2.19355 
                 3.6              58.5823             0.909135             0.539232             0.213056            -0.391733                -0.69            -0.115278              2.40638 
                 3.8              60.8788              0.90043             0.524387             0.189005            -0.406768            -0.672249           -0.0109348              2.57481 
                   4              62.8701             0.893178             0.511532             0.168538             -0.41849            -0.653687            0.0787525              2.70397 
                 4.2              64.5408             0.887348             0.500715              0.15164            -0.427478            -0.635875             0.153253              2.79966 
                 4.4              65.8883             0.882854             0.491931             0.138188            -0.434237            -0.620009             0.212802               2.8681 
                 4.6              66.9267             0.879555             0.485089             0.127925            -0.439204             -0.60683             0.258401              2.91536 
                 4.8              67.6871             0.877266              0.48001             0.120463            -0.442756             -0.59661             0.291693              2.94685 
                   5               68.213             0.875776             0.476437             0.115326            -0.445209            -0.589216             0.314742              2.96706 
                 5.2              68.5547             0.874873             0.474071             0.111995            -0.446832            -0.584233             0.329786              2.97949 
                 5.4              68.7622             0.874368             0.472603             0.109974            -0.447849            -0.581114              0.33899              2.98676 
                 5.6              68.8793             0.874109             0.471755             0.108833            -0.448449            -0.579305             0.344237              2.99077 
                 5.8              68.9403             0.873989             0.471303             0.108238            -0.448777             -0.57834                0.347              2.99283 
                   6              68.9694             0.873939             0.471081             0.107953            -0.448942            -0.577866             0.348339               2.9938 
                 6.2              68.9822             0.873921             0.470981             0.107829            -0.449019            -0.577655             0.348931              2.99423 
                 6.4              68.9871             0.873915             0.470941             0.107779            -0.449051            -0.577569             0.349168               2.9944 
                 6.6              68.9889             0.873913             0.470926             0.107762            -0.449063            -0.577538             0.349254              2.99446 
                 6.8              68.9895             0.873913             0.470922             0.107757            -0.449067            -0.577528              0.34928              2.99447 
                   7              68.9896             0.873913              0.47092             0.107755            -0.449068            -0.577525             0.349289              2.99448 
                 7.2              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                 7.4              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                 7.6              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                 7.8              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                   8              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                 8.2              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                 8.4              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                 8.6              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                 8.8              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                   9              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                 9.2              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                 9.4              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                 9.6              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                 9.8              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
                  10              68.9897             0.873913              0.47092             0.107755            -0.449068            -0.577525              0.34929              2.99448 
