            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        7.38084        1.18407       0.928721        0.88113       0.665163       0.458559      -0.210369      -0.805376
           0.4        14.8363        1.15144       0.859346       0.766604       0.380405      0.0366447      -0.898975       -1.42649
           0.6        22.4333        1.11688       0.791663       0.655714       0.141425      -0.279322       -1.18835       -1.24148
           0.8        30.2248        1.08077       0.725578       0.548107     -0.0551041      -0.499762       -1.18089      -0.554705
             1        38.2441        1.04357       0.661114       0.443801      -0.211914      -0.633358      -0.965046       0.381268
           1.2        46.5021        1.00576        0.59841       0.343168      -0.331537      -0.688419       -0.61869        1.35557
           1.4        54.9857       0.967799       0.537706       0.246862       -0.41666      -0.673981      -0.210041        2.19838
           1.6        63.6595       0.930127       0.479314       0.155728       -0.47037      -0.600471       0.203282        2.78571
           1.8         72.468       0.893119       0.423581       0.070683      -0.496274      -0.479833       0.576004        3.04485
             2        81.3401       0.857098       0.370859    -0.00739866      -0.498471      -0.325144       0.876671        2.95598
           2.2        90.1941       0.822336       0.321465     -0.0777932      -0.481408      -0.149822        1.08805        2.54751
           2.4        98.9413       0.789064       0.275663      -0.139992      -0.449651      0.0332933        1.20604        1.88504
           2.6        107.487       0.757488       0.233655      -0.193734      -0.407657       0.212806        1.23723        1.05641
           2.8        115.728       0.727821       0.195597      -0.239006      -0.359587       0.379378        1.19592       0.156139
             3        123.555       0.700287       0.161598      -0.276049      -0.309161       0.526175         1.1008      -0.728702
           3.2        130.853       0.675112       0.131695      -0.305379      -0.259506       0.649192        0.97192       -1.52992
           3.4        137.528       0.652465        0.10581      -0.327799       -0.21298       0.747351       0.827672       -2.20559
           3.6        143.513       0.632429      0.0837237      -0.344328      -0.171089       0.822081       0.682631       -2.74054
           3.8        148.776       0.615004      0.0651179      -0.356066      -0.134599       0.876434       0.546819       -3.14041
             4        153.294       0.600167      0.0496716      -0.364057      -0.103792         0.9141       0.426449       -3.42274
           4.2        157.056       0.587888      0.0371233      -0.369236     -0.0786633        0.93882        0.32496       -3.61033
           4.4        160.074       0.578074      0.0272095      -0.372422     -0.0589177       0.954137       0.243376       -3.72748
           4.6        162.393        0.57055      0.0196393      -0.374282     -0.0440269         0.9631        0.18085       -3.79637
           4.8         164.09       0.565048      0.0140862       -0.37532     -0.0332927       0.968078       0.135229       -3.83476
             5        165.265       0.561236      0.0101994      -0.375879     -0.0259353        0.97073       0.103649       -3.85526
           5.2        166.033       0.558745     0.00761733      -0.376174     -0.0211589       0.972104       0.082968       -3.86592
           5.4        166.504       0.557217     0.00600066      -0.376327     -0.0182411       0.972804      0.0702298       -3.87137
           5.6        166.773       0.556344     0.00505321      -0.376406      -0.016575       0.973156      0.0628954       -3.87411
           5.8        166.916       0.555881     0.00453569      -0.376445     -0.0156886       0.973328      0.0589614       -3.87547
             6        166.986       0.555654     0.00427456      -0.376464     -0.0152537        0.97341       0.057014       -3.87611
           6.2        167.017       0.555551     0.00415274      -0.376472     -0.0150561       0.973446      0.0561217       -3.87639
           6.4         167.03       0.555509     0.00410107      -0.376475     -0.0149747       0.973461      0.0557508       -3.87651
           6.6        167.035       0.555493     0.00408123      -0.376476     -0.0149444       0.973466      0.0556112       -3.87656
           6.8        167.037       0.555488     0.00407456      -0.376477     -0.0149346       0.973468      0.0555655       -3.87657
             7        167.037       0.555487     0.00407226      -0.376477     -0.0149311       0.973469      0.0555495       -3.87658
           7.2        167.037       0.555486      0.0040717      -0.376477     -0.0149304       0.973469       0.055546       -3.87658
           7.4        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
           7.6        167.037       0.555486      0.0040715      -0.376477     -0.0149302       0.973469      0.0555447       -3.87658
           7.8        167.037       0.555486      0.0040715      -0.376477     -0.0149301       0.973469      0.0555447       -3.87658
             8        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
           8.2        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
           8.4        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
           8.6        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
           8.8        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
             9        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
           9.2        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
           9.4        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
           9.6        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
           9.8        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
            10        167.037       0.555486     0.00407152      -0.376477     -0.0149302       0.973469      0.0555448       -3.87658
