            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2       0.344616         10.562       0.986841       0.986806        0.93464       0.934872        0.72974       0.734609 
           0.4        0.69643        10.4078       0.973629       0.973713       0.869918       0.871913       0.470869       0.493862 
           0.6        1.06269        10.1874       0.960373       0.960714       0.805937       0.811044       0.224279       0.276342 
           0.8        1.45077        9.90762       0.947084       0.947801       0.742847        0.75219     -0.0088288      0.0807043 
             1        1.86811        9.57755       0.933782       0.934964       0.680832       0.695273      -0.227119      -0.094319 
           1.2         2.3222        9.20735       0.920484       0.922195       0.620089        0.64022      -0.429285      -0.249915 
           1.4         2.8206        8.80754       0.907214       0.909483       0.560815       0.586956      -0.614189      -0.387188 
           1.6        3.37068         8.3888        0.89399       0.896818       0.503191       0.535415      -0.780969      -0.507152 
           1.8        3.97952        7.96115       0.880834        0.88419       0.447375       0.485538      -0.929093      -0.610727 
             2         4.6537        7.53353       0.867765       0.871591       0.393498       0.437276       -1.05837      -0.698739 
           2.2         5.3991        7.11355         0.8548       0.859013       0.341659       0.390592       -1.16896      -0.771937 
           2.4        6.22061        6.70728       0.841957       0.846455       0.291936       0.345468       -1.26131      -0.830993 
           2.6        7.12208        6.31923       0.829253       0.833914        0.24438       0.301898        -1.3361      -0.876535 
           2.8        8.10613        5.95248       0.816704       0.821395        0.19902       0.259888       -1.39424       -0.90916 
             3        9.17404         5.6089       0.804327         0.8089       0.155865       0.219453       -1.43677      -0.929463 
           3.2         10.326        5.28924       0.792135       0.796437       0.114906        0.18061       -1.46483      -0.938045 
           3.4         11.561        4.99347        0.78014       0.784013      0.0761135        0.14338       -1.47963       -0.93553 
           3.6         12.877        4.72091        0.76835       0.771635      0.0394419       0.107777       -1.48238      -0.922561 
           3.8        14.2715        4.47051       0.756773       0.759308     0.00483329      0.0738131       -1.47429      -0.899807 
             4         15.741        4.24087       0.745411        0.74704      -0.027778      0.0414959       -1.45652      -0.867957 
           4.2        17.2821        4.03048       0.734268       0.734835     -0.0584627      0.0108285       -1.43016      -0.827716 
           4.4        18.8907        3.83773       0.723345       0.722701     -0.0872894     -0.0181868       -1.39623      -0.779812 
           4.6        20.5633          3.661       0.712646       0.710645      -0.114324     -0.0455526       -1.35567       -0.72498 
           4.8        22.2962        3.49871       0.702172       0.698673      -0.139628     -0.0712739       -1.30935      -0.663969 
             5        24.0861        3.34938       0.691929       0.686794      -0.163258     -0.0953596       -1.25809      -0.597531 
           5.2        25.9305        3.21161        0.68192       0.675014       -0.18527      -0.117826       -1.20262      -0.526405 
           5.4        27.8268        3.08415       0.672147       0.663338      -0.205717      -0.138692       -1.14363       -0.45132 
           5.6         29.773        2.96588       0.662616       0.651773      -0.224651      -0.157984       -1.08177      -0.372982 
           5.8        31.7667        2.85587       0.653328       0.640324       -0.24213      -0.175727       -1.01764      -0.292082 
             6        33.8049        2.75334       0.644287       0.628998      -0.258208      -0.191952      -0.951808        -0.2093 
           6.2        35.8831         2.6577       0.635497       0.617807      -0.272942      -0.206684      -0.884856      -0.125328 
           6.4        37.9942        2.56854       0.626966        0.60677      -0.286389       -0.21995       -0.81736     -0.0408896 
           6.6        40.1278        2.48561       0.618707        0.59592      -0.298604       -0.23177      -0.749932      0.0432237 
           6.8        42.2693        2.40881       0.610739       0.585301      -0.309643      -0.242171      -0.683221       0.126154 
             7        44.3996        2.33812       0.603088       0.574974      -0.319558      -0.251182      -0.617918        0.20697 
           7.2        46.4956        2.27357        0.59579       0.565015      -0.328405      -0.258849      -0.554745       0.284698 
           7.4        48.5301        2.21525       0.588883       0.555508      -0.336243      -0.265235      -0.494429       0.358362 
           7.6        50.4746        2.16317       0.582412       0.546548      -0.343133      -0.270428      -0.437673       0.427047 
           7.8        52.2997        2.11735       0.576419       0.538226      -0.349147       -0.27454      -0.385104       0.489972 
             8         53.978        2.07772        0.57094       0.530624      -0.354363      -0.277704      -0.337237       0.546541 
           8.2        55.4864        2.04413          0.566       0.523807      -0.358871      -0.280067      -0.294428       0.596405 
           8.4        56.8073        2.01641       0.561605       0.517811      -0.362771      -0.281783      -0.256837       0.639476 
           8.6        57.9294        1.99422       0.557762       0.512662      -0.366139      -0.282991      -0.224544        0.67581 
           8.8        58.8497        1.97711       0.554486        0.50837      -0.369015      -0.283818      -0.197559       0.705593 
             9         59.575        1.96444        0.55178       0.504913       -0.37142      -0.284369      -0.175739       0.729212 
           9.2        60.1218         1.9555       0.549626       0.502239      -0.373373      -0.284728      -0.158758       0.747246 
           9.4        60.5141        1.94952       0.547987       0.500263      -0.374898      -0.284958       -0.14612        0.76043 
           9.6        60.7806        1.94576       0.546802       0.498875      -0.376035      -0.285105      -0.137178       0.769606 
           9.8        60.9512        1.94356       0.545993       0.497955      -0.376835      -0.285197      -0.131203       0.775649 
            10        61.0534        1.94236       0.545476       0.497383      -0.377363      -0.285253      -0.127456       0.779389 
          10.2        61.1103        1.94177       0.545168       0.497052      -0.377687      -0.285286      -0.125267       0.781548 
          10.4        61.1398         1.9415       0.544998       0.496873      -0.377871      -0.285304      -0.124082       0.782704 
          10.6        61.1537        1.94139       0.544912       0.496786      -0.377966      -0.285314      -0.123493       0.783274 
          10.8        61.1597        1.94136       0.544873       0.496746      -0.378012      -0.285318      -0.123226       0.783529 
            11         61.162        1.94135       0.544856        0.49673      -0.378031       -0.28532      -0.123118       0.783632 
          11.2        61.1628        1.94134        0.54485       0.496724      -0.378038      -0.285321      -0.123075       0.783672 
          11.4        61.1631        1.94134       0.544848       0.496722      -0.378041      -0.285321      -0.123063       0.783684 
          11.6        61.1631        1.94134       0.544847       0.496721      -0.378042      -0.285321      -0.123059       0.783687 
          11.8        61.1632        1.94134       0.544847       0.496721      -0.378042      -0.285321      -0.123058       0.783688 
            12        61.1632        1.94134       0.544847       0.496721      -0.378042      -0.285321      -0.123058       0.783688 
          12.2        61.1632        1.94134       0.544847       0.496721      -0.378042      -0.285321      -0.123058       0.783688 
          12.4        61.1632        1.94134       0.544847       0.496721      -0.378042      -0.285321      -0.123058       0.783688 
          12.6        61.1632        1.94134       0.544847       0.496721      -0.378042      -0.285321      -0.123058       0.783688 
          12.8        61.1632        1.94134       0.544847       0.496721      -0.378042      -0.285321      -0.123058       0.783688 
            13        61.1632        1.94134       0.544847       0.496721      -0.378042      -0.285321      -0.123058       0.783688 
          13.2        61.1632        1.94134       0.544847       0.496721      -0.378042      -0.285321      -0.123058       0.783688 
          13.4        61.1632        1.94134       0.544847       0.496721      -0.378042      -0.285321      -0.123058       0.783688 
          13.6        61.1632        1.94134       0.544847       0.496721      -0.378042      -0.285321      -0.123058       0.783688 
