                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2             0.848215              10.9146             0.966169             0.966449             0.833631             0.837703             0.328334             0.369798 
                 0.4              1.71455              10.6781             0.931957              0.93359             0.671281             0.689322             -0.27026            -0.111399 
                 0.6               2.6173              10.3743             0.897425             0.901402             0.513869             0.554061             -0.78928             -0.46392 
                 0.8              3.57513              10.0117             0.862674             0.869858             0.362557             0.431161             -1.22257            -0.706041 
                   1              4.60701              9.60103             0.827833             0.838933             0.218612             0.319906             -1.56567            -0.854113 
                 1.2              5.73237              9.15339              0.79305             0.808597            0.0832828             0.219617             -1.81666            -0.922701 
                 1.4              6.97064              8.68074              0.75848             0.778824            -0.042323             0.129667             -1.97667            -0.924731 
                 1.6              8.34114               8.1946             0.724272             0.749583            -0.157319            0.0494801             -2.04987            -0.871664 
                 1.8              9.86277              7.70545             0.690564             0.720848            -0.261083           -0.0214654             -2.04309            -0.773679 
                   2              11.5533              7.22253             0.657475             0.692594            -0.353275           -0.0836316             -1.96532            -0.639876 
                 2.2               13.429              6.75339             0.625108             0.664805             -0.43382            -0.137424             -1.82699            -0.478479 
                 2.4              15.5039              6.30387             0.593548             0.637473            -0.502879            -0.183197             -1.63932             -0.29703 
                 2.6              17.7891              5.87822             0.562864             0.610599            -0.560801            -0.221265             -1.41378            -0.102558 
                 2.8              20.2924              5.47916             0.533117               0.5842            -0.608095            -0.251919             -1.16152            0.0983181 
                   3              23.0174              5.10814             0.504356             0.558301            -0.645387            -0.275442            -0.893021             0.299347 
                 3.2              25.9642              4.76549              0.47662             0.532936            -0.673387            -0.292132             -0.61779             0.494653 
                 3.4              29.1287              4.45077             0.449939             0.508145            -0.692868            -0.302315            -0.344126             0.678836 
                 3.6              32.5033              4.16289              0.42433             0.483972            -0.704632            -0.306348           -0.0790257             0.847045 
                 3.8              36.0778              3.90032               0.3998             0.460459            -0.709487            -0.304632             0.171881             0.995109 
                   4              39.8392              3.66131             0.376352             0.437648            -0.708225            -0.297601             0.404228              1.11959 
                 4.2               43.773              3.44395             0.353981             0.415582            -0.701607             -0.28573             0.614851              1.21787 
                 4.4               47.863              3.24632              0.33268             0.394301            -0.690353             -0.26952              0.80164              1.28818 
                 4.6              52.0932              3.06653             0.312445             0.373843            -0.675132            -0.249501             0.963408              1.32964 
                 4.8              56.4469              2.90279              0.29327             0.354243             -0.65657            -0.226216              1.09976              1.34221 
                   5              60.9089              2.75339             0.275152             0.335531            -0.635239            -0.200215              1.21098              1.32668 
                 5.2              65.4644              2.61679             0.258083             0.317727            -0.611667            -0.172043              1.29789              1.28454 
                 5.4              70.0997              2.49161             0.242057             0.300848            -0.586341            -0.142227              1.36175              1.21786 
                 5.6              74.8015              2.37663             0.227062             0.284904            -0.559706            -0.111271              1.40417              1.12924 
                 5.8              79.5561              2.27083             0.213079             0.269898            -0.532174           -0.0796511              1.42701              1.02159 
                   6              84.3478              2.17336             0.200088             0.255829            -0.504127           -0.0478146               1.4323             0.898115 
                 6.2              89.1568              2.08353             0.188063               0.2427             -0.47593           -0.0161855               1.4222             0.762216 
                 6.4              93.9575              2.00087             0.176976             0.230511            -0.447936            0.0148298              1.39898             0.617451 
                 6.6              98.7179                1.925             0.166796             0.219268            -0.420479            0.0448476              1.36496             0.467456 
                 6.8              103.396              1.85572             0.157495             0.208977            -0.393898             0.073493              1.32252             0.315961 
                   7              107.945              1.79285             0.149041             0.199646             -0.36851             0.100427              1.27408             0.166581 
                 7.2              112.308              1.73631             0.141409             0.191277            -0.344615             0.125347                1.222            0.0227526 
                 7.4              116.429              1.68601             0.134569             0.183864             -0.32248             0.148006              1.16856            -0.112464 
                 7.6              120.252              1.64184             0.128491             0.177391            -0.302327             0.168233              1.11583            -0.236572 
                 7.8              123.726              1.60362             0.123142             0.171824            -0.284315             0.185946              1.06561             -0.34777 
                   8              126.812              1.57113             0.118478             0.167113            -0.268527             0.201153              1.01931            -0.445046 
                 8.2              129.487              1.54403             0.114451             0.163193             -0.25497              0.21395             0.977945            -0.528161 
                 8.4              131.745              1.52193             0.110991             0.159984            -0.243567             0.224514             0.942044            -0.597612 
                 8.6              133.593               1.5044             0.108043             0.157406            -0.234197             0.233049             0.911823            -0.654263 
                 8.8              135.054               1.4909             0.105574             0.155383            -0.226711             0.239768             0.887227            -0.699201 
                   9              136.166              1.48088             0.103556              0.15384            -0.220918             0.244904              0.86793            -0.733749 
                 9.2              136.975              1.47374             0.101961             0.152702            -0.216604             0.248693             0.853419            -0.759338 
                 9.4              137.537              1.46888             0.100753             0.151896            -0.213529             0.251375             0.843005            -0.777511 
                 9.6              137.906              1.46575            0.0998829             0.151352            -0.211446             0.253184              0.83592            -0.789795 
                 9.8              138.135              1.46385            0.0992923             0.151003            -0.210112              0.25434             0.831371            -0.797657 
                  10              138.268              1.46276            0.0989171             0.150793             -0.20931             0.255035             0.828633            -0.802384 
                10.2               138.34              1.46219            0.0986958             0.150675            -0.208861             0.255425             0.827099            -0.805037 
                10.4              138.375              1.46191            0.0985754             0.150613            -0.208628             0.255627             0.826306            -0.806412 
                10.6              138.392              1.46178            0.0985151             0.150584            -0.208517             0.255724             0.825926            -0.807073 
                10.8              138.399              1.46173            0.0984875             0.150571            -0.208468             0.255766             0.825761             -0.80736 
                  11              138.401              1.46171            0.0984761             0.150566            -0.208449             0.255783             0.825695            -0.807475 
                11.2              138.402               1.4617             0.098472             0.150564            -0.208442             0.255789             0.825673            -0.807515 
                11.4              138.403               1.4617            0.0984705             0.150563             -0.20844             0.255791             0.825665            -0.807529 
                11.6              138.403               1.4617            0.0984701             0.150563            -0.208439             0.255791             0.825663            -0.807533 
                11.8              138.403               1.4617              0.09847             0.150563            -0.208439             0.255792             0.825662            -0.807534 
                  12              138.403               1.4617              0.09847             0.150563            -0.208439             0.255792             0.825662            -0.807534 
                12.2              138.403               1.4617            0.0984699             0.150563            -0.208439             0.255792             0.825662            -0.807534 
                12.4              138.403               1.4617            0.0984699             0.150563            -0.208439             0.255792             0.825662            -0.807534 
                12.6              138.403               1.4617            0.0984699             0.150563            -0.208439             0.255792             0.825662            -0.807534 
                12.8              138.403               1.4617            0.0984699             0.150563            -0.208439             0.255792             0.825662            -0.807534 
                  13              138.403               1.4617            0.0984699             0.150563            -0.208439             0.255792             0.825662            -0.807534 
                13.2              138.403               1.4617            0.0984699             0.150563            -0.208439             0.255792             0.825662            -0.807534 
                13.4              138.403               1.4617            0.0984699             0.150563            -0.208439             0.255792             0.825662            -0.807534 
                13.6              138.403               1.4617            0.0984699             0.150563            -0.208439             0.255792             0.825662            -0.807534 
                13.8              138.403               1.4617            0.0984699             0.150563            -0.208439             0.255792             0.825662            -0.807534 
                  14              138.403               1.4617            0.0984699             0.150563            -0.208439             0.255792             0.825662            -0.807534 
