            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        5.87546        1.41482       0.939604       0.911151       0.713219       0.587728     -0.0644755      -0.442916 
           0.4        11.8115        1.38061        0.88051       0.824857        0.46188       0.248352      -0.747396       -1.12964 
           0.6        17.8651        1.34362       0.822567       0.740592       0.243393     -0.0253386        -1.1222       -1.25404 
           0.8        24.0859        1.30428       0.765691       0.658004      0.0557821      -0.238683       -1.25144      -0.975868 
             1        30.5132        1.26313       0.709863       0.576935      -0.102495       -0.39574        -1.1902      -0.431984 
           1.2        37.1732        1.22077       0.655135       0.497426      -0.232743      -0.499899      -0.988359       0.256755 
           1.4        44.0775        1.17775       0.601623       0.419711      -0.336227      -0.554491      -0.691766       0.982731 
           1.6         51.222        1.13464       0.549498       0.344187      -0.414349      -0.563299      -0.342375        1.65226 
           1.8         58.588        1.09193       0.498966       0.271378      -0.468774      -0.530924      0.0224455        2.18865 
             2        66.1426        1.05002       0.450259       0.201882      -0.501502      -0.462955       0.370993        2.53607 
           2.2         73.841        1.00925       0.403615       0.136318      -0.514876      -0.365923       0.678334        2.66266 
           2.4        81.6282       0.969905       0.359267      0.0752806      -0.511535      -0.247081       0.927054        2.56163 
           2.6        89.4412       0.932188        0.31743      0.0192848       -0.49433      -0.114024        1.10747         2.2497 
           2.8        97.2114       0.896272       0.278287     -0.0312655      -0.466206      0.0257554        1.21716         1.7629 
             3        104.866       0.862292       0.241987     -0.0761084      -0.430081       0.165324        1.25993        1.15019 
           3.2         112.33       0.830364       0.208629      -0.115141      -0.388719       0.298718        1.24433       0.466229 
           3.4        119.529        0.80059       0.178267      -0.148424      -0.344631       0.421236        1.18188      -0.235718 
           3.6        126.388       0.773064       0.150908      -0.176169      -0.299997       0.529585        1.08549      -0.909512 
           3.8        132.836       0.747866       0.126505       -0.19874      -0.256603       0.621953       0.967854       -1.52027 
             4        138.811       0.725051       0.104962      -0.216623      -0.215811       0.697895       0.840371       -2.04609 
           4.2        144.264       0.704637      0.0861327      -0.230403      -0.178548       0.758141       0.712284       -2.47785 
           4.4        149.164       0.686597      0.0698258      -0.240715      -0.145343       0.804274       0.590362       -2.81702 
           4.6        153.495       0.670866      0.0558231      -0.248199      -0.116391       0.838372       0.479005       -3.07243 
           4.8        157.257       0.657346      0.0438917      -0.253455     -0.0916456       0.862677       0.380616       -3.25696 
             5        160.465       0.645916      0.0337936      -0.257017     -0.0708904        0.87936       0.296069       -3.38485 
           5.2        163.138       0.636448      0.0253115      -0.259339     -0.0538304       0.890345       0.225275       -3.46963 
           5.4        165.305         0.6288      0.0182813      -0.260786     -0.0401392        0.89724       0.167608        -3.5231 
           5.6        167.005       0.622809      0.0125745      -0.261647     -0.0294589       0.901341       0.122054         -3.555 
           5.8        168.289       0.618281     0.00807068      -0.262137     -0.0214001       0.903644      0.0872945       -3.57295 
             6        169.218          0.615     0.00464127      -0.262405     -0.0155515       0.904862      0.0618012       -3.58246 
           6.2        169.858       0.612735     0.00214054      -0.262548     -0.0114919       0.905471      0.0439242       -3.58722 
           6.4        170.276       0.611252    0.000405997      -0.262624    -0.00881163       0.905761      0.0320019        -3.5895 
           6.6        170.533       0.610338   -0.000729791      -0.262664    -0.00714034       0.905895      0.0244919       -3.59056 
           6.8        170.682       0.609809    -0.00142799      -0.262686    -0.00616046       0.905957      0.0200443       -3.59106 
             7        170.761       0.609524    -0.00182858      -0.262697    -0.00562326       0.905984      0.0175816       -3.59128 
           7.2        170.801       0.609383    -0.00204104      -0.262703    -0.00535139       0.905997      0.0163219       -3.59139 
           7.4         170.82       0.609317    -0.00214563      -0.262705    -0.00522297       0.906002      0.0157211       -3.59143 
           7.6        170.827        0.60929    -0.00219219      -0.262707    -0.00516833       0.906004      0.0154627       -3.59145 
           7.8         170.83       0.609279     -0.0022112      -0.262707    -0.00514704       0.906005      0.0153608       -3.59146 
             8        170.831       0.609275    -0.00221827      -0.262707    -0.00513928       0.906005      0.0153235       -3.59146 
           8.2        170.832       0.609275    -0.00222037      -0.262707    -0.00513741       0.906006      0.0153139       -3.59146 
           8.4        170.832       0.609274    -0.00222107      -0.262707    -0.00513667       0.906006      0.0153103       -3.59146 
           8.6        170.832       0.609274    -0.00222123      -0.262707    -0.00513656       0.906006      0.0153097       -3.59146 
           8.8        170.832       0.609274     -0.0022213      -0.262707    -0.00513645       0.906006      0.0153092       -3.59146 
             9        170.832       0.609274    -0.00222131      -0.262707    -0.00513644       0.906006      0.0153092       -3.59146 
           9.2        170.832       0.609274    -0.00222131      -0.262707    -0.00513644       0.906006      0.0153092       -3.59146 
           9.4        170.832       0.609274    -0.00222131      -0.262707    -0.00513644       0.906006      0.0153092       -3.59146 
           9.6        170.832       0.609274    -0.00222131      -0.262707    -0.00513644       0.906006      0.0153092       -3.59146 
           9.8        170.832       0.609274    -0.00222131      -0.262707    -0.00513644       0.906006      0.0153092       -3.59146 
            10        170.832       0.609274    -0.00222131      -0.262707    -0.00513644       0.906006      0.0153092       -3.59146 
          10.2        170.832       0.609274    -0.00222131      -0.262707    -0.00513644       0.906006      0.0153092       -3.59146 
          10.4        170.832       0.609274    -0.00222131      -0.262707    -0.00513644       0.906006      0.0153092       -3.59146 
          10.6        170.832           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
          10.8        170.832           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
            11        170.832           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
          11.2        170.832           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
          11.4        170.832           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
          11.6        170.832           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
          11.8        170.832           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
            12        170.832           -nan           -nan           -nan           -nan           -nan           -nan           -nan 
