            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        2.19681        2.90142       0.963182       0.959144        0.82099       0.803201       0.296319       0.243737 
           0.4        4.42399        2.84756       0.926647       0.918946       0.653372       0.624164      -0.271196      -0.313707 
           0.6        6.71171        2.78309       0.890365       0.879251       0.496799       0.461545      -0.714996      -0.699771 
           0.8        9.08962        2.70926       0.854319       0.839914       0.351076       0.314264       -1.04598      -0.937793 
             1        11.5864        2.62756       0.818507         0.8008       0.216117        0.18149       -1.27411        -1.0479 
           1.2        14.2291        2.53969       0.782939       0.761792      0.0919206      0.0626353       -1.40886       -1.04781 
           1.4         17.042        2.44742       0.747641       0.722795     -0.0214679     -0.0426641       -1.45963      -0.953656 
           1.6        20.0462        2.35249       0.712649       0.683745      -0.123982       -0.13457       -1.43599      -0.780722 
           1.8        23.2573        2.25662        0.67802       0.644618      -0.215562      -0.213079       -1.34792      -0.544137 
             2        26.6852        2.16133       0.643822       0.605436      -0.296188      -0.278092       -1.20583      -0.259374 
           2.2        30.3332        2.06794       0.610142        0.56627      -0.365908      -0.329489       -1.02056       0.057472 
           2.4        34.1965        1.97756        0.57708       0.527243      -0.424873      -0.367217       -0.80318       0.389758 
           2.6        38.2637          1.891       0.544741       0.488519      -0.473356      -0.391383      -0.564703       0.720718 
           2.8        42.5158        1.80889       0.513235       0.450298      -0.511771      -0.402319      -0.315727        1.03415 
             3        46.9283        1.73157       0.482668       0.412799      -0.540668      -0.400631     -0.0660176        1.31528 
           3.2         51.472        1.65923        0.45314       0.376253      -0.560725      -0.387206       0.175819        1.55162 
           3.4        56.1144         1.5919       0.424742       0.340887      -0.572721      -0.363198       0.402639         1.7337 
           3.6        60.8216        1.52945       0.397555       0.306911       -0.57751      -0.329982       0.608892        1.85548 
           3.8        65.5595        1.47169       0.371647       0.274509      -0.575989      -0.289084       0.790703        1.91457 
             4        70.2958        1.41835       0.347074       0.243831      -0.569068       -0.24211       0.945786        1.91198 
           4.2        75.0007        1.36913       0.323877       0.214986      -0.557643      -0.190659        1.07331        1.85166 
           4.4         79.648        1.32371       0.302081       0.188043      -0.542568      -0.136254        1.17369        1.73983 
           4.6        84.2156        1.28177       0.281691       0.163027      -0.524636     -0.0802796        1.24829         1.5842 
           4.8        88.6851        1.24302       0.262699       0.139928      -0.504571     -0.0239514         1.2992        1.39327 
             5        93.0407        1.20719       0.245081        0.11871      -0.483015      0.0316995        1.32894        1.17564 
           5.2        97.2675        1.17405       0.228804      0.0993179      -0.460542      0.0858148        1.34029       0.939691 
           5.4        101.349        1.14344       0.213834      0.0816947      -0.437667       0.137674        1.33613       0.693313 
           5.6        105.265        1.11525       0.200137      0.0657843      -0.414859       0.186673        1.31934       0.443841 
           5.8        108.992        1.08943       0.187686      0.0515356      -0.392554       0.232299        1.29278          0.198 
             6        112.501        1.06596       0.176458      0.0388968      -0.371151       0.274141        1.25925     -0.0382495 
           6.2        115.765        1.04482       0.166424      0.0278048      -0.350993        0.31192        1.22135       -0.25999 
           6.4        118.758        1.02599       0.157554      0.0181862      -0.332367       0.345476        1.18149      -0.463378 
           6.6        121.457        1.00946       0.149811     0.00995912      -0.315506       0.374763        1.14174      -0.645668 
           6.8        123.848       0.995149       0.143142     0.00302027       -0.30055        0.39988        1.10382      -0.805471 
             7        125.909       0.983058       0.137523    -0.00270576       -0.28765       0.420896        1.06923      -0.941585 
           7.2        127.621        0.97319       0.132942    -0.00728141      -0.276947       0.437877        1.03928       -1.05314 
           7.4        128.978       0.965477       0.129358      -0.010795       -0.26847       0.451031         1.0148       -1.14052 
           7.6        129.998       0.959748       0.126691     -0.0133689      -0.262108        0.46073       0.995998       -1.20548 
           7.8        130.718       0.955733       0.124815     -0.0151546      -0.257616       0.467491       0.982505       -1.25104 
             8        131.194       0.953098       0.123579     -0.0163192       -0.25465       0.471914       0.973503       -1.28096 
           8.2        131.485        0.95149        0.12282     -0.0170277      -0.252831       0.474612       0.967945       -1.29927 
           8.4         131.65       0.950584       0.122389      -0.017427      -0.251801       0.476135       0.964788       -1.30961 
           8.6        131.736       0.950116       0.122164     -0.0176337      -0.251267       0.476924       0.963146       -1.31498 
           8.8        131.776       0.949895       0.122057     -0.0177314      -0.251014       0.477297       0.962368       -1.31752 
             9        131.793       0.949801        0.12201     -0.0177733      -0.250906       0.477457       0.962035       -1.31861 
           9.2          131.8       0.949764       0.121992     -0.0177896      -0.250864       0.477519       0.961906       -1.31903 
           9.4        131.802       0.949752       0.121986      -0.017795       -0.25085        0.47754       0.961863       -1.31917 
           9.6        131.803       0.949749       0.121984     -0.0177967      -0.250845       0.477547       0.961849       -1.31922 
           9.8        131.803       0.949747       0.121983     -0.0177973      -0.250844       0.477549       0.961844       -1.31923 
            10        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961843       -1.31924 
          10.2        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          10.4        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          10.6        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          10.8        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
            11        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          11.2        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          11.4        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          11.6        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          11.8        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
            12        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          12.2        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          12.4        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          12.6        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          12.8        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
            13        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          13.2        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          13.4        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          13.6        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
          13.8        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
            14        131.803       0.949747       0.121983     -0.0177974      -0.250844       0.477549       0.961844       -1.31924 
