                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              2.74328              2.87129             0.954417             0.949402             0.779879             0.758485             0.148831             0.092319 
                 0.4              5.52401              2.80952             0.909292             0.899868             0.577271              0.54425             -0.49752             -0.51861 
                 0.6              8.37934               2.7375             0.864597              0.85121             0.391577             0.355148            -0.962822            -0.883197 
                 0.8              11.3457              2.65657             0.820324             0.803256              0.22241             0.189436             -1.26822             -1.04433 
                   1              14.4582              2.56825             0.776487             0.755852            0.0695282            0.0457408             -1.43323             -1.03908 
                 1.2              17.7497              2.47426             0.733118             0.708872           -0.0672164           -0.0769713             -1.47643            -0.900233 
                 1.4              21.2498              2.37635             0.690269             0.662221            -0.187937            -0.179445             -1.41604            -0.657645 
                 1.6              24.9837              2.27629             0.648008             0.615847            -0.292759            -0.262194             -1.27018            -0.339364 
                 1.8              28.9703              2.17569              0.60642             0.569749            -0.381868            -0.325586             -1.05698            0.0275325 
                   2              33.2217              2.07605              0.56561             0.523985            -0.455551            -0.369946            -0.794533             0.416507 
                 2.2              37.7415              1.97863             0.525692             0.478669            -0.514238            -0.395679            -0.500562             0.801665 
                 2.4              42.5247              1.88445             0.486791             0.433975            -0.558528             -0.40338            -0.192032              1.15833 
                 2.6              47.5575              1.79429             0.449037             0.390122            -0.589207            -0.393938             0.115401              1.46408 
                 2.8              52.8181               1.7087             0.412556             0.347365            -0.607248            -0.368598             0.407967              1.69996 
                   3              58.2779              1.62801             0.377462             0.305975            -0.613791            -0.328976             0.674256              1.85175 
                 3.2              63.9028              1.55235             0.343859             0.266226            -0.610105            -0.277034             0.905568              1.91083 
                 3.4              69.6551              1.48173             0.311836             0.228378            -0.597551            -0.215009              1.09604              1.87465 
                 3.6               75.495              1.41602             0.281463             0.192663            -0.577527             -0.14531              1.24261              1.74661 
                 3.8              81.3836              1.35501             0.252796             0.159271            -0.551424           -0.0704005              1.34478              1.53539 
                   4               87.283              1.29844             0.225872             0.128343            -0.520582           0.00731961              1.40422              1.25379 
                 4.2                93.16                1.246             0.200708             0.099965            -0.486247            0.0856416               1.4243             0.917299 
                 4.4              98.9866              1.19735             0.177296            0.0741645            -0.449538             0.162632              1.40959             0.542519 
                 4.6              104.742              1.15217             0.155607            0.0509134            -0.411421             0.236702              1.36525             0.145767 
                 4.8              110.413              1.11012             0.135587            0.0301387              -0.3727             0.306619              1.29666            -0.258009 
                   5               115.99              1.07088             0.117165            0.0117367            -0.334028             0.371477              1.20899            -0.655826 
                 5.2              121.468               1.0342              0.10026          -0.00441137            -0.295926             0.430645              1.10705             -1.03685 
                 5.4              126.834             0.999896            0.0848025           -0.0184124            -0.258867             0.483642             0.995359             -1.39188 
                 5.6              132.052             0.967954            0.0707604           -0.0303417            -0.223359             0.530037             0.878406             -1.71279 
                 5.8              137.066             0.938505            0.0581362           -0.0402658            -0.189971             0.569498             0.760779              -1.9928 
                   6              141.817             0.911632             0.046907           -0.0483095            -0.159136             0.602058             0.646446             -2.22853 
                 6.2              146.277             0.887273            0.0369932           -0.0546697            -0.131038             0.628167              0.53815             -2.42049 
                 6.4              150.426             0.865314            0.0282931           -0.0595668            -0.105716             0.648491             0.437676             -2.57162 
                 6.6               154.24             0.845694            0.0207193           -0.0632124           -0.0831892             0.663744             0.346362             -2.68597 
                 6.8              157.696             0.828366            0.0141903           -0.0658145           -0.0634386             0.674698              0.26506             -2.76851 
                   7              160.746             0.813407           0.00867404           -0.0675633           -0.0465447             0.682091             0.194777             -2.82436 
                 7.2               163.34             0.800926           0.00415326           -0.0686493            -0.032586             0.686694             0.136306             -2.85912 
                 7.4              165.447             0.790939          0.000586043            -0.069261           -0.0215212             0.689292            0.0897695             -2.87868 
                 7.6              167.073             0.783328          -0.00210531           -0.0695679           -0.0131588             0.690597            0.0545217             -2.88843 
                 7.8              168.256             0.777838          -0.00403432           -0.0697008          -0.00716615             0.691162            0.0292365             -2.89258 
                   8              169.063             0.774116          -0.00533888           -0.0697479           -0.0031219             0.691362            0.0121651               -2.894 
