                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              8.16815             0.977995             0.934994             0.871122              0.69448             0.413402            -0.105814            -0.951884 
                 0.4              16.3937             0.955835             0.871572             0.747714             0.433706           -0.0397802            -0.740821             -1.60459 
                 0.6              24.7279             0.933382             0.809402             0.629198             0.213362            -0.374746             -1.01558             -1.38047 
                 0.8              33.2102              0.91053             0.748287             0.515316            0.0303063            -0.603743             -1.02113            -0.619721 
                   1               41.864             0.887217             0.688182             0.406136            -0.117811            -0.737453            -0.835573             0.397665 
                 1.2              50.6937             0.863429             0.629191             0.302025             -0.23297            -0.786277            -0.527898              1.44175 
                 1.4              59.6839             0.839209             0.571553             0.203583            -0.317185            -0.761326            -0.159239              2.33176 
                 1.6              68.7999              0.81465             0.515609              0.11155            -0.372807             -0.67495             0.217851              2.93994 
                 1.8              77.9895             0.789893             0.461758            0.0267049            -0.402709            -0.540748              0.56117              3.19552 
                   2              87.1873             0.765114              0.41042           -0.0502461            -0.410304            -0.373093             0.840579              3.08433 
                 2.2              96.3182             0.740514             0.361989            -0.118758            -0.399444            -0.186311              1.03879              2.64208 
                 2.4              105.301             0.716315             0.316808              -0.1785            -0.374204           0.00623671              1.15071              1.94156 
                 2.6              114.048             0.692749             0.275158            -0.229388            -0.338662              0.19296              1.18147              1.07651 
                 2.8              122.465             0.670075              0.23727            -0.271567            -0.296696             0.364584              1.14372             0.145388 
                   3              130.446             0.648572              0.20332            -0.305426            -0.251831             0.514521              1.05464            -0.762757 
                 3.2              137.887             0.628526             0.173411            -0.331613            -0.207076             0.639119             0.932959             -1.57951 
                 3.4              144.695             0.610184              0.14751            -0.351035            -0.164738             0.737699             0.796109             -2.26391 
                 3.6              150.811             0.593709             0.125442            -0.364785             -0.12633             0.812068             0.658031             -2.80242 
                 3.8              156.203             0.579181             0.106923            -0.374014           -0.0926559             0.865599               0.5284             -3.20235 
                   4              160.855             0.566649            0.0916541            -0.379796            -0.064051             0.902226             0.413283             -3.48268 
                 4.2              164.752             0.556152            0.0793694            -0.383088           -0.0405787             0.925873             0.316087             -3.66734 
                 4.4                167.9              0.54767            0.0697792            -0.384717            -0.022027             0.940203             0.237886              -3.7814 
                 4.6              170.338             0.541101            0.0625573            -0.385345          -0.00795343             0.948337             0.177924             -3.84752 
                 4.8              172.139             0.536251            0.0573411            -0.385455           0.00225409              0.95267             0.134165             -3.88367 
                   5              173.398             0.532858            0.0537503            -0.385352           0.00929599             0.954856             0.103873              -3.9025 
                 5.2               174.23             0.530618            0.0514059            -0.385204             0.013899             0.955916            0.0840363             -3.91202 
                 5.4              174.745              0.52923            0.0499643             -0.38508            0.0167312             0.956421            0.0718189             -3.91675 
                 5.6              175.042             0.528428            0.0491348            -0.384997            0.0183611             0.956659            0.0647846             -3.91907 
                 5.8              175.202             0.527997              0.04869             -0.38495            0.0192351             0.956771            0.0610114              -3.9202 
                   6              175.282             0.527784            0.0484699            -0.384925            0.0196677             0.956823            0.0591435             -3.92072 
                 6.2              175.318             0.527686            0.0483691            -0.384913             0.019866             0.956845            0.0582875             -3.92096 
                 6.4              175.333             0.527645            0.0483271            -0.384909            0.0199484             0.956854            0.0579317             -3.92105 
                 6.6              175.339              0.52763            0.0483114            -0.384907            0.0199794             0.956858            0.0577977             -3.92109 
                 6.8              175.341             0.527625            0.0483062            -0.384906            0.0199896             0.956859            0.0577539              -3.9211 
                   7              175.341             0.527623            0.0483044            -0.384906            0.0199931             0.956859            0.0577385              -3.9211 
                 7.2              175.341             0.527623             0.048304            -0.384906            0.0199939             0.956859            0.0577351             -3.92111 
                 7.4              175.341             0.527622            0.0483039            -0.384906            0.0199942             0.956859            0.0577339             -3.92111 
                 7.6              175.341             0.527622            0.0483039            -0.384906            0.0199942             0.956859            0.0577339             -3.92111 
                 7.8              175.341             0.527622            0.0483038            -0.384906            0.0199942             0.956859            0.0577339             -3.92111 
                   8              175.341             0.527622            0.0483039            -0.384906            0.0199942             0.956859             0.057734             -3.92111 
                 8.2              175.341             0.527622            0.0483039            -0.384906            0.0199942             0.956859             0.057734             -3.92111 
                 8.4              175.341             0.527622            0.0483039            -0.384906            0.0199942             0.956859             0.057734             -3.92111 
                 8.6              175.341             0.527622            0.0483039            -0.384906            0.0199942             0.956859             0.057734             -3.92111 
                 8.8              175.341             0.527622            0.0483039            -0.384906            0.0199942             0.956859             0.057734             -3.92111 
                   9              175.341             0.527622            0.0483039            -0.384906            0.0199942             0.956859             0.057734             -3.92111 
                 9.2              175.341             0.527622            0.0483039            -0.384906            0.0199942             0.956859             0.057734             -3.92111 
                 9.4              175.341                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                 9.6              175.341                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                 9.8              175.341                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  10              175.341                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
