                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              2.00022             0.997605              0.99283             0.985684             0.964444             0.929305             0.853526             0.711617 
                 0.4              4.00437             0.995205             0.985675              0.97145             0.929553             0.860764             0.715418             0.448688 
                 0.6              6.01641             0.992796             0.978522              0.95727             0.895256             0.794221              0.58518              0.20968 
                 0.8              8.04037             0.990373             0.971357             0.943116             0.861486             0.729537              0.46238          -0.00674406 
                   1              10.0803              0.98793             0.964167             0.928964             0.828182             0.666587             0.346644            -0.201739 
                 1.2              12.1405             0.985463             0.956936             0.914786             0.795286             0.605263             0.237656            -0.376292 
                 1.4              14.2248             0.982967             0.949652             0.900559             0.762746             0.545472             0.135155            -0.531239 
                 1.6              16.3374             0.980438             0.942303             0.886259             0.730521             0.487143            0.0389373            -0.667272 
                 1.8              18.4819              0.97787             0.934877             0.871868             0.698577             0.430229           -0.0511431            -0.784957 
                   2              20.6613             0.975261             0.927364             0.857369             0.666893             0.374709            -0.135175            -0.884752 
                 2.2               22.878             0.972606             0.919759             0.842754             0.635463             0.320588            -0.213201            -0.967043 
                 2.4              25.1335             0.969906             0.912058             0.828019             0.604296             0.267904            -0.285215             -1.03218 
                 2.6              27.4282             0.967158             0.904262              0.81317             0.573417             0.216718            -0.351188              -1.0805 
                 2.8              29.7616             0.964364             0.896375             0.798215             0.542864             0.167111            -0.411079             -1.11241 
                   3              32.1322             0.961526             0.888404             0.783173             0.512684             0.119177            -0.464855             -1.12838 
                 3.2              34.5377             0.958645             0.880357             0.768063             0.482932             0.073014            -0.512504             -1.12898 
                 3.4              36.9755             0.955726             0.872246             0.752909             0.453663             0.028717            -0.554048              -1.1149 
                 3.6              39.4428             0.952772             0.864082             0.737734             0.424931           -0.0136304            -0.589551             -1.08694 
                 3.8              41.9364             0.949786             0.855877             0.722564             0.396787           -0.0539545            -0.619118             -1.04599 
                   4              44.4533             0.946772             0.847642              0.70742             0.369279           -0.0921973            -0.642894            -0.993017 
                 4.2              46.9905             0.943734             0.839388             0.692326             0.342445            -0.128316            -0.661061            -0.929066 
                 4.4              49.5448             0.940676             0.831127             0.677304             0.316325            -0.162279            -0.673831            -0.855222 
                 4.6              52.1132             0.937601             0.822868             0.662374             0.290949            -0.194071            -0.681448            -0.772598 
                 4.8              54.6928             0.934512             0.814623             0.647557             0.266343            -0.223687            -0.684175            -0.682328 
                   5              57.2805             0.931413             0.806402              0.63287              0.24253            -0.251135            -0.682298            -0.585541 
                 5.2              59.8741             0.928308             0.798212             0.618329             0.219524            -0.276438            -0.676115            -0.483339 
                 5.4              62.4708             0.925199             0.790061             0.603949             0.197335            -0.299629            -0.665931            -0.376795 
