            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        6.19487       0.992582       0.977889       0.956017       0.892249       0.788427       0.574025       0.189647
           0.4        12.4021        0.98515        0.95602       0.912994        0.79116       0.597633       0.224366      -0.396914
           0.6        18.6343       0.977688        0.93435        0.87085       0.696336       0.426271      -0.057262       -0.79257
           0.8        24.9041        0.97018        0.91284       0.829512       0.607429       0.273154       -0.27822       -1.02637
             1        31.2246       0.962612        0.89145       0.788914       0.524136       0.137238      -0.445087       -1.12414
           1.2        37.6092       0.954967       0.870145       0.748996       0.446199      0.0176049      -0.563779       -1.10898
           1.4        44.0711        0.94723       0.848889       0.709709       0.373399     -0.0865463      -0.639662       -1.00176
           1.6        50.6234       0.939384       0.827652       0.671013        0.30556      -0.175915      -0.677648      -0.821479
           1.8        57.2785       0.931416       0.806408       0.632881       0.242549      -0.251114      -0.682301       -0.58562
             2        64.0475       0.923311       0.785137       0.595305       0.184268      -0.312692       -0.65793      -0.310451
           2.2        70.9393       0.915058       0.763829       0.558293       0.130657      -0.361152      -0.608675     -0.0112244
           2.4        77.9602       0.906652       0.742484       0.521876      0.0816849      -0.396986      -0.538585       0.297713
           2.6         85.113       0.898087       0.721114       0.486107      0.0373396      -0.420708      -0.451667       0.602922
           2.8        92.3962       0.889366       0.699743        0.45106    -0.00238229      -0.432881      -0.351917       0.891975
             3        99.8046       0.880496       0.678409       0.416827     -0.0374917      -0.434158      -0.243302         1.1537
           3.2        107.329       0.871486       0.657157       0.383513     -0.0680224       -0.42529        -0.1297        1.37849
           3.4        114.958       0.862351       0.636039       0.351227     -0.0940409      -0.407143     -0.0148239        1.55857
           3.6        122.677       0.853109        0.61511       0.320076      -0.115656      -0.380683      0.0978798        1.68828
           3.8        130.471       0.843776       0.594426       0.290163      -0.133018      -0.346964       0.205311        1.76415
             4        138.324       0.834373       0.574042       0.261581      -0.146322      -0.307102       0.304796        1.78498
           4.2        146.218       0.824921       0.554011        0.23441      -0.155797       -0.26225       0.394143        1.75172
           4.4        154.136        0.81544       0.534384       0.208722       -0.16171      -0.213576       0.471658        1.66728
           4.6        162.059       0.805953       0.515209       0.184571      -0.164349      -0.162227       0.536171        1.53629
           4.8        169.969       0.796482        0.49653          0.162      -0.164028      -0.109311       0.587022        1.36475
             5        177.849       0.787046       0.478383       0.141033      -0.161069     -0.0558654       0.624027        1.15967
           5.2        185.682       0.777667         0.4608       0.121678      -0.155801    -0.00284014       0.647429       0.928664
           5.4        193.453       0.768362       0.443807       0.103929      -0.148549       0.048923        0.65784       0.679537
           5.6        201.148       0.759149       0.427421      0.0877657       -0.13963      0.0986917        0.65616       0.420009
           5.8        208.753       0.750043       0.411658      0.0731585      -0.129348       0.145845       0.643517       0.157431
             6        216.253       0.741063       0.396533      0.0600683      -0.117992       0.189871         0.6212      -0.101415
           6.2         223.63       0.732229        0.38206      0.0484525      -0.105837       0.230356       0.590621      -0.350414
           6.4        230.863       0.723569       0.368264      0.0382657     -0.0931515        0.26697       0.553286      -0.584189
           6.6        237.922       0.715116       0.355172      0.0294545     -0.0801914       0.299489       0.510754      -0.798304
           6.8        244.772       0.706914       0.342823      0.0219616     -0.0672093       0.327776       0.464636      -0.989255
             7        251.367       0.699017        0.33126      0.0157167     -0.0544471       0.351809       0.416536       -1.15471
           7.2        257.659       0.691484       0.320531      0.0106352     -0.0421343       0.371682       0.368014       -1.29358
           7.4        263.592       0.684379       0.310681     0.00661564     -0.0304772       0.387619       0.320509       -1.40609
           7.6        269.115       0.677767       0.301748     0.00353989     -0.0196515       0.399956       0.275279       -1.49369
           7.8        274.178       0.671705       0.293758     0.00127661    -0.00979493       0.409129       0.233346       -1.55889
             8        278.741        0.66624       0.286717   -0.000313192   -0.000998774       0.415636       0.195443       -1.60495
           8.2        282.782       0.661402       0.280613    -0.00136851     0.00669584       0.420002       0.162001       -1.63551
           8.4        286.293       0.657198       0.275407    -0.00201975       0.013295       0.422736       0.133164       -1.65421
           8.6        289.277       0.653625       0.271054     -0.0023808      0.0188322       0.424287       0.108892       -1.66436
           8.8        291.745        0.65067       0.267505    -0.00254711      0.0233557       0.425037       0.089033       -1.66878
             9         293.72       0.648305       0.264696    -0.00259448      0.0269381       0.425292      0.0732968       -1.66974
           9.2        295.243       0.646482        0.26255    -0.00257939      0.0296744       0.425281      0.0612785       -1.66891
           9.4        296.367       0.645136       0.260977    -0.00253938      0.0316805       0.425156        0.05247       -1.66744
           9.6        297.157        0.64419       0.259877    -0.00249688      0.0330826        0.42501      0.0463156       -1.66596
           9.8        297.683        0.64356       0.259148    -0.00246192      0.0340122       0.424886      0.0422367       -1.66478
            10        298.012       0.643166       0.258692    -0.00243721      0.0345936       0.424797      0.0396865       -1.66396
          10.2        298.205       0.642934       0.258425    -0.00242172      0.0349343       0.424741      0.0381922       -1.66345
          10.4        298.311       0.642808       0.258279    -0.00241315      0.0351196        0.42471      0.0373795       -1.66316
          10.6        298.364       0.642744       0.258205    -0.00240861      0.0352135       0.424693      0.0369676       -1.66301
          10.8        298.389       0.642714       0.258171    -0.00240647      0.0352573       0.424686      0.0367759       -1.66294
            11          298.4       0.642702       0.258156    -0.00240566      0.0352756       0.424682      0.0366952       -1.66291
          11.2        298.404       0.642697       0.258151    -0.00240527      0.0352827       0.424681      0.0366642        -1.6629
          11.4        298.405       0.642695       0.258149    -0.00240516      0.0352852       0.424681      0.0366531        -1.6629
          11.6        298.405       0.642695       0.258148    -0.00240511       0.035286       0.424681      0.0366496        -1.6629
          11.8        298.406       0.642694       0.258148    -0.00240514      0.0352862       0.424681       0.036649        -1.6629
            12        298.406       0.642694       0.258148    -0.00240518      0.0352862       0.424681      0.0366491        -1.6629
          12.2        298.406       0.642694       0.258148    -0.00240517      0.0352862       0.424681      0.0366491        -1.6629
          12.4        298.406       0.642694       0.258148    -0.00240517      0.0352862       0.424681      0.0366491        -1.6629
          12.6        298.406       0.642694       0.258148    -0.00240517      0.0352862       0.424681      0.0366491        -1.6629
          12.8        298.406       0.642694       0.258148    -0.00240517      0.0352862       0.424681      0.0366491        -1.6629
            13        298.406       0.642694       0.258148    -0.00240517      0.0352862       0.424681      0.0366491        -1.6629
          13.2        298.406       0.642694       0.258148    -0.00240517      0.0352862       0.424681      0.0366491        -1.6629
          13.4        298.406       0.642694       0.258148    -0.00240517      0.0352862       0.424681      0.0366491        -1.6629
          13.6        298.406       0.642694       0.258148    -0.00240517      0.0352862       0.424681      0.0366491        -1.6629
          13.8        298.406       0.642694       0.258148    -0.00240517      0.0352862       0.424681      0.0366491        -1.6629
            14        298.406       0.642694       0.258148    -0.00240517      0.0352862       0.424681      0.0366491        -1.6629
