            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2         5.6934       0.986325       0.959381       0.919266       0.804852       0.619958       0.254567      -0.379223 
           0.4        11.4244       0.972559       0.919315       0.840655       0.627846       0.295412      -0.285337       -1.16896 
           0.6        17.2281        0.95862        0.87958       0.763764       0.467365       0.021527      -0.651291        -1.4908 
           0.8        23.1342       0.944433        0.84001       0.688318       0.322319      -0.205192      -0.869277       -1.44672 
             1        29.1654       0.929947       0.800506       0.614193       0.192068      -0.387259       -0.96172       -1.12609 
           1.2        35.3349       0.915128       0.761039       0.541414      0.0763092      -0.526615      -0.949156      -0.610589 
           1.4        41.6457        0.89997       0.721656       0.470156     -0.0250527      -0.625049      -0.851403      0.0233112 
           1.6        48.0896       0.884493       0.682473       0.400716      -0.112054      -0.684588       -0.68816       0.704135 
           1.8        54.6481        0.86874       0.643661       0.333483      -0.184802      -0.707794      -0.479032        1.36702 
             2         61.293       0.852779       0.605439       0.268904      -0.243587      -0.697942      -0.243069        1.95644 
           2.2        67.9876       0.836699        0.56805       0.207441       -0.28895      -0.659053     0.00199539         2.4291 
           2.4        74.6879       0.820606       0.531755       0.149538      -0.321714      -0.595812       0.240595        2.75614 
           2.6        81.3439       0.804618       0.496815      0.0955898      -0.342978      -0.513377       0.460083        2.92412 
           2.8        87.9014       0.788868       0.463478      0.0459178      -0.354074      -0.417123       0.651243        2.93447 
             3        94.3026       0.773493       0.431975    0.000753507      -0.356508      -0.312364       0.808461        2.80147 
           3.2        100.489       0.758634       0.402508     -0.0397774      -0.351887      -0.204073       0.929599        2.54906 
           3.4        106.401       0.744433       0.375241     -0.0756583      -0.341837     -0.0966405        1.01553         2.2071 
           3.6        111.984       0.731023       0.350297      -0.106982      -0.327925     0.00630239         1.0695        1.80741 
           3.8        117.188       0.718524       0.327751      -0.133943      -0.311594       0.102001        1.09635        1.38032 
             4        121.971       0.707035       0.307627      -0.156828      -0.294099       0.188606        1.10172       0.952001 
           4.2        126.304       0.696629       0.289895      -0.175988       -0.27648       0.265111        1.09137       0.542937 
           4.4        130.167        0.68735       0.274481       -0.19182      -0.259541       0.331233        1.07063       0.167423 
           4.6        133.555       0.679211       0.261268      -0.204735       -0.24386       0.387254        1.04405      -0.166053 
           4.8        136.476       0.672194       0.250107      -0.215143      -0.229806       0.433852        1.01524      -0.453856 
             5         138.95       0.666253       0.240825      -0.223428      -0.217569       0.471947       0.986848      -0.696043 
           5.2        141.002       0.661324        0.23324      -0.229937       -0.20721       0.502537       0.960676      -0.894972 
           5.4        142.663       0.657335       0.227181      -0.234961      -0.198708       0.526577       0.937857       -1.05406 
           5.6        143.966       0.654206       0.222475      -0.238751      -0.191968       0.544974       0.918973       -1.17746 
           5.8        144.951       0.651839       0.218944      -0.241529      -0.186836       0.558608       0.904144       -1.26982 
             6        145.665       0.650124       0.216401      -0.243494      -0.183098       0.568334       0.893111       -1.33618 
           6.2        146.157       0.648942       0.214654      -0.244826      -0.180513       0.574965       0.885367       -1.38166 
           6.4        146.479        0.64817       0.213518      -0.245685      -0.178822       0.579259       0.880253        -1.4112 
           6.6        146.676       0.647697       0.212823      -0.246207      -0.177784       0.581877       0.877097       -1.42926 
           6.8        146.788       0.647426       0.212424      -0.246506      -0.177188       0.583375       0.875278        -1.4396 
             7        146.849       0.647281       0.212212      -0.246664      -0.176871        0.58417       0.874308        -1.4451 
           7.2        146.878        0.64721       0.212109      -0.246742      -0.176715        0.58456       0.873831       -1.44779 
           7.4        146.891       0.647179       0.212062      -0.246776      -0.176646       0.584735       0.873617         -1.449 
           7.6        146.897       0.647166       0.212043      -0.246791      -0.176617       0.584807       0.873529        -1.4495 
           7.8        146.899       0.647161       0.212036      -0.246796      -0.176606       0.584834       0.873496       -1.44968 
             8        146.899       0.647159       0.212033      -0.246798      -0.176603       0.584843       0.873486       -1.44974 
           8.2          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
           8.4          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
           8.6          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
           8.8          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
             9          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
           9.2          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
           9.4          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
           9.6          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
           9.8          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
            10          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
          10.2          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
          10.4          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
          10.6          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
          10.8          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
            11          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
          11.2          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
          11.4          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
          11.6          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
          11.8          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
            12          146.9       0.647159       0.212033      -0.246798      -0.176602       0.584845       0.873483       -1.44976 
