                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              7.18057             0.982753             0.948905              0.89861             0.757091             0.530329            0.0955897            -0.636277 
                 0.4              14.4065             0.965397             0.898792             0.800805             0.543096              0.14808            -0.494052             -1.38658 
                 0.6                21.72              0.94783             0.849405             0.706126             0.355431            -0.155439            -0.829642             -1.48543 
                 0.8              29.1574             0.929966             0.800558             0.614289             0.192229            -0.387048            -0.961672             -1.12666 
                   1              36.7462             0.911739             0.752145             0.525199            0.0521899            -0.552325            -0.933845            -0.475312 
                 1.2              44.5031             0.893107             0.704153              0.43895           -0.0656126            -0.656261            -0.785539               0.3251 
                 1.4              52.4327             0.874061             0.656651             0.355806             -0.16193            -0.703862            -0.553237               1.1499 
                 1.6              60.5268             0.854619             0.609789             0.276169            -0.237532            -0.700631            -0.270941              1.89401 
                 1.8              68.7652             0.834831              0.56378             0.200536            -0.293376            -0.652873            0.0302643              2.47488 
                   2              77.1157             0.814774             0.518882             0.129448             -0.33071            -0.567781             0.323168              2.83585 
                 2.2              85.5365             0.794548             0.475376            0.0634334             -0.35113            -0.453313             0.585574              2.94828 
                 2.4              93.9769             0.774275             0.433553           0.00297248            -0.356569              -0.3179             0.801223              2.81149 
                 2.6              102.379             0.754094             0.393694           -0.0515529            -0.349238            -0.170028             0.960286              2.44974 
                 2.8               110.68             0.734156             0.356055           -0.0998859            -0.331529           -0.0177819              1.05925              1.90672 
                   3              118.812             0.714622             0.320853            -0.141918            -0.305902             0.131607              1.10021               1.2382 
                 3.2              126.708             0.695658             0.288264            -0.177701            -0.274758             0.272133              1.08969             0.504009 
                 3.4              134.298             0.677427              0.25841            -0.207445            -0.240331             0.399257              1.03722             -0.23929 
                 3.6              141.513             0.660097             0.231369            -0.231506            -0.204606                 0.51              0.95381            -0.944101 
                 3.8               148.29              0.64382             0.207161            -0.250375            -0.169243             0.602951             0.850587             -1.57563 
                   4              154.571             0.628733             0.185751             -0.26465            -0.135541             0.678103             0.737701             -2.11318 
                 4.2              160.313             0.614941             0.167044            -0.275005            -0.104422             0.736607             0.623523             -2.54941 
                 4.4              165.489             0.602509              0.15089            -0.282141           -0.0764438             0.780419             0.514278             -2.88778 
                 4.6              170.087             0.591465             0.137103            -0.286737           -0.0518636              0.81192             0.414085             -3.13896 
                 4.8               174.11             0.581801             0.125474             -0.28942           -0.0307069             0.833584             0.325252             -3.31734 
                   5              177.575             0.573478             0.115785            -0.290731           -0.0128358             0.847744             0.248686              -3.4383 
                 5.2              180.505             0.566442             0.107828            -0.291121           0.00197001             0.856432             0.184395             -3.51619 
                 5.4              182.923             0.560634             0.101421            -0.290948            0.0139566             0.861325              0.13189             -3.56333 
                 5.6              184.861             0.555978            0.0963917            -0.290486            0.0233959             0.863756            0.0903195             -3.58979 
                 5.8              186.361             0.552374            0.0925642            -0.289932            0.0305905             0.864725            0.0585316              -3.6033 
                   6              187.475             0.549699            0.0897584             -0.28941            0.0358683              0.86493            0.0351703              -3.6094 
                 6.2              188.265             0.547803            0.0877893            -0.288983            0.0395732             0.864811            0.0187545             -3.61168 
                 6.4              188.795             0.546528             0.086474             -0.28867            0.0420481             0.864607           0.00778321             -3.61228 
                 6.6              189.132              0.54572            0.0856436             -0.28846            0.0436102             0.864427          0.000856521             -3.61226 
                 6.8              189.332             0.545239            0.0851508            -0.288331            0.0445374               0.8643          -0.00325561              -3.6121 
                   7              189.443             0.544971            0.0848772            -0.288257            0.0450521             0.864224           -0.0055383             -3.61197 
                 7.2              189.501             0.544834            0.0847369             -0.28822             0.045316             0.864183          -0.00670907             -3.61188 
                 7.4              189.528             0.544768            0.0846698            -0.288201            0.0454422             0.864163          -0.00726887             -3.61184 
                 7.6               189.54              0.54474            0.0846409            -0.288193            0.0454967             0.864154          -0.00751039             -3.61182 
                 7.8              189.545             0.544729            0.0846294             -0.28819            0.0455182             0.864151          -0.00760586             -3.61182 
                   8              189.546             0.544725            0.0846252            -0.288189            0.0455261              0.86415          -0.00764091             -3.61181 
                 8.2              189.547             0.544724            0.0846241            -0.288189            0.0455282             0.864149          -0.00764999             -3.61181 
                 8.4              189.547             0.544723            0.0846237            -0.288189            0.0455289             0.864149          -0.00765338             -3.61181 
                 8.6              189.547             0.544723            0.0846236            -0.288189            0.0455291             0.864149          -0.00765397             -3.61181 
                 8.8              189.547             0.544723            0.0846236            -0.288189            0.0455292             0.864149          -0.00765442             -3.61181 
                   9              189.547             0.544723            0.0846236            -0.288189            0.0455292             0.864149          -0.00765445             -3.61181 
                 9.2              189.547             0.544723            0.0846236            -0.288189            0.0455292             0.864149          -0.00765446             -3.61181 
                 9.4              189.547             0.544723            0.0846236            -0.288189            0.0455292             0.864149          -0.00765446             -3.61181 
                 9.6              189.547             0.544723            0.0846236            -0.288189            0.0455292             0.864149          -0.00765446             -3.61181 
                 9.8              189.547             0.544723            0.0846236            -0.288189            0.0455292             0.864149          -0.00765446             -3.61181 
                  10              189.547             0.544723            0.0846236            -0.288189            0.0455292             0.864149          -0.00765446             -3.61181 
                10.2              189.547             0.544723            0.0846236            -0.288189            0.0455292             0.864149          -0.00765446             -3.61181 
                10.4              189.547             0.544723            0.0846236            -0.288189            0.0455292             0.864149          -0.00765446             -3.61181 
                10.6              189.547                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                10.8              189.547                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  11              189.547                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                11.2              189.547                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                11.4              189.547                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                11.6              189.547                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                11.8              189.547                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  12              189.547                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
