            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        1.94621       0.996282       0.988879       0.977806       0.945042       0.890956       0.775401       0.560547 
           0.4        3.90106       0.992548       0.977775       0.955738       0.891446       0.786358       0.568559       0.175011 
           0.6        5.87311       0.988781       0.966639       0.933704       0.838984        0.68573       0.378047      -0.160847 
           0.8        7.87073       0.984965       0.955426       0.911617       0.787458       0.588689       0.202749      -0.450352 
             1        9.90187       0.981085       0.944096       0.889401       0.736707       0.494945      0.0418483      -0.696043 
           1.2        11.9738       0.977127        0.93261       0.866989        0.68661       0.404308      -0.105208       -0.89981 
           1.4        14.0929        0.97308        0.92094       0.844328       0.637093       0.316691      -0.238727       -1.06303 
           1.6        16.2639       0.968933       0.909063       0.821385       0.588129       0.232109      -0.358821       -1.18676 
           1.8          18.49        0.96468       0.896968       0.798147       0.539745        0.15068      -0.465448        -1.2719 
             2        20.7725        0.96032       0.884656       0.774623       0.492015      0.0726005       -0.55849       -1.31941 
           2.2        23.1104       0.955854       0.872137       0.750845       0.445058    -0.00186653      -0.637818        -1.3305 
           2.4        25.5006       0.951288       0.859435       0.726866       0.399028     -0.0724191      -0.703363       -1.30676 
           2.6        27.9384       0.946632        0.84658       0.702753       0.354096      -0.138752      -0.755187        -1.2503 
           2.8        30.4173       0.941897       0.833614       0.678592       0.310446      -0.200575      -0.793516       -1.16375 
             3        32.9294       0.937098        0.82058       0.654472       0.268259      -0.257644      -0.818772       -1.05023 
           3.2        35.4662       0.932252       0.807529        0.63049       0.227701      -0.309775      -0.831576      -0.913308 
           3.4        38.0182       0.927377        0.79451       0.606743        0.18892      -0.356854      -0.832733       -0.75684 
           3.6        40.5759       0.922492       0.781575       0.583324       0.152035      -0.398847      -0.823207       -0.58485 
           3.8        43.1294       0.917614       0.768772       0.560323       0.117139      -0.435794      -0.804084      -0.401388 
             4        45.6696       0.912761       0.756147        0.53782       0.084289      -0.467813      -0.776527      -0.210369 
           4.2        48.1876       0.907952       0.743741       0.515882      0.0535122      -0.495085      -0.741737     -0.0154601 
           4.4         50.676       0.903198       0.731588       0.494565      0.0247995       -0.51785        -0.7009       0.180059 
           4.6        53.1285       0.898513       0.719714       0.473908    -0.00188727      -0.536388      -0.655148       0.373349 
           4.8        55.5402       0.893906       0.708138       0.453933     -0.0266117      -0.551007      -0.605528        0.56205 
             5        57.9075       0.889384       0.696872       0.434654     -0.0494534      -0.562027      -0.552992       0.744248 
           5.2        60.2267       0.884954       0.685928       0.416083     -0.0704958      -0.569766      -0.498405       0.918385 
           5.4        62.4928       0.880626       0.675324       0.398236     -0.0898146      -0.574534      -0.442583        1.08314 
           5.6        64.6985       0.876412       0.665086       0.381149      -0.107469      -0.576642      -0.386328        1.23735 
           5.8        66.8334       0.872334       0.655257       0.364879      -0.123505      -0.576409      -0.330451        1.37998 
             6        68.8846       0.868416       0.645886       0.349493      -0.137962      -0.574174      -0.275761        1.51018 
           6.2        70.8381       0.864684       0.637029       0.335067      -0.150885      -0.570293      -0.223027        1.62742 
           6.4        72.6789       0.861168       0.628743       0.321673      -0.162327      -0.565139      -0.172969        1.73145 
           6.6        74.3892       0.857901       0.621096       0.309403      -0.172332      -0.559104      -0.126304        1.82222 
           6.8        75.9525       0.854915        0.61415       0.298335      -0.180961       -0.55258     -0.0836426        1.90002 
             7        77.3442       0.852256       0.608002       0.288601      -0.188236      -0.545992     -0.0457468        1.96499 
           7.2        78.5355       0.849981       0.602766       0.280355      -0.194165       -0.53979     -0.0134193        2.01732 
