            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2
           0.2        5.37113        0.98974       0.969467        0.93929       0.852186       0.710885       0.424861     -0.0802146
           0.4        10.7667       0.979433       0.939293       0.880016       0.715593       0.456508     -0.0215766      -0.786639
           0.6         16.211       0.969034       0.909351       0.821941       0.589301       0.234109      -0.356088       -1.18424
           0.8        21.7279       0.958495       0.879529       0.764868       0.472593      0.0415059      -0.592797        -1.3283
             1        27.3404       0.947774       0.849724       0.708636       0.364933      -0.122995      -0.743815       -1.26694
           1.2        33.0699       0.936829       0.819855       0.653134       0.265959      -0.260674      -0.819805        -1.0432
           1.4        38.9355       0.925625       0.789858         0.5983       0.175466      -0.372501      -0.830491      -0.696721
           1.6        44.9523       0.914132       0.759701       0.544136      0.0933793      -0.459239      -0.785115      -0.264996
           1.8        51.1309       0.902329       0.729378       0.490707      0.0197296      -0.521576      -0.692803       0.215933
             2        57.4757       0.890209        0.69892       0.438147     -0.0453903      -0.560256      -0.562832       0.711305
           2.2        63.9845       0.877776       0.668392        0.38665      -0.101876      -0.576226      -0.404723        1.18815
           2.4        70.6478       0.865048       0.637889       0.336462      -0.149662      -0.570744      -0.228185         1.6163
           2.6        77.4497       0.852055       0.607538       0.287867      -0.188772      -0.545464     -0.0428786        1.96975
           2.8        84.3678        0.83884        0.57748       0.241163      -0.219357      -0.502461       0.141955        2.22812
             3        91.3751       0.825454       0.547871       0.196646      -0.241721      -0.444201       0.317913        2.37786
           3.2        98.4406       0.811958       0.518867       0.154589      -0.256321      -0.373461       0.477831        2.41289
           3.4        105.531       0.798415       0.490623       0.115232      -0.263762      -0.293217       0.616095         2.3346
           3.6         112.61       0.784891       0.463279      0.0787632      -0.264766      -0.206501       0.728839        2.15126
           3.8        119.644       0.771454       0.436959       0.045315      -0.260147      -0.116261       0.813981        1.87672
             4          126.6       0.758167       0.411768      0.0149605      -0.250763     -0.0252385       0.871103         1.5288
           4.2        133.447       0.745089       0.387781     -0.0122935      -0.237482      0.0641636       0.901238        1.12738
           4.4        140.159       0.732266       0.365043     -0.0364992      -0.221139       0.149945       0.906532        0.69265
           4.6        146.719       0.719736       0.343568     -0.0577637      -0.202502        0.23056       0.889881       0.243523
           4.8        153.114        0.70752       0.323342     -0.0762344      -0.182247         0.3049       0.854564       -0.20341
             5        159.338       0.695631        0.30433     -0.0920838      -0.160954       0.372239       0.803949      -0.634358
           5.2        165.388       0.684074       0.286485      -0.105493      -0.139109        0.43216       0.741304       -1.03837
           5.4        171.254       0.672868       0.269781      -0.116628      -0.117147       0.484415       0.669785       -1.40665
           5.6        176.906       0.662072       0.254245      -0.125634     -0.0955161       0.528833       0.592612       -1.73192
           5.8         182.29       0.651787       0.239954      -0.132651     -0.0746929       0.565371       0.513151       -2.00871
             6        187.357       0.642109       0.226959      -0.137875     -0.0550741        0.59436       0.434441       -2.23526
           6.2        192.081       0.633085       0.215239      -0.141551     -0.0368921       0.616516       0.358725       -2.41377
           6.4         196.45       0.624739       0.204739      -0.143933     -0.0202695       0.632726       0.287569       -2.54875
           6.6        200.447       0.617104        0.19542      -0.145262    -0.00530074       0.643897       0.222195       -2.64561
           6.8        204.054       0.610214       0.187246      -0.145771     0.00795991       0.650954       0.163457       -2.71051
             7        207.228        0.60415       0.180236       -0.14568      0.0194016       0.654787       0.112289       -2.74962
           7.2        209.922       0.599004       0.174423       -0.14521      0.0289229       0.656294      0.0694539       -2.76948
           7.4        212.109       0.594827       0.169795      -0.144565      0.0365131       0.656342       0.035191       -2.77657
           7.6        213.796       0.591606       0.166282      -0.143907      0.0422743       0.655663     0.00914063       -2.77652
           7.8        215.023       0.589261       0.163756      -0.143341      0.0464159       0.654779    -0.00959883       -2.77346
             8        215.861        0.58766       0.162046      -0.142912      0.0492173       0.653987     -0.0222757       -2.76992
           8.2        216.395        0.58664       0.160962      -0.142621      0.0509918       0.653403     -0.0303053       -2.76705
           8.4        216.711       0.586037       0.160324      -0.142443      0.0520363       0.653029     -0.0350311       -2.76513
           8.6        216.883       0.585708       0.159977      -0.142343      0.0526049       0.652816      -0.037604       -2.76401
           8.8        216.969       0.585543       0.159803      -0.142293      0.0528892       0.652706     -0.0388902       -2.76343
             9        217.009       0.585468       0.159724       -0.14227      0.0530191       0.652656     -0.0394779       -2.76317
           9.2        217.025       0.585437       0.159691      -0.142261       0.053072       0.652635      -0.039717       -2.76306
           9.4        217.031       0.585425       0.159679      -0.142257      0.0530926       0.652627       -0.03981       -2.76301
           9.6        217.033       0.585421       0.159675      -0.142256      0.0530991       0.652624     -0.0398399         -2.763
           9.8        217.034        0.58542       0.159674      -0.142255      0.0531008       0.652624     -0.0398475         -2.763
            10        217.034        0.58542       0.159673      -0.142255      0.0531014       0.652624     -0.0398499       -2.76299
          10.2        217.034        0.58542       0.159673      -0.142255      0.0531015       0.652624     -0.0398507       -2.76299
          10.4        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          10.6        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          10.8        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
            11        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          11.2        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          11.4        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          11.6        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          11.8        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
            12        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          12.2        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          12.4        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          12.6        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          12.8        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
            13        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          13.2        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          13.4        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          13.6        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
          13.8        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
            14        217.034        0.58542       0.159673      -0.142255      0.0531016       0.652624     -0.0398509       -2.76299
