                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              5.04646             0.985242             0.956166              0.91279             0.789457             0.589632             0.196263            -0.487747 
                 0.4              10.1034             0.970452             0.913126             0.828087              0.59943             0.240251             -0.38215             -1.33448 
                 0.6              15.1768             0.955615             0.870836             0.745815             0.428708           -0.0526694            -0.770367             -1.67593 
                 0.8              20.2633              0.94074             0.829333              0.66605             0.276435            -0.292946            -0.999402             -1.63067 
                   1              25.3469             0.925873             0.788749              0.58905             0.142037            -0.484029             -1.09764             -1.30465 
                 1.2               30.397             0.911104             0.749319             0.515253            0.0250661            -0.629462             -1.09196            -0.793426 
                 1.4              35.3678             0.896567             0.711372             0.445236           -0.0749776              -0.7333             -1.00817            -0.181952 
                 1.6              40.2009             0.882432             0.675296             0.379651             -0.15881            -0.800373            -0.870713             0.457653 
                 1.8              44.8293             0.868896             0.641507              0.31915            -0.227468            -0.836321            -0.701852              1.06892 
                   2               49.182             0.856167             0.610408             0.264309            -0.282325            -0.847383            -0.520649              1.61293 
                 2.2              53.1914             0.844441             0.582342             0.215557             -0.32505            -0.840008            -0.342149               2.0684 
                 2.4              56.8026              0.83388             0.557541             0.173096            -0.357507            -0.820372            -0.176907              2.42975 
                 2.6              59.9812             0.824585             0.536085             0.136857            -0.381617            -0.793871           -0.0310687              2.70327 
                 2.8              62.7143             0.816591             0.517915             0.106546            -0.399183            -0.764804            0.0928117              2.90198 
                   3              64.9991              0.80991             0.502925            0.0818121            -0.411723            -0.736423             0.194305              3.04079 
                 3.2              66.8445             0.804513              0.49095            0.0622353            -0.420483            -0.710984             0.274422              3.13419 
                 3.4              68.2763             0.800325              0.48174            0.0472928            -0.426465            -0.689797             0.335214              3.19494 
                 3.6              69.3371             0.797223             0.474962            0.0363613            -0.430449            -0.673326             0.379393              3.23328 
                 3.8              70.0831             0.795042             0.470219            0.0287449            -0.433028            -0.661365             0.409989              3.25683 
                   4              70.5783             0.793593             0.467081            0.0237212            -0.434639            -0.653256             0.430075               3.2709 
                 4.2              70.8866             0.792691             0.465131            0.0206062            -0.435602            -0.648142             0.442488              3.27903 
                 4.4              71.0657             0.792168             0.464001            0.0188018            -0.436147            -0.645149             0.449664              3.28353 
                 4.6              71.1622             0.791886             0.463392            0.0178309            -0.436437            -0.643529              0.45352              3.28589 
                 4.8              71.2101             0.791746              0.46309            0.0173495             -0.43658            -0.642723             0.455431              3.28704 
                   5              71.2318             0.791682             0.462953            0.0171311            -0.436644            -0.642357             0.456297              3.28756 
                 5.2              71.2408             0.791656             0.462896            0.0170412             -0.43667            -0.642206             0.456654              3.28778 
                 5.4              71.2441             0.791646             0.462875            0.0170079             -0.43668             -0.64215             0.456786              3.28785 
                 5.6              71.2452             0.791643             0.462868            0.0169966            -0.436684            -0.642132             0.456831              3.28788 
                 5.8              71.2455             0.791642             0.462866            0.0169932            -0.436685            -0.642126             0.456844              3.28789 
                   6              71.2456             0.791642             0.462866            0.0169926            -0.436685            -0.642125             0.456847              3.28789 
                 6.2              71.2456             0.791642             0.462866            0.0169925            -0.436685            -0.642125             0.456847              3.28789 
                 6.4              71.2456             0.791642             0.462866            0.0169925            -0.436685            -0.642125             0.456847              3.28789 
                 6.6              71.2456             0.791642             0.462866            0.0169925            -0.436685            -0.642125             0.456847              3.28789 
                 6.8              71.2456             0.791642             0.462866            0.0169925            -0.436685            -0.642125             0.456847              3.28789 
                   7              71.2456             0.791642             0.462866            0.0169925            -0.436685            -0.642125             0.456847              3.28789 
                 7.2              71.2456             0.791642             0.462866            0.0169925            -0.436685            -0.642125             0.456847              3.28789 
                 7.4              71.2456             0.791642             0.462866            0.0169925            -0.436685            -0.642125             0.456847              3.28789 
                 7.6              71.2456             0.791642             0.462866            0.0169925            -0.436685            -0.642125             0.456847              3.28789 
                 7.8              71.2456             0.791642             0.462866            0.0169925            -0.436685            -0.642125             0.456847              3.28789 
                   8              71.2456             0.791642             0.462866            0.0169925            -0.436685            -0.642125             0.456847              3.28789 
