                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              6.32895           -0.0170505          0.000606393          -3.2404e-05          2.30909e-06         -2.05684e-07          2.19877e-08         -2.76084e-09 
                 0.4              12.7044           -0.0342262           0.00244343           -0.0002621          3.74915e-05          -6.7037e-06          1.43839e-06         -3.60095e-07 
                 0.6              19.1674           -0.0516379           0.00556186         -0.000900113          0.000194255         -5.24038e-05          1.69643e-05         -6.40701e-06 
                 0.8              25.7488           -0.0693684             0.010037           -0.0021821          0.000632618         -0.000229258           9.9699e-05         -5.05828e-05 
                   1              32.4651           -0.0874624             0.015956          -0.00437376           0.00159876          -0.00073051          0.000400546         -0.000256227 
                 1.2              39.3168            -0.105921            0.0234017          -0.00776852           0.00343896          -0.00190297           0.00126363          -0.00097893 
                 1.4               46.287            -0.124699            0.0324346            -0.012676           0.00660618          -0.00430364           0.00336437          -0.00306844 
                 1.6              53.3423            -0.143707             0.043076           -0.0194008            0.0116521          -0.00874785           0.00788101          -0.00828341 
                 1.8              60.4346            -0.162813            0.0552921           -0.0282138            0.0191981           -0.0163294            0.0166673           -0.0198475 
                   2              67.5035            -0.181857            0.0689832           -0.0393172            0.0298827           -0.0283905            0.0323674           -0.0430516 
                 2.2              74.4796            -0.200651            0.0839781             -0.05281            0.0442858           -0.0464225            0.0583948           -0.0856973 
                 2.4              81.2881            -0.218994             0.100034           -0.0686572            0.0628382           -0.0718915            0.0986992            -0.158087 
                 2.6              87.8513            -0.236675             0.116839           -0.0866659             0.085725            -0.105994             0.157267            -0.272234 
                 2.8              94.0916            -0.253487             0.134027            -0.106477             0.112802            -0.149381             0.237386            -0.440111 
                   3              99.9355            -0.269231             0.151193            -0.127575             0.143547            -0.201903             0.340778            -0.671037 
                 3.2              105.317             -0.28373             0.167916            -0.149315             0.177058            -0.262447              0.46682            -0.968735 
                 3.4              110.184             -0.29684             0.183792            -0.170984             0.212122            -0.328949             0.612146             -1.32901 
                 3.6              114.498            -0.308464             0.198468            -0.191868             0.247351            -0.398603             0.770813             -1.73902 
                 3.8              118.246            -0.318559             0.211672             -0.21133             0.281357            -0.468242             0.935113             -2.17874 
                   4              121.422            -0.327117             0.223196            -0.228822             0.312829            -0.534603              1.09632             -2.62296 
                 4.2              124.031            -0.334146             0.232891            -0.243892             0.340596            -0.594562              1.24548             -3.04385 
                 4.4              126.095            -0.339704             0.240704            -0.256267             0.363832             -0.64569              1.37508             -3.41649 
                 4.6              127.656            -0.343911             0.246702            -0.265906              0.38219            -0.686669              1.48046             -3.72386 
                 4.8              128.779            -0.346938             0.251064            -0.272989             0.395824            -0.717424              1.56038             -3.95944 
                   5              129.544            -0.348997             0.254054            -0.277879             0.405306            -0.738971              1.61679             -4.12692 
                 5.2              130.033            -0.350314             0.255975            -0.281036             0.411459            -0.753018              1.65374             -4.23717 
                 5.4              130.325            -0.351102             0.257127            -0.282936             0.415171            -0.761521              1.67617              -4.3043 
                 5.6              130.488            -0.351539             0.257768            -0.283996             0.417245             -0.76628              1.68875               -4.342 
                 5.8              130.571            -0.351764             0.258098             -0.28454             0.418313            -0.768731              1.69523             -4.36146 
                   6               130.61             -0.35187             0.258254            -0.284798             0.418818            -0.769892              1.69831             -4.37069 
                 6.2              130.627            -0.351916             0.258321            -0.284909             0.419036            -0.770393              1.69963             -4.37466 
                 6.4              130.634            -0.351934             0.258347            -0.284953             0.419121            -0.770589              1.70015             -4.37622 
                 6.6              130.636             -0.35194             0.258356            -0.284968             0.419151            -0.770657              1.70033             -4.37676 
                 6.8              130.637            -0.351942             0.258359            -0.284973             0.419161             -0.77068              1.70039             -4.37695 
                   7              130.637            -0.351943              0.25836            -0.284974             0.419164            -0.770686              1.70041             -4.37699 
                 7.2              130.637            -0.351943              0.25836            -0.284974             0.419164            -0.770686              1.70041               -4.377 
                 7.4              130.637            -0.351943              0.25836            -0.284974             0.419164            -0.770687              1.70041               -4.377 
                 7.6              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                 7.8              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                   8              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                 8.2              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                 8.4              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                 8.6              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                 8.8              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                   9              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                 9.2              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                 9.4              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                 9.6              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                 9.8              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
                  10              130.637            -0.351943              0.25836            -0.284975             0.419164            -0.770687              1.70041               -4.377 
