                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              7.73729           -0.0196202          0.000821551         -5.18046e-05          4.35761e-06         -4.58215e-07          5.78185e-08         -8.49724e-09 
                 0.4              15.5399           -0.0394061             0.003314         -0.000419706          7.09062e-05         -1.49749e-05          3.79518e-06         -1.12214e-06 
                 0.6              23.4676           -0.0595093            0.0075578          -0.00144547          0.000368783         -0.000117618          4.50154e-05         -2.01001e-05 
                 0.8              31.5699           -0.0800551            0.0136774          -0.00351903           0.00120778         -0.000518195            0.0002668         -0.000160261 
                   1              39.8813            -0.101131            0.0218271          -0.00709432           0.00307589          -0.00166715           0.00108433         -0.000822811 
                 1.2              48.4186             -0.12278            0.0321723           -0.0126952           0.00668257          -0.00439733           0.00347233          -0.00319891 
                 1.4              57.1788            -0.144994            0.0448669           -0.0209077            0.0129967           -0.0100995           0.00941791           -0.0102461 
                 1.6              66.1381            -0.167713            0.0600289           -0.0323562            0.0232649           -0.0209115            0.0225557           -0.0283841 
                 1.8              75.2528            -0.190826            0.0777146           -0.0476618            0.0389928           -0.0398786            0.0489421           -0.0700765 
                   2              84.4604            -0.214175            0.0978957           -0.0673848            0.0618737           -0.0710219            0.0978285            -0.157212 
                 2.2              93.6824             -0.23756             0.120441           -0.0919553            0.0936539            -0.119239             0.182178            -0.324729 
                 2.4              102.828            -0.260753             0.145105            -0.121602              0.13594            -0.189974             0.318586            -0.623314 
                 2.6              111.801            -0.283504             0.171532            -0.156291             0.189963            -0.288634             0.526273              -1.1195 
                 2.8              120.498             -0.30556              0.19926             -0.19568             0.256341             -0.41979              0.82496             -1.89139 
                   3              128.822            -0.326668             0.227739            -0.239096             0.334853            -0.586243              1.23165             -3.01888 
                 3.2              136.674             -0.34658             0.256349            -0.285538              0.42427            -0.788066              1.75659             -4.56798 
                 3.4              143.966            -0.365069              0.28443            -0.333717             0.522311             -1.02193              2.39938             -6.57242 
                 3.6              150.622            -0.381949             0.311341            -0.382183             0.625824             -1.28108              3.14691             -9.01865 
                 3.8              156.596            -0.397098             0.336528            -0.429485             0.731175              -1.5561              3.97409              -11.841 
                   4              161.866            -0.410462             0.359559            -0.474321             0.834681             -1.83616              4.84715             -14.9283 
                 4.2              166.435            -0.422045              0.38014            -0.515623             0.932969              -2.1103              5.72804             -18.1392 
                 4.4               170.32            -0.431898             0.398096            -0.552583              1.02318             -2.36838              6.57865             -21.3191 
                 4.6              173.548            -0.440085             0.413331            -0.584607                1.103             -2.60153              7.36324              -24.314 
                 4.8              176.155            -0.446694              0.42584            -0.611345              1.17077             -2.80285              8.05218             -26.9883 
                   5              178.188            -0.451851             0.435728            -0.632761              1.22577              -2.9684              8.62622              -29.246 
                 5.2              179.713            -0.455716             0.443215             -0.64914              1.26826             -3.09756               9.0786             -31.0431 
                 5.4              180.805            -0.458487              0.44862             -0.66105              1.29938             -3.19286              9.41479             -32.3883 
                 5.6               181.55            -0.460375             0.452323            -0.669251              1.32092             -3.25915              9.64983             -33.3336 
                 5.8              182.029             -0.46159             0.454714            -0.674566              1.33492              -3.3024              9.80369             -33.9545 
                   6               182.32            -0.462326             0.456166            -0.677799              1.34346             -3.32882               9.8979             -34.3355 
                 6.2              182.484            -0.462744             0.456989            -0.679635              1.34832             -3.34387              9.95161              -34.553 
                 6.4              182.571            -0.462963             0.457424            -0.680604              1.35088             -3.35182                 9.98              -34.668 
                 6.6              182.613             -0.46307             0.457635            -0.681075              1.35213             -3.35569              9.99383             -34.7241 
                 6.8              182.632            -0.463118              0.45773            -0.681287              1.35269             -3.35742                   10             -34.7492 
                   7              182.639            -0.463138             0.457769            -0.681374              1.35292             -3.35814              10.0026             -34.7596 
                 7.2              182.642            -0.463145             0.457782            -0.681404                1.353             -3.35839              10.0035             -34.7632 
                 7.4              182.643            -0.463147             0.457787            -0.681416              1.35303             -3.35848              10.0038             -34.7646 
                 7.6              182.643            -0.463148             0.457788            -0.681418              1.35303              -3.3585              10.0039             -34.7649 
                 7.8              182.644            -0.463148             0.457789            -0.681419              1.35304             -3.35851              10.0039              -34.765 
                   8              182.644            -0.463148             0.457789            -0.681419              1.35304             -3.35851              10.0039              -34.765 
                 8.2              182.644            -0.463148             0.457789             -0.68142              1.35304             -3.35851              10.0039              -34.765 
                 8.4              182.644            -0.463148             0.457789             -0.68142              1.35304             -3.35851              10.0039              -34.765 
                 8.6              182.644            -0.463148             0.457789             -0.68142              1.35304             -3.35851              10.0039              -34.765 
                 8.8              182.644            -0.463148             0.457789             -0.68142              1.35304             -3.35851              10.0039              -34.765 
                   9              182.644            -0.463148             0.457789             -0.68142              1.35304             -3.35851              10.0039              -34.765 
                 9.2              182.644            -0.463148             0.457789             -0.68142              1.35304             -3.35851              10.0039              -34.765 
                 9.4              182.644            -0.463148             0.457789             -0.68142              1.35304             -3.35851              10.0039              -34.765 
                 9.6              182.644            -0.463148             0.457789             -0.68142              1.35304             -3.35851              10.0039              -34.765 
                 9.8              182.644                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
                  10              182.644                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan                 -nan 
