                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              2.00022          -0.00239503          1.48301e-05         -1.44803e-07          1.92027e-09         -3.20845e-11          4.54696e-13         -3.63757e-12 
                 0.4              4.00437          -0.00479477          5.94367e-05         -1.16183e-06          3.08452e-08         -1.03251e-09          4.11097e-11         -9.08501e-13 
                 0.6              6.01641          -0.00720394          0.000134171         -3.94051e-06           1.5718e-07         -7.90526e-09          4.79206e-10         -2.84198e-11 
                 0.8              8.04037          -0.00962739          0.000239628          -9.4052e-06          5.01363e-07         -3.36985e-08          2.73062e-09         -2.44331e-10 
                   1              10.0803             -0.01207          0.000376649         -1.85339e-05          1.23866e-06         -1.04378e-07          1.06033e-08         -1.25881e-09 
                 1.2              12.1405           -0.0145368          0.000546331         -3.23777e-05          2.60609e-06         -2.64488e-07          3.23609e-08         -4.64709e-09 
                 1.4              14.2248           -0.0170326          0.000750033         -5.20814e-05          4.91178e-06         -5.84074e-07          8.37315e-08         -1.40252e-08 
                 1.6              16.3374           -0.0195621          0.000989357         -7.89026e-05          8.54641e-06         -1.16721e-06          1.92181e-07         -3.70313e-08 
                 1.8              18.4819           -0.0221299           0.00126613          -0.00011423          1.39969e-05         -2.16252e-06          4.02794e-07         -8.77861e-08 
                   2              20.6613           -0.0247394           0.00158234         -0.000159592          2.18613e-05         -3.77585e-06          7.86227e-07         -1.91512e-07 
                 2.2               22.878           -0.0273937           0.00194009         -0.000216668          3.28642e-05         -6.28525e-06          1.44916e-06         -3.90862e-07 
                 2.4              25.1335           -0.0300944           0.00234149         -0.000287277          4.78699e-05         -1.00577e-05          2.54757e-06         -7.54895e-07 
                 2.6              27.4282           -0.0328421           0.00278857         -0.000373366          6.78955e-05         -1.55676e-05          4.30323e-06         -1.39147e-06 
                 2.8              29.7616            -0.035636           0.00328321         -0.000476991          9.41185e-05          -2.3416e-05          7.02338e-06         -2.46429e-06 
                   3              32.1322           -0.0384745           0.00382706         -0.000600288          0.000127882         -3.43503e-05          1.11236e-05         -4.21383e-06 
                 3.2              34.5377           -0.0413548           0.00442153         -0.000745453          0.000170696          -4.9283e-05          1.71541e-05         -6.98481e-06 
                 3.4              36.9755           -0.0442738           0.00506774          -0.00091471          0.000224236          -6.9311e-05          2.58281e-05          -1.1259e-05 
                 3.6              39.4428           -0.0472281           0.00576662          -0.00111031          0.000290349         -9.57348e-05          3.80552e-05          -1.7696e-05 
                 3.8              41.9364           -0.0502139           0.00651881          -0.00133449          0.000371034         -0.000130073          5.49737e-05         -2.71794e-05 
                   4              44.4533           -0.0532276           0.00732477          -0.00158947          0.000468452         -0.000174081          7.79887e-05         -4.08722e-05 
                 4.2              46.9905           -0.0562656           0.00818475          -0.00187746           0.00058491         -0.000229763           0.00010881         -6.02796e-05 
                 4.4              49.5448           -0.0593241           0.00909875          -0.00220057          0.000722838         -0.000299379          0.000149484         -8.73144e-05 
                 4.6              52.1132           -0.0623995            0.0100666          -0.00256085          0.000884792         -0.000385453           0.00020244         -0.000124376 
                 4.8              54.6928           -0.0654882            0.0110878          -0.00296027           0.00107342         -0.000490774          0.000270513         -0.000174426 
                   5              57.2805           -0.0685867            0.0121619          -0.00340065           0.00129145         -0.000618397          0.000356986         -0.000241075 
                 5.2              59.8741           -0.0716921            0.0132881           -0.0038838           0.00154171         -0.000771656          0.000465628         -0.000328678 
                 5.4              62.4708           -0.0748014            0.0144657          -0.00441135           0.00182708         -0.000954149          0.000600717         -0.000442425 
