            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2         5.6934      -0.013675       0.000406   -1.59625e-05   -1.33745e-05    0.000103258   -0.000823087     0.00726731
           0.4        11.4244      -0.027441       0.001638   -0.000154414    5.51385e-05   -0.000233578      0.0016386       -0.01317
           0.6        17.2281       -0.04138        0.00372   -0.000500554    7.05432e-05    9.40955e-05   -0.000729042     0.00538561
           0.8        23.1342      -0.055567       0.006711    -0.00122677    0.000316663   -0.000213232    0.000946254    -0.00768919
             1        29.1654      -0.070053       0.010665    -0.00245206    0.000758622   -0.000332635    0.000453989    -0.00268942
           1.2        35.3349      -0.084872       0.015655    -0.00436289     0.00164309   -0.000896697     0.00143419     -0.0083592
           1.4        41.6457       -0.10003       0.021746     -0.0071397     0.00314435    -0.00181975     0.00184376    -0.00634582
           1.6        48.0896      -0.115507       0.028994     -0.0109845     0.00554603    -0.00345405     0.00225389     0.00096396
           1.8        54.6481       -0.13126       0.037441      -0.016116     0.00923279    -0.00647214     0.00452441     0.00335897
             2         61.293      -0.147221       0.047102     -0.0227493      0.0146712     -0.0118811       0.011954      -0.017517
           2.2        67.9876      -0.163301       0.057953     -0.0310453      0.0221932     -0.0198204      0.0211453     -0.0255775
           2.4        74.6879      -0.179394       0.069937     -0.0411522      0.0322932     -0.0315466      0.0360876     -0.0413904
           2.6        81.3439      -0.195382       0.082961     -0.0531787      0.0455143     -0.0488171      0.0636047      -0.102556
           2.8        87.9014      -0.211132       0.096874     -0.0670969      0.0620252     -0.0717009      0.0996017      -0.162583
             3        94.3026      -0.226507       0.111496     -0.0828442      0.0821387      -0.101744       0.150766      -0.257154
           3.2        100.489      -0.241366       0.126606       -0.10025       0.105958      -0.140097        0.22286      -0.418023
           3.4        106.401      -0.255567       0.141942      -0.119006       0.133173      -0.186386        0.31348      -0.618336
           3.6        111.984      -0.268977       0.157228      -0.138735       0.163383      -0.240577       0.425262      -0.878328
           3.8        117.188      -0.281476       0.172179      -0.158983       0.195904      -0.301706       0.556921       -1.19392
             4        121.971      -0.292965       0.186522       -0.17926       0.229925      -0.368694       0.709452       -1.59262
           4.2        126.304      -0.303371       0.200008      -0.199049       0.264378      -0.439004       0.874713       -2.03264
           4.4        130.167       -0.31265       0.212431      -0.217883       0.298269      -0.510573        1.04946       -2.52176
           4.6        133.555      -0.320789       0.223635      -0.235345       0.330553      -0.580511        1.22383       -3.01325
           4.8        136.476      -0.327806       0.233525      -0.251126       0.360417      -0.646712        1.39256       -3.49835
             5         138.95      -0.333747       0.242066      -0.265027       0.387252      -0.707396        1.55041       -3.96198
           5.2        141.002      -0.338676       0.249268      -0.276939       0.410619      -0.761077        1.69221       -4.38491
           5.4        142.663      -0.342665       0.255176      -0.286849       0.430358      -0.807265        1.81742       -4.77514
           5.6        143.966      -0.345794       0.259857      -0.294776        0.44628      -0.844734        1.91893       -5.08675
           5.8        144.951      -0.348161       0.263427      -0.300873       0.458634      -0.874083        1.99928       -5.33628
             6        145.665      -0.349876       0.266029      -0.305343        0.46775      -0.895901        2.05966       -5.52767
           6.2        146.157      -0.351058       0.267828       -0.30844       0.474056      -0.910847        2.09974       -5.64372
           6.4        146.479       -0.35183       0.269008      -0.310484       0.478264      -0.921062        2.12868       -5.73968
           6.6        146.676      -0.352303       0.269732      -0.311739       0.480846      -0.927298         2.1461       -5.79543
           6.8        146.788      -0.352574       0.270146      -0.312452       0.482296      -0.930687        2.15483       -5.81792
             7        146.849      -0.352719       0.270369      -0.312842       0.483108      -0.932697         2.1607       -5.83817
           7.2        146.878       -0.35279       0.270479      -0.313038       0.483539      -0.933908         2.1653       -5.86269
           7.4        146.891      -0.352821       0.270525      -0.313111       0.483656      -0.933987        2.16407       -5.84712
           7.6        146.897      -0.352834       0.270545      -0.313147       0.483735      -0.934222        2.16509       -5.85361
           7.8        146.899      -0.352839       0.270553      -0.313162       0.483771      -0.934338         2.1656       -5.85664
             8        146.899      -0.352841       0.270556      -0.313167       0.483777      -0.934319        2.16526       -5.85293
           8.2          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
           8.4          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
           8.6          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
           8.8          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
             9          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
           9.2          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
           9.4          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
           9.6          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
           9.8          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
            10          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
          10.2          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
          10.4          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
          10.6          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
          10.8          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
            11          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
          11.2          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
          11.4          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
          11.6          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
          11.8          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
            12          146.9      -0.352841       0.270556      -0.313167       0.483778      -0.934333         2.1654       -5.85441
