            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        7.18057      -0.017247       0.000646   -3.53267e-05     -7.333e-07    6.64879e-06     3.2072e-05   -0.000776092
           0.4        14.4065      -0.034603       0.002601   -0.000290255    1.85542e-05    0.000147277    -0.00106501     0.00830198
           0.6          21.72       -0.05217       0.005915    -0.00101259    0.000231934   -7.01881e-05    6.38585e-05    -0.00046263
           0.8        29.1574      -0.070034        0.01066    -0.00245412    0.000780158   -0.000472326     0.00144722     -0.0105962
             1        36.7462      -0.088261       0.016928    -0.00489659     0.00187079   -0.000788803   -0.000269523     0.00547568
           1.2        44.5031      -0.106893       0.024832    -0.00871168     0.00409922    -0.00253729     0.00276868     -0.0101681
           1.4        52.4327      -0.125939       0.034468     -0.0142389     0.00784352    -0.00535673     0.00404889   -0.000638514
           1.6        60.5268      -0.145381       0.045932     -0.0219057      0.0139403     -0.0110732       0.010436      -0.010627
           1.8        68.7652      -0.165169       0.059287     -0.0321253      0.0232373     -0.0210427      0.0230643      -0.031093
             2        77.1157      -0.185226        0.07456     -0.0453071      0.0367514     -0.0373137      0.0457415     -0.0674849
           2.2        85.5365      -0.205452       0.091732     -0.0618271      0.0556212      -0.062602      0.0848861      -0.137144
           2.4        93.9769      -0.225725       0.110728     -0.0819915      0.0810208      -0.100053       0.147988      -0.253197
           2.6        102.379      -0.245906       0.131412      -0.106006       0.114109      -0.153478       0.247098      -0.459148
           2.8         110.68      -0.265844       0.153587      -0.133946       0.155914      -0.226956       0.396857      -0.812768
             3        118.812      -0.285378       0.176987      -0.165694        0.20703      -0.323424       0.606417       -1.32713
           3.2        126.708      -0.304342        0.20129      -0.200965       0.267773      -0.446052       0.891577       -2.07866
           3.4        134.298      -0.322573       0.226129      -0.239292       0.337957      -0.596771        1.26479        -3.1288
           3.6        141.513      -0.339903       0.251078      -0.279963       0.416623      -0.775103        1.73033       -4.50542
           3.8         148.29       -0.35618       0.275701      -0.322142       0.502356      -0.979405        2.29139       -6.25393
             4        154.571      -0.371267       0.299552      -0.364837       0.593036       -1.20518        2.93911       -8.36212
           4.2        160.313      -0.385059       0.322221      -0.407025       0.686186       -1.44627        3.65805       -10.7939
           4.4        165.489      -0.397491       0.343363      -0.447733       0.779181       -1.69528        4.42618       -13.4814
           4.6        170.087      -0.408535       0.362708      -0.486098        0.86944       -1.94416        5.21655       -16.3266
           4.8         174.11      -0.418199       0.380071      -0.521418       0.954682        -2.1853        6.00264       -19.2341
             5        177.575      -0.426522       0.395351       -0.55318        1.03302       -2.41182        6.75761       -22.0913
           5.2        180.505      -0.433558       0.408502      -0.581009        1.10288       -2.61739        7.45445       -24.7704
           5.4        182.923      -0.439366       0.419519      -0.604667        1.16315       -2.79727        8.07275       -27.1788
           5.6        184.861      -0.444022       0.428458      -0.624096        1.21324       -2.94869        8.60003       -29.2616
           5.8        186.361      -0.447626       0.435442      -0.639422        1.25315        -3.0705        9.02862       -30.9739
             6        187.475      -0.450301       0.440661       -0.65095        1.28335        -3.1632        9.35622       -32.2855
           6.2        188.265      -0.452197        0.44438      -0.659209        1.30511       -3.23041        9.59546        -33.252
           6.4        188.795      -0.453472        0.44689      -0.664802         1.3199        -3.2763         9.7596       -33.9195
           6.6        189.132       -0.45428       0.448484       -0.66836        1.32932       -3.30551        9.86385       -34.3404
           6.8        189.332      -0.454761       0.449434      -0.670485        1.33496       -3.32305        9.92668       -34.5959
             7        189.443      -0.455029       0.449964      -0.671674        1.33812       -3.33292        9.96219        -34.741
           7.2        189.501      -0.455166       0.450235      -0.672279        1.33973       -3.33791        9.98014       -34.8143
           7.4        189.528      -0.455232       0.450366      -0.672573        1.34051       -3.34037        9.98896       -34.8501
           7.6         189.54       -0.45526       0.450421      -0.672696        1.34083       -3.34133        9.99219       -34.8617
           7.8        189.545      -0.455271       0.450442      -0.672743        1.34095       -3.34168        9.99328       -34.8649
             8        189.546      -0.455275        0.45045       -0.67276          1.341       -3.34181         9.9937       -34.8663
           8.2        189.547      -0.455276       0.450452      -0.672764        1.34101       -3.34184        9.99386       -34.8673
           8.4        189.547      -0.455277       0.450455      -0.672772        1.34104       -3.34201         9.9949       -34.8747
           8.6        189.547      -0.455277       0.450455      -0.672772        1.34104       -3.34199        9.99477       -34.8738
           8.8        189.547      -0.455277       0.450455      -0.672772        1.34104       -3.34199        9.99479        -34.874
