                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              5.74073            -0.012497          0.000351812         -1.50431e-05           8.5986e-07         -6.14791e-08          5.27599e-09         -5.36122e-10 
                 0.4              11.5228           -0.0250841           0.00141741          -0.00012165          1.39571e-05         -2.00303e-06          3.45023e-07         -6.93276e-08 
                 0.6              17.3866           -0.0378489           0.00322705         -0.000417907          7.23466e-05         -1.56663e-05          4.07176e-06         -1.23475e-06 
                 0.8              23.3701           -0.0508744           0.00583038          -0.00101488          0.000236157         -6.87374e-05          2.40135e-05           -9.788e-06 
                   1              29.5075           -0.0642351           0.00929486          -0.00204284          0.000600195         -0.000220576          9.72957e-05         -5.00731e-05 
                 1.2              35.8279           -0.0779939            0.0137031          -0.00365679           0.00130451         -0.000582104          0.000311763         -0.000194816 
                 1.4              42.3529           -0.0921983            0.0191489          -0.00604071           0.00254739          -0.00134373          0.000850744         -0.000628436 
                 1.6              49.0956            -0.106876            0.0257313          -0.00940943           0.00459971          -0.00281258           0.00206419          -0.00176755 
                 1.8              56.0586            -0.122034            0.0335477           -0.0140076           0.00781864          -0.00545892           0.00457459          -0.00447273 
                   2              63.2346            -0.137656            0.0426861           -0.0201048            0.0126584          -0.00996936           0.00942377           -0.0103934 
                 2.2              70.6051            -0.153701            0.0532169           -0.0279862            0.0196746           -0.0173011            0.0182605           -0.0224867 
                 2.4              78.1422            -0.170108            0.0651851           -0.0379396            0.0295191           -0.0287291            0.0335591           -0.0457376 
                 2.6              85.8095            -0.186799            0.0786046           -0.0502392            0.0429243           -0.0458744            0.0588449           -0.0880689 
                 2.8              93.5638             -0.20368             0.093453           -0.0651269            0.0606727           -0.0707023            0.0988882            -0.161373 
                   3              101.357            -0.220644             0.109669           -0.0827929            0.0835546            -0.105476             0.159812            -0.282515 
                 3.2              109.137             -0.23758              0.12715            -0.103359             0.112316            -0.152667             0.249068            -0.474096 
                 3.4              116.851            -0.254374             0.145762            -0.126864             0.147603            -0.214814             0.375231            -0.764735 
                 3.6               124.45            -0.270915             0.165335            -0.153256             0.189905            -0.294349             0.547594             -1.18859 
                 3.8              131.884            -0.287099             0.185678            -0.182394             0.239512            -0.393415             0.775614             -1.78409 
                   4               139.11            -0.302829             0.206583            -0.214048              0.29648            -0.513672              1.06819              -2.5917 
                 4.2              146.086            -0.318016             0.227822            -0.247893             0.360578            -0.656057              1.43269             -3.65041 
                 4.4              152.769            -0.332564             0.249144            -0.283495             0.431227            -0.820492              1.87376             -4.99261 
                 4.6              159.111            -0.346369             0.270257            -0.320285             0.507413             -1.00553              2.39165             -6.63707 
                 4.8              165.062            -0.359324             0.290851            -0.357583              0.58769             -1.20817              2.98111             -8.58228 
                   5              170.579            -0.371335             0.310621            -0.394654             0.670298             -1.42406              3.63126             -10.8034 
                 5.2              175.633            -0.382335             0.329297            -0.430777             0.753324             -1.64786              4.32641             -13.2529 
