            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        4.32511      -0.008262       0.000161   -8.99676e-06    2.49676e-05   -0.000163446     0.00121576     -0.0101269
           0.4        8.67014      -0.016562       0.000644   -3.79189e-05    -2.8111e-06    4.77875e-05   -0.000389371     0.00336053
           0.6        13.0549      -0.024938       0.001461   -0.000136841    4.64051e-05   -0.000190562     0.00133426      -0.010731
           0.8         17.499      -0.033427       0.002623   -0.000316292    5.29214e-05   -1.55799e-05     2.1433e-05   -0.000144672
             1        22.0213      -0.042065       0.004152   -0.000623566    0.000102663     0.00011451    -0.00099135     0.00774912
           1.2        26.6398      -0.050888       0.006079    -0.00111616    0.000287628   -0.000157892    0.000472744    -0.00302312
           1.4        31.3701      -0.059923       0.008427    -0.00181346    0.000510562   -0.000115738   -0.000358512     0.00295783
           1.6        36.2253      -0.069198       0.011239    -0.00279813    0.000933336   -0.000380371    0.000104481    0.000688162
           1.8         41.214      -0.078727       0.014546    -0.00411499     0.00153992   -0.000602313   -0.000525582     0.00705023
             2        46.3402       -0.08852       0.018392    -0.00585842     0.00250427    -0.00133936    0.000791335    0.000338572
           2.2         51.602      -0.098571       0.022806    -0.00809097      0.0038626    -0.00238109     0.00221751     -0.0056534
           2.4         56.991      -0.108865       0.027817      -0.010894     0.00571509    -0.00370959     0.00253632     0.00105244
           2.6        62.4935      -0.119376       0.033448     -0.0143651     0.00827044    -0.00593819      0.0049013    -0.00272608
           2.8        68.0901      -0.130066       0.039705     -0.0185726      0.0116198    -0.00892832     0.00703986      0.0029639
             3        73.7573      -0.140892       0.046591     -0.0236134      0.0160339     -0.0135399      0.0130273     -0.0087764
           3.2        79.4681      -0.151801       0.054086     -0.0295389      0.0216375     -0.0198722      0.0220638      -0.029699
           3.4        85.1932      -0.162737       0.062159      -0.036391      0.0285639     -0.0280484      0.0328886     -0.0437618
           3.6        90.9024      -0.173643       0.070771     -0.0442164      0.0370657     -0.0390302        0.05013       -0.08107
           3.8         96.565       -0.18446       0.079863     -0.0530057       0.047204     -0.0528117       0.072068      -0.123377
             4        102.152      -0.195132        0.08937     -0.0627399      0.0590618     -0.0696123      0.0983222       -0.16003
           4.2        107.636      -0.205607       0.099222     -0.0733938      0.0727964     -0.0904066       0.134682       -0.23297
           4.4        112.993       -0.21584       0.109345     -0.0849104      0.0884267      -0.115381        0.18114       -0.33471
           4.6        118.202      -0.225791        0.11966     -0.0972049       0.105899      -0.144547       0.237315      -0.457653
           4.8        123.247      -0.235427        0.13009      -0.110182        0.12513      -0.177922       0.303467      -0.601589
             5        128.113      -0.244723       0.140567       -0.12376       0.146115      -0.216037       0.383462      -0.793113
           5.2        132.788      -0.253653       0.151012      -0.137804        0.16862      -0.258349       0.474973       -1.01633
           5.4        137.259      -0.262193       0.161352      -0.152198       0.192505      -0.304888       0.579494       -1.28248
           5.6        141.508      -0.270311       0.171499      -0.166782         0.2175      -0.355242       0.696778       -1.59488
           5.8        145.517      -0.277968       0.181352      -0.181357       0.243197       -0.40841       0.823425       -1.93584
             6        149.262      -0.285122       0.190807      -0.195723       0.269219      -0.463759       0.959214       -2.31443
           6.2        152.722      -0.291731       0.199756      -0.209656       0.295087        -0.5202        1.10151       -2.72368
           6.4        155.876      -0.297755       0.208091      -0.222915       0.320235      -0.576239        1.24573       -3.14706
           6.6        158.705       -0.30316       0.215714      -0.235275       0.344116      -0.630402         1.3872       -3.56518
           6.8        161.201      -0.307928       0.222552      -0.246547        0.36626      -0.681429        1.52245       -3.96934
             7        163.348      -0.312029       0.228519      -0.256527       0.386147       -0.72791        1.64731       -4.34682
           7.2        165.128      -0.315428       0.233525      -0.265004       0.403265      -0.768546        1.75887       -4.69718
           7.4        166.537      -0.318121        0.23753      -0.271852       0.417224      -0.801964        1.85115       -4.98662
           7.6        167.595      -0.320142       0.240557      -0.277063       0.427915      -0.827706        1.92257        -5.2113
           7.8        168.344      -0.321572       0.242712      -0.280799       0.435645      -0.846549        1.97592       -5.38575
             8        168.838      -0.322516       0.244138      -0.283273       0.440753      -0.858865        2.00975       -5.48784
           8.2        169.142      -0.323096       0.245017      -0.284804       0.443932       -0.86661        2.03145       -5.55639
           8.4        169.314      -0.323425       0.245516      -0.285673        0.44573      -0.870944        2.04324       -5.59086
           8.6        169.403      -0.323596       0.245776      -0.286129       0.446684      -0.873307         2.0501       -5.61406
           8.8        169.446      -0.323677         0.2459      -0.286349       0.447165      -0.874618        2.05478       -5.63711
             9        169.464      -0.323712       0.245953      -0.286441       0.447353      -0.875054        2.05581       -5.63868
           9.2        169.471      -0.323725       0.245972      -0.286472       0.447403      -0.875108        2.05554       -5.63487
           9.4        169.473       -0.32373        0.24598      -0.286487       0.447438      -0.875208        2.05586       -5.63583
           9.6        169.474      -0.323731       0.245981      -0.286486       0.447427       -0.87512        2.05521        -5.6307
           9.8        169.474      -0.323732       0.245984      -0.286498       0.447483      -0.875441        2.05737       -5.64722
            10        169.474      -0.323732       0.245983      -0.286492       0.447449      -0.875231        2.05592       -5.63605
          10.2        169.474      -0.323732       0.245983      -0.286492       0.447449      -0.875231        2.05592       -5.63605
          10.4        169.474      -0.323732       0.245983      -0.286492       0.447449      -0.875231        2.05592       -5.63605
          10.6        169.474      -0.323732       0.245983      -0.286492       0.447449      -0.875231        2.05592       -5.63605
          10.8        169.474      -0.323732       0.245983      -0.286492       0.447449      -0.875231        2.05592       -5.63605
            11        169.474      -0.323732       0.245983      -0.286492       0.447449      -0.875231        2.05592       -5.63605
          11.2        169.474      -0.323732       0.245983      -0.286492       0.447449      -0.875231        2.05592       -5.63605
          11.4        169.474      -0.323732       0.245983      -0.286492       0.447449      -0.875231        2.05592       -5.63605
