            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        11.7794      -0.034449       0.002404   -0.000251214    3.01389e-05    3.59037e-05   -0.000358563     0.00329439
           0.4        23.5773      -0.068952        0.00963    -0.00201406    0.000542588   -6.94063e-05    -0.00078825     0.00666658
           0.6        35.4015      -0.103532       0.021713    -0.00683193     0.00286688    -0.00150489    0.000937642    -0.00045635
           0.8        47.2386       -0.13815       0.038662     -0.0162378     0.00912168    -0.00657991     0.00691864     -0.0179269
             1        59.0474      -0.172685       0.060406     -0.0317014      0.0221849     -0.0194091      0.0203434      -0.024281
           1.2        70.7558      -0.206926       0.086736      -0.054545      0.0457428     -0.0480018       0.060824     -0.0930683
           1.4        82.2627      -0.240578       0.117241     -0.0857157      0.0835519      -0.101769       0.148485      -0.250457
           1.6        93.4433      -0.273276       0.151277      -0.125636        0.13913      -0.192644       0.320419      -0.624211
           1.8        104.156      -0.304604       0.187948      -0.173978       0.214716      -0.331163       0.612384       -1.31696
             2        114.238      -0.334091       0.226098      -0.229555       0.310747      -0.525783        1.06731       -2.52603
           2.2        123.509      -0.361203       0.264284      -0.290103       0.424596      -0.776816        1.70557        -4.3696
           2.4        131.805      -0.385464       0.300978      -0.352569       0.550659       -1.07498        2.51776       -6.87565
           2.6        139.042      -0.406629       0.334938      -0.413895       0.681953        -1.4045        3.47105       -10.0074
           2.8        145.214      -0.424679       0.365334      -0.471499       0.811363       -1.74528        4.50516       -13.5686
             3        150.342      -0.439676       0.391592      -0.523233       0.932173       -2.07591        5.54758       -17.2963
           3.2        154.468      -0.451744       0.413383       -0.56751        1.03881       -2.37687        6.52617       -20.9055
           3.4        157.665      -0.461093        0.43067       -0.60348        1.12751       -2.63323        7.37973       -24.1291
           3.6        160.034      -0.468022       0.443711      -0.631096        1.19682        -2.8371        8.07049       -26.7837
           3.8        161.705      -0.472908       0.453024      -0.651067        1.24758       -2.98825        8.58891       -28.7996
             4         162.82      -0.476167        0.45929      -0.664621        1.28233       -3.09269        8.95048       -30.2197
           4.2        163.519      -0.478214       0.463247      -0.673233        1.30455       -3.15985        9.18466       -31.1476
           4.4        163.931      -0.479417       0.465581      -0.678327        1.31773       -3.19983        9.32433       -31.7011
           4.6        164.156      -0.480075        0.46686      -0.681121        1.32496       -3.22173         9.4006       -32.0011
           4.8         164.27      -0.480409       0.467509      -0.682541        1.32864       -3.23289        9.43949       -32.1542
             5        164.324      -0.480565       0.467813      -0.683207        1.33037       -3.23817         9.4581       -32.2289
           5.2        164.346      -0.480632       0.467943      -0.683494        1.33112       -3.24046        9.46621       -32.2618
           5.4        164.355      -0.480659       0.467996      -0.683612        1.33143       -3.24146        9.46995       -32.2784
           5.6        164.358      -0.480667       0.468011      -0.683642         1.3315       -3.24159           9.47       -32.2757
           5.8        164.359       -0.48067       0.468017      -0.683655        1.33153       -3.24171        9.47046       -32.2777
             6         164.36      -0.480671       0.468019      -0.683661        1.33155       -3.24179        9.47087       -32.2802
           6.2         164.36      -0.480671       0.468019      -0.683659        1.33154       -3.24173        9.47048       -32.2774
           6.4         164.36      -0.480671       0.468019      -0.683659        1.33154       -3.24173         9.4705       -32.2776
           6.6         164.36      -0.480671       0.468019      -0.683659        1.33154       -3.24173         9.4705       -32.2776
           6.8         164.36      -0.480671       0.468019      -0.683659        1.33154       -3.24173         9.4705       -32.2776
             7         164.36      -0.480671       0.468019      -0.683659        1.33154       -3.24173         9.4705       -32.2776
           7.2         164.36      -0.480671       0.468019      -0.683659        1.33154       -3.24173         9.4705       -32.2776
           7.4         164.36      -0.480671       0.468019      -0.683659        1.33154       -3.24173         9.4705       -32.2776
           7.6         164.36      -0.480671       0.468019      -0.683659        1.33154       -3.24173         9.4705       -32.2776
           7.8         164.36      -0.480671       0.468019      -0.683659        1.33154       -3.24173         9.4705       -32.2776
             8         164.36      -0.480671       0.468019      -0.683659        1.33154       -3.24173         9.4705       -32.2776
