                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2             0.416545              0.99958              0.99874             0.997482             0.993711             0.987436             0.973678             0.947498 
                 0.4             0.825102             0.999189              0.99757             0.995143             0.987884             0.975816             0.949445             0.899428 
                 0.6              1.21824             0.998851             0.996557             0.993118             0.982849             0.965795             0.928634             0.858341 
                 0.8              1.58958             0.998575             0.995733             0.991477             0.978772             0.957695             0.911871             0.825384 
                   1              1.93419             0.998368             0.995106             0.990222             0.975665             0.951524             0.899138             0.800425 
                 1.2              2.24878             0.998214             0.994651             0.989316             0.973421             0.947074             0.889968             0.782497 
                 1.4              2.53171             0.998111             0.994341             0.988696             0.971887             0.944032             0.883709             0.770273 
                 1.6              2.78293             0.998043             0.994141             0.988298               0.9709             0.942079             0.879692             0.762435 
                 1.8               3.0037             0.998004             0.994023             0.988065             0.970322             0.940933             0.877338             0.757842 
                   2              3.19627             0.997985             0.993965             0.987949             0.970036             0.940368             0.876178             0.755582 
                 2.2              3.36354             0.997979              0.99395             0.987917             0.969957             0.940211             0.875856             0.754958 
                 2.4              3.50885             0.997984             0.993962             0.987942             0.970019             0.940332             0.876107             0.755454 
                 2.6              3.63568             0.997994             0.993993             0.988004             0.970172             0.940639             0.876739             0.756696 
                 2.8              3.74754             0.998009             0.994036              0.98809             0.970387             0.941064             0.877617             0.758414 
                   3              3.84783             0.998025             0.994086              0.98819             0.970635             0.941557             0.878633             0.760409 
                 3.2               3.9397             0.998042             0.994139             0.988295             0.970895             0.942074             0.879698             0.762498 
                 3.4              4.02599              0.99806              0.99419             0.988395             0.971144             0.942567             0.880716             0.764494 
                 3.6              4.10909             0.998074             0.994232             0.988481             0.971354             0.942986             0.881578             0.766185 
                 3.8              4.19087             0.998084             0.994261             0.988539             0.971499             0.943274             0.882172             0.767348 
                   4              4.27287             0.998087             0.994271             0.988561             0.971552              0.94338             0.882392             0.767785 
                 4.2              4.35658             0.998084              0.99426             0.988537             0.971495             0.943267             0.882166             0.767356 
                 4.4              4.44341             0.998072             0.994223             0.988463             0.971313              0.94291              0.88144             0.765967 
                 4.6              4.53284             0.998048             0.994156             0.988331             0.970986             0.942268             0.880131             0.763455 
                 4.8              4.62166             0.998014             0.994054             0.988129             0.970487             0.941285             0.878132             0.759616 
                   5              4.70563             0.997968             0.993917             0.987855             0.969813             0.939959             0.875434             0.754443 
                 5.2              4.78057             0.997913             0.993751             0.987526             0.969004             0.938371             0.872213             0.748288 
                 5.4               4.8433             0.997854             0.993575             0.987177             0.968146             0.936689             0.868811             0.741817 
                 5.6              4.89231             0.997798              0.99341             0.986849             0.967338             0.935109             0.865625             0.735791 
                 5.8              4.92788             0.997752             0.993271             0.986573             0.966663              0.93379             0.862973               0.7308 
                   6              4.95176             0.997716             0.993166             0.986368             0.966157             0.932807             0.861002             0.727108 
                 6.2              4.96652             0.997694             0.993097             0.986229             0.965821             0.932151             0.859691             0.724661 
                 6.4              4.97487              0.99768             0.993055             0.986146              0.96562              0.93176              0.85891             0.723205 
                 6.6              4.97918             0.997671             0.993033             0.986103             0.965512             0.931552             0.858493              0.72243 
                 6.8              4.98118             0.997668             0.993022             0.986082              0.96546             0.931451             0.858293             0.722058 
                   7              4.98202             0.997667             0.993017             0.986073             0.965438             0.931408             0.858208             0.721899 
                 7.2              4.98234             0.997666             0.993016              0.98607              0.96543             0.931392             0.858175             0.721839 
                 7.4              4.98244             0.997666             0.993015             0.986069             0.965427             0.931387             0.858164             0.721819 
                 7.6              4.98247             0.997666             0.993015             0.986068             0.965426             0.931385             0.858161             0.721814 
                 7.8              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385             0.858161             0.721812 
                   8              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385              0.85816             0.721812 
                 8.2              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385              0.85816             0.721812 
                 8.4              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385              0.85816             0.721812 
                 8.6              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385              0.85816             0.721812 
                 8.8              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385              0.85816             0.721812 
                   9              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385              0.85816             0.721812 
                 9.2              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385              0.85816             0.721812 
                 9.4              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385              0.85816             0.721812 
                 9.6              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385              0.85816             0.721812 
                 9.8              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385              0.85816             0.721812 
                  10              4.98248             0.997666             0.993015             0.986068             0.965426             0.931385              0.85816             0.721812 
