                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              1.60709             0.999093             0.997284             0.994572             0.986463              0.97299             0.943571             0.887826 
                 0.4              3.21092             0.998253             0.994769              0.98955             0.974001             0.948235             0.892378             0.787277 
                 0.6              4.80818             0.997526             0.992594             0.985216             0.963295             0.927052             0.848978             0.702976 
                 0.8              6.39557             0.996932             0.990824             0.981692             0.954617             0.909946             0.814195             0.636045 
                   1              7.96974             0.996471             0.989445             0.978948             0.947883             0.896701             0.787429             0.584906 
                 1.2              9.52729              0.99612             0.988402              0.97687             0.942792             0.886704             0.767306             0.546638 
                 1.4              11.0649             0.995856             0.987617             0.975312             0.938979             0.879222             0.752284             0.518143 
                 1.6               12.579              0.99566             0.987029             0.974141             0.936118             0.873608             0.741026             0.496805 
                 1.8              14.0663              0.99551             0.986584             0.973255             0.933953              0.86936             0.732513             0.480671 
                   2              15.5233             0.995397             0.986245             0.972582             0.932305             0.866123             0.726026             0.468369 
                 2.2              16.9466              0.99531             0.985986             0.972066             0.931046              0.86365             0.721067             0.458955 
                 2.4              18.3328             0.995243              0.98579             0.971673             0.930087             0.861768             0.717291             0.451776 
                 2.6              19.6786             0.995194             0.985642              0.97138             0.929369             0.860354             0.714452             0.446365 
                 2.8              20.9808             0.995158             0.985534             0.971165             0.928843             0.859318             0.712369             0.442385 
                   3              22.2367             0.995134              0.98546             0.971015             0.928478             0.858595             0.710911             0.439584 
                 3.2              23.4442             0.995117             0.985412             0.970921             0.928244             0.858133             0.709974              0.43777 
                 3.4              24.6016             0.995109             0.985387             0.970871             0.928122             0.857891             0.709476             0.436789 
                 3.6              25.7081             0.995108             0.985383              0.97086             0.928097             0.857833             0.709351             0.436511 
                 3.8              26.7634             0.995111             0.985393             0.970882             0.928148             0.857931             0.709534             0.436821 
                   4              27.7677             0.995119             0.985418              0.97093             0.928263             0.858154             0.709969             0.437609 
                 4.2              28.7217             0.995131             0.985452             0.970998              0.92843             0.858475             0.710602             0.438773 
                 4.4              29.6262             0.995145             0.985494             0.971082             0.928632             0.858871             0.711383             0.440219 
                 4.6              30.4819             0.995162             0.985542             0.971175             0.928861             0.859317             0.712267             0.441864 
                 4.8              31.2895             0.995179             0.985593             0.971276             0.929107             0.859797             0.713218             0.443638 
                   5              32.0494             0.995196             0.985645             0.971382             0.929363             0.860295             0.714206             0.445482 
                 5.2              32.7618             0.995214             0.985699             0.971487              0.92962             0.860798             0.715205             0.447353 
                 5.4              33.4267             0.995232             0.985753             0.971593             0.929876             0.861298             0.716199             0.449215 
                 5.6              34.0442             0.995249             0.985803             0.971696             0.930126             0.861788             0.717174             0.451045 
                 5.8              34.6144             0.995266             0.985853             0.971795             0.930369             0.862263             0.718123             0.452828 
                   6              35.1376             0.995283             0.985903             0.971891             0.930605             0.862724             0.719042             0.454555 
                 6.2              35.6146             0.995298             0.985949             0.971985             0.930832             0.863169             0.719927             0.456225 
                 6.4              36.0467             0.995313             0.985994             0.972074              0.93105             0.863596             0.720782             0.457837 
                 6.6              36.4356             0.995327             0.986037              0.97216              0.93126             0.864008             0.721604             0.459394 
                 6.8              36.7837             0.995341             0.986078             0.972243             0.931462             0.864404             0.722397             0.460896 
                   7              37.0943             0.995355             0.986119             0.972322             0.931656             0.864784              0.72316             0.462343 
                 7.2              37.3708             0.995368             0.986156             0.972397              0.93184             0.865148             0.723891             0.463733 
                 7.4              37.6173             0.995379             0.986192              0.97247             0.932016             0.865495             0.724587             0.465059 
                 7.6              37.8379             0.995391             0.986227             0.972538             0.932182             0.865821             0.725242             0.466308 
                 7.8              38.0371             0.995402             0.986257               0.9726             0.932336             0.866123             0.725851             0.467468 
                   8              38.2192             0.995412             0.986287             0.972657             0.932476             0.866398             0.726405             0.468524 
                 8.2               38.389              0.99542             0.986313             0.972708               0.9326             0.866643             0.726897             0.469463 
                 8.4              38.5516             0.995427             0.986334             0.972753             0.932709             0.866858             0.727326             0.470281 
                 8.6              38.7095             0.995433             0.986352             0.972789             0.932796             0.867029             0.727671             0.470936 
                 8.8               38.861             0.995437             0.986363              0.97281              0.93285             0.867133             0.727879             0.471329 
                   9              39.0017             0.995438             0.986365             0.972814             0.932859             0.867149             0.727909             0.471378 
                 9.2              39.1271             0.995435             0.986358             0.972798             0.932819             0.867071              0.72775             0.471068 
                 9.4              39.2328              0.99543             0.986341             0.972766             0.932741             0.866917             0.727441             0.470477 
                 9.6              39.3166             0.995423             0.986322             0.972726             0.932643             0.866725             0.727055             0.469749 
                 9.8              39.3786             0.995416             0.986301             0.972686             0.932545             0.866534             0.726675             0.469035 
                  10              39.4212              0.99541             0.986284             0.972651             0.932462             0.866374             0.726357             0.468444 
                10.2              39.4482             0.995406             0.986271             0.972627             0.932403             0.866257             0.726127             0.468017 
                10.4              39.4639             0.995404             0.986264             0.972611             0.932365             0.866183              0.72598             0.467747 
                10.6              39.4723             0.995402             0.986259             0.972602             0.932343              0.86614             0.725897             0.467594 
                10.8              39.4763             0.995401             0.986257             0.972598             0.932332             0.866119             0.725855             0.467517 
                  11              39.4781             0.995401             0.986255             0.972596             0.932326              0.86611             0.725837             0.467483 
                11.2              39.4787             0.995401             0.986255             0.972595             0.932325             0.866106             0.725829              0.46747 
                11.4               39.479             0.995401             0.986255             0.972595             0.932324             0.866105             0.725826             0.467465 
                11.6               39.479             0.995401             0.986255             0.972595             0.932324             0.866104             0.725826             0.467463 
                11.8              39.4791             0.995401             0.986255             0.972595             0.932324             0.866104             0.725826             0.467463 
                  12              39.4791             0.995401             0.986255             0.972595             0.932324             0.866104             0.725825             0.467463 
