            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2       0.458065        0.99956       0.998682       0.997365       0.993419       0.986853       0.972459       0.945078 
           0.4       0.910586       0.999152       0.997458       0.994918       0.987324       0.974702       0.947125       0.894837 
           0.6        1.35226       0.998798       0.996397       0.992798       0.982055       0.964216       0.925362         0.8519 
           0.8        1.77824       0.998509       0.995532       0.991073       0.977775       0.955714       0.907778       0.817354 
             1        2.18436       0.998286       0.994866       0.989744       0.974479       0.949175       0.894292       0.790945 
           1.2         2.5673       0.998122       0.994374       0.988763       0.972051       0.944359        0.88438        0.77158 
           1.4        2.92472       0.998004       0.994024       0.988066       0.970327       0.940943       0.877358       0.757876 
           1.6        3.25524       0.997925       0.993786       0.987589       0.969149       0.938607       0.872558       0.748516 
           1.8        3.55848       0.997872       0.993629       0.987279        0.96838       0.937084       0.869429       0.742414 
             2        3.83491       0.997841       0.993537       0.987091       0.967915       0.936162       0.867537       0.738722 
           2.2        4.08568       0.997825       0.993486       0.986993       0.967673       0.935682        0.86655       0.736794 
           2.4        4.31244       0.997819        0.99347        0.98696        0.96759       0.935519       0.866214       0.736136 
           2.6        4.51715       0.997821       0.993477       0.986973       0.967621       0.935579       0.866337       0.736373 
           2.8        4.70194       0.997829       0.993499       0.987016       0.967729       0.935792       0.866774       0.737224 
             3        4.86904        0.99784        0.99353        0.98708       0.967888       0.936108       0.867422       0.738489 
           3.2         5.0207       0.997853        0.99357       0.987158       0.968082       0.936491       0.868211       0.740029 
           3.4         5.1592       0.997867       0.993613       0.987245       0.968297       0.936919        0.86909       0.741746 
           3.6        5.28684       0.997883        0.99366       0.987337       0.968525        0.93737       0.870018       0.743562 
           3.8        5.40584       0.997899       0.993705        0.98743       0.968754       0.937825       0.870955       0.745394 
             4        5.51829       0.997913        0.99375       0.987519       0.968973        0.93826       0.871848       0.747139 
           4.2        5.62606       0.997926       0.993789       0.987596       0.969164       0.938639       0.872628       0.748662 
           4.4         5.7307       0.997936       0.993818       0.987654       0.969309       0.938925       0.873215       0.749807 
           4.6        5.83351       0.997941       0.993834       0.987686       0.969386       0.939078       0.873529       0.750418 
           4.8        5.93562        0.99794       0.993832       0.987683       0.969378       0.939064         0.8735       0.750363 
             5        6.03825       0.997933       0.993811       0.987641       0.969274       0.938858        0.87308       0.749554 
           5.2        6.14208       0.997918       0.993767       0.987555       0.969063       0.938442       0.872229       0.747917 
           5.4        6.24544       0.997896       0.993699       0.987418       0.968725       0.937778       0.870878       0.745317 
           5.6         6.3446       0.997863       0.993601       0.987224       0.968249       0.936838       0.868967       0.741645 
           5.8        6.43525       0.997821       0.993477       0.986977        0.96764       0.935642       0.866535       0.736986 
             6        6.51357       0.997774       0.993336       0.986694       0.966945       0.934277        0.86377       0.731709 
           6.2        6.57712       0.997725        0.99319       0.986406       0.966237       0.932891       0.860969       0.726392 
           6.4        6.62529       0.997681       0.993058       0.986145       0.965595       0.931636       0.858443       0.721624 
           6.6        6.65923       0.997645       0.992951       0.985933       0.965075       0.930623       0.856411       0.717809 
           6.8        6.68134       0.997619       0.992873       0.985779         0.9647       0.929892       0.854949       0.715076 
             7         6.6946       0.997603       0.992824        0.98568       0.964457       0.929419       0.854006       0.713322 
           7.2        6.70188       0.997592       0.992793       0.985623       0.964316       0.929146       0.853461        0.71231 
           7.4        6.70552       0.997587       0.992779       0.985592       0.964242       0.929005       0.853179       0.711785 
           7.6        6.70716       0.997585       0.992772       0.985579       0.964209       0.928939       0.853048       0.711543 
           7.8        6.70782       0.997584       0.992769       0.985573       0.964195       0.928911       0.852994       0.711442 
             8        6.70806       0.997583       0.992767       0.985571       0.964189       0.928902       0.852974       0.711406 
           8.2        6.70813       0.997584       0.992767       0.985571       0.964188       0.928898       0.852967       0.711394 
           8.4        6.70815       0.997584       0.992767        0.98557       0.964188       0.928897       0.852966        0.71139 
           8.6        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965        0.71139 
           8.8        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
             9        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
           9.2        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
           9.4        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
           9.6        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
           9.8        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
            10        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
          10.2        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
          10.4        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
          10.6        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
          10.8        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
            11        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
          11.2        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
          11.4        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
          11.6        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
          11.8        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
            12        6.70816       0.997583       0.992767        0.98557       0.964187       0.928897       0.852965       0.711389 
