                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              1.22528             0.998763             0.996294             0.992596             0.981553             0.963222             0.923307             0.847869 
                 0.4              2.43568             0.997627             0.992897             0.985819             0.964779             0.929975             0.854921             0.714396 
                 0.6              3.61693             0.996662             0.990015             0.980081             0.950656             0.902135             0.798349             0.605586 
                 0.8              4.75596             0.995895             0.987731             0.975537             0.939526             0.880285             0.754384             0.522022 
                   1              5.84145             0.995319             0.986015             0.972126             0.931201             0.863986             0.721825             0.460669 
                 1.2              6.86431             0.994904             0.984778             0.969668             0.925215             0.852288             0.698571             0.417087 
                 1.4              7.81799             0.994614             0.983916             0.967956              0.92105             0.844156              0.68245              0.38696 
                 1.6              8.69861             0.994419             0.983337             0.966804             0.918252             0.838692             0.671632             0.366766 
                 1.8              9.50497             0.994294             0.982965             0.966066             0.916461             0.835195             0.664712             0.353846 
                   2              10.2381             0.994221             0.982748             0.965634             0.915408              0.83314             0.660644             0.346242 
                 2.2              10.9012             0.994186             0.982642             0.965421             0.914894             0.832131             0.658645             0.342493 
                 2.4              11.4984             0.994176             0.982614             0.965366              0.91476             0.831869             0.658122               0.3415 
                 2.6              12.0349             0.994185             0.982641             0.965421             0.914892             0.832127             0.658627             0.342432 
                 2.8              12.5165             0.994208             0.982706              0.96555             0.915205             0.832737             0.659834              0.34468 
                   3              12.9488             0.994237             0.982796             0.965727             0.915637             0.833582             0.661507             0.347812 
                 3.2              13.3378             0.994273             0.982901             0.965938             0.916148             0.834581             0.663491             0.351536 
                 3.4              13.6896             0.994312             0.983017             0.966169             0.916709             0.835682             0.665678              0.35565 
                 3.6              14.0101             0.994352             0.983138             0.966411               0.9173             0.836841             0.667983             0.359993 
                 3.8              14.3055             0.994394             0.983262             0.966657               0.9179             0.838014             0.670319             0.364393 
                   4              14.5812             0.994434             0.983382             0.966896             0.918478             0.839149             0.672573             0.368634 
                 4.2              14.8424             0.994471              0.98349             0.967111                0.919              0.84017             0.674601             0.372439 
                 4.4              15.0933               0.9945             0.983578             0.967284             0.919424             0.840997             0.676239             0.375501 
                 4.6              15.3372              0.99452             0.983637             0.967401             0.919707             0.841549             0.677329             0.377527 
                 4.8              15.5769             0.994527             0.983658             0.967446             0.919815             0.841761             0.677748             0.378307 
                   5              15.8153             0.994522             0.983642              0.96741             0.919731             0.841598             0.677434              0.37774 
                 5.2              16.0542             0.994501              0.98358              0.96729              0.91944             0.841037             0.676341              0.37576 
                 5.4                16.29             0.994463             0.983469             0.967071              0.91891             0.840017             0.674358             0.372172 
                 5.6              16.5147             0.994406             0.983302             0.966741             0.918114             0.838484             0.671381             0.366793 
                 5.8              16.7189             0.994332             0.983082             0.966306             0.917067             0.836471             0.667486             0.359791 
                   6              16.8945             0.994247             0.982825             0.965801             0.915852             0.834144             0.663009             0.351823 
                 6.2              17.0366             0.994156             0.982561             0.965281             0.914605             0.831768             0.658471             0.343855 
                 6.4              17.1441             0.994075             0.982319             0.964806              0.91347             0.829616             0.654398             0.336805 
                 6.6                17.22             0.994008             0.982121             0.964419             0.912549              0.82788             0.651135             0.331238 
                 6.8              17.2696             0.993959             0.981977             0.964138             0.911879             0.826624             0.648791             0.327287 
                   7              17.2998             0.993927             0.981883             0.963954             0.911443             0.825806             0.647273             0.324752 
                 7.2              17.3166             0.993908             0.981827             0.963846             0.911185             0.825326             0.646384             0.323279 
                 7.4              17.3251             0.993898             0.981797             0.963788             0.911049             0.825071             0.645914             0.322502 
                 7.6              17.3292             0.993893             0.981783              0.96376             0.910983             0.824949             0.645689             0.322132 
                 7.8              17.3308             0.993891             0.981777             0.963748             0.910955             0.824896             0.645592             0.321972 
                   8              17.3315              0.99389             0.981774             0.963744             0.910943             0.824876             0.645554             0.321911 
                 8.2              17.3317              0.99389             0.981773             0.963742              0.91094             0.824869             0.645542              0.32189 
                 8.4              17.3318              0.99389             0.981773             0.963742             0.910939             0.824867             0.645538             0.321883 
                 8.6              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321882 
                 8.8              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                   9              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                 9.2              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                 9.4              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                 9.6              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                 9.8              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                  10              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                10.2              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                10.4              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                10.6              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                10.8              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                  11              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                11.2              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                11.4              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                11.6              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                11.8              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
                  12              17.3318              0.99389             0.981773             0.963742             0.910938             0.824866             0.645537             0.321881 
