            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        1.96098       0.998157       0.994481       0.988977       0.972582       0.945416       0.886566       0.775885 
           0.4        3.90406       0.996464       0.989426       0.978909        0.94778        0.89648       0.786929       0.583791 
           0.6        5.81181       0.995026       0.985144       0.970397       0.926996       0.855793         0.7056       0.430478 
           0.8        7.66773       0.993884       0.981748        0.96366       0.910657       0.824006       0.643008       0.314655 
             1        9.45672       0.993021        0.97919       0.958589       0.898423        0.80031       0.596856       0.230399 
           1.2        11.1655       0.992395       0.977331       0.954909       0.889574        0.78321       0.563792       0.170543 
           1.4         12.783       0.991951       0.976018       0.952306       0.883332       0.771162       0.540588       0.128706 
           1.6        14.3007       0.991646       0.975114       0.950513       0.879035       0.762866       0.524639      0.0999757 
           1.8        15.7127       0.991442       0.974512       0.949321       0.876177       0.757345       0.514022      0.0808227 
             2        17.0161       0.991316       0.974137       0.948576       0.874389       0.753885        0.50736      0.0687619 
           2.2        18.2107       0.991247        0.97393       0.948163       0.873402        0.75197       0.503659       0.062013 
           2.4         19.299        0.99122       0.973849       0.948003       0.873015        0.75121       0.502175      0.0592495 
           2.6        20.2855       0.991224       0.973862       0.948025       0.873066       0.751302       0.502325      0.0594396 
           2.8        21.1763        0.99125       0.973939       0.948178       0.873432          0.752       0.503646      0.0617544 
             3        21.9782       0.991291       0.974061        0.94842       0.874007        0.75311       0.505762      0.0655212 
           3.2        22.6983       0.991341       0.974209       0.948716       0.874715       0.754473       0.508373      0.0702027 
           3.4        23.3436       0.991396       0.974373       0.949039       0.875491       0.755972        0.51125      0.0753851 
           3.6        23.9204       0.991454       0.974542       0.949373        0.87629       0.757518       0.514227      0.0807684 
           3.8        24.4346       0.991509       0.974708       0.949704       0.877085       0.759057       0.517194      0.0861522 
             4        24.8918       0.991564        0.97487       0.950025       0.877856       0.760551       0.520085      0.0914145 
           4.2        25.2976       0.991615       0.975025       0.950333       0.878594       0.761987       0.522863      0.0964886 
           4.4        25.6573       0.991666       0.975171       0.950625       0.879296       0.763351       0.525509       0.101335 
           4.6        25.9765       0.991711       0.975308         0.9509       0.879955       0.764636       0.528005       0.105916 
           4.8        26.2605       0.991756       0.975437       0.951154        0.88057       0.765829       0.530327       0.110182 
             5        26.5146       0.991794       0.975554       0.951387       0.881128       0.766915       0.532438       0.114062 
           5.2        26.7434       0.991828       0.975655        0.95159       0.881619       0.767871       0.534297       0.117476 
           5.4        26.9513       0.991859       0.975743       0.951763       0.882035       0.768679       0.535866       0.120352 
           5.6        27.1424       0.991882       0.975813       0.951901       0.882368       0.769327       0.537123       0.122651 
           5.8        27.3207         0.9919       0.975865       0.952005       0.882617       0.769811       0.538064       0.124372 
             6        27.4881        0.99191       0.975899       0.952072       0.882778       0.770122       0.538667       0.125475 
           6.2        27.6429       0.991914       0.975909       0.952095       0.882832       0.770229       0.538875       0.125857 
           6.4        27.7814       0.991909       0.975898        0.95207       0.882773       0.770116       0.538659       0.125473 
           6.6        27.9001       0.991898       0.975863       0.952003       0.882612       0.769806       0.538069       0.124427 
           6.8        27.9967       0.991882       0.975813       0.951907       0.882382       0.769368       0.537239       0.122972 
             7        28.0706       0.991863        0.97576       0.951801        0.88213        0.76889       0.536341       0.121422 
           7.2        28.1236       0.991846        0.97571       0.951703       0.881899       0.768453       0.535527       0.120039 
           7.4        28.1591       0.991833       0.975671       0.951625       0.881715       0.768107       0.534888       0.118965 
           7.6        28.1811       0.991824       0.975644        0.95157       0.881585       0.767865       0.534443       0.118227 
           7.8        28.1936       0.991817       0.975625       0.951536       0.881505       0.767715       0.534167       0.117772 
             8        28.2002       0.991814       0.975616       0.951517        0.88146        0.76763       0.534013       0.117519 
           8.2        28.2034       0.991813       0.975611       0.951507       0.881437       0.767588       0.533936       0.117393 
           8.4        28.2048       0.991812       0.975608       0.951503       0.881426       0.767569       0.533901       0.117336 
           8.6        28.2054       0.991811       0.975607       0.951501       0.881422       0.767561       0.533886       0.117312 
           8.8        28.2056       0.991811       0.975607       0.951501       0.881421       0.767558       0.533881       0.117304 
             9        28.2056       0.991811       0.975607       0.951501        0.88142       0.767557        0.53388       0.117301 
           9.2        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879       0.117301 
           9.4        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
           9.6        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
           9.8        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
            10        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
          10.2        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
          10.4        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
          10.6        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
          10.8        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
            11        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
          11.2        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
          11.4        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
          11.6        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
          11.8        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
            12        28.2056       0.991811       0.975607         0.9515        0.88142       0.767557       0.533879         0.1173 
