                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              2.52925             0.997823             0.993481             0.986982              0.96765             0.935652             0.866529             0.736887 
                 0.4              5.04552             0.995827             0.987526             0.975132             0.938537             0.878351             0.750526             0.514784 
                 0.6              7.53602             0.994138             0.982503             0.965158             0.914285             0.831059             0.656851             0.340189 
                 0.8              9.98823             0.992798              0.97853             0.957287             0.895299             0.794305             0.585323             0.209799 
                   1              12.3901             0.991786             0.975532             0.951353             0.881072             0.766898             0.532666              0.11533 
                 1.2              14.7304             0.991042             0.973332             0.947001             0.870679             0.746934             0.494626            0.0477433 
                 1.4              16.9984             0.990505             0.971743             0.943854             0.863181             0.732542             0.467331         -0.000533502 
                 1.6              19.1847             0.990118               0.9706             0.941593             0.857802             0.722219             0.447789           -0.0350667 
                 1.8              21.2807             0.989844             0.969789             0.939984             0.853978             0.714868             0.433876           -0.0596959 
                   2              23.2792             0.989652             0.969221             0.938862             0.851305             0.709725             0.424127           -0.0770202 
                 2.2              25.1747             0.989523             0.968841             0.938106             0.849508             0.706255              0.41753           -0.0888183 
                 2.4               26.963             0.989444             0.968605             0.937635             0.848385             0.704078             0.413368           -0.0963408 
                 2.6              28.6423             0.989403             0.968481             0.937386              0.84779             0.702914             0.411115            -0.100503 
                 2.8              30.2123              0.98939             0.968445             0.937313             0.847608             0.702547             0.410365             -0.10201 
                   3              31.6748             0.989401             0.968476             0.937374              0.84775             0.702799             0.410788            -0.101434 
                 3.2              33.0332             0.989428              0.96856             0.937538             0.848134             0.703523             0.412105           -0.0992619 
                 3.4              34.2918              0.98947             0.968681             0.937777             0.848696             0.704588             0.414072           -0.0959203 
                 3.6              35.4554              0.98952             0.968827             0.938064             0.849376             0.705881              0.41648           -0.0917804 
                 3.8              36.5287             0.989574             0.968986              0.93838             0.850126              0.70731             0.419151           -0.0871569 
                   4              37.5158             0.989631             0.969154             0.938709             0.850905             0.708799              0.42194           -0.0823046 
                 4.2              38.4201             0.989686             0.969319             0.939038             0.851683              0.71029             0.424738           -0.0774184 
                 4.4              39.2444             0.989742             0.969481             0.939357             0.852441             0.711741             0.427467           -0.0726376 
                 4.6               39.991             0.989793             0.969634             0.939662             0.853163             0.713127             0.430077           -0.0680545 
                 4.8              40.6618             0.989842             0.969779             0.939948             0.853843             0.714431             0.432538           -0.0637225 
                   5              41.2592             0.989887             0.969913             0.940214             0.854476             0.715646             0.434835           -0.0596684 
                 5.2              41.7858              0.98993             0.970037             0.940459             0.855061             0.716771             0.436963           -0.0559013 
                 5.4              42.2453             0.989968             0.970151             0.940685             0.855597             0.717804             0.438922           -0.0524236 
                 5.6              42.6418             0.990003             0.970254              0.94089             0.856086             0.718746             0.440711           -0.0492381 
                 5.8              42.9805             0.990034             0.970348             0.941076             0.856527             0.719595             0.442327           -0.0463524 
                   6              43.2669             0.990063              0.97043             0.941239             0.856918             0.720349             0.443764           -0.0437796 
                 6.2               43.507             0.990086             0.970502             0.941382             0.857257             0.721006             0.445017           -0.0415332 
                 6.4              43.7069             0.990107             0.970563             0.941503             0.857546             0.721563             0.446082           -0.0396195 
                 6.6              43.8726             0.990124             0.970614             0.941602             0.857784             0.722025             0.446964           -0.0380332 
                 6.8              44.0096             0.990138             0.970653             0.941682             0.857975             0.722394             0.447669           -0.0367622 
                   7              44.1224             0.990148             0.970683             0.941743             0.858119             0.722672               0.4482           -0.0358054 
                 7.2              44.2138             0.990155             0.970704             0.941783             0.858215             0.722858             0.448558           -0.0351632 
                 7.4              44.2864             0.990158             0.970715             0.941805             0.858268              0.72296             0.448752           -0.0348131 
                 7.6              44.3419              0.99016             0.970718             0.941812             0.858285             0.722993             0.448815           -0.0346985 
                 7.8              44.3828             0.990159             0.970716             0.941809             0.858277             0.722978             0.448789           -0.0347395 
                   8              44.4115             0.990157             0.970711               0.9418             0.858256              0.72294             0.448719           -0.0348555 
                 8.2              44.4303             0.990156             0.970707              0.94179             0.858233             0.722897             0.448641           -0.0349851 
                 8.4               44.442             0.990154             0.970703             0.941782             0.858214             0.722861             0.448574            -0.035094 
                 8.6              44.4487             0.990153               0.9707             0.941776               0.8582             0.722834             0.448527           -0.0351705 
                 8.8              44.4523             0.990153             0.970697             0.941772             0.858191             0.722819             0.448499           -0.0352176 
                   9              44.4541             0.990152             0.970697             0.941771             0.858187              0.72281             0.448483           -0.0352433 
                 9.2              44.4549             0.990153             0.970697             0.941769             0.858185             0.722806             0.448475           -0.0352558 
