            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2      0.0581952       0.999912       0.999736       0.999472       0.998679       0.997359       0.994457        0.98892 
           0.4       0.114697        0.99983       0.999491       0.998981       0.997452       0.994906       0.989314       0.978652 
           0.6       0.168034       0.999759       0.999277       0.998556       0.996391       0.992786       0.984873       0.969796 
           0.8       0.217156       0.999702       0.999106       0.998213       0.995537       0.991081       0.981302       0.962681 
             1       0.261574        0.99966       0.998979       0.997956       0.994898       0.989803       0.978632       0.957362 
           1.2       0.301438       0.999629       0.998889       0.997779       0.994452       0.988916       0.976772       0.953664 
           1.4       0.337508        0.99961        0.99883        0.99766       0.994157       0.988327       0.975544       0.951221 
           1.6       0.371035       0.999595       0.998787       0.997575       0.993945       0.987902       0.974655       0.949455 
           1.8       0.403555        0.99958        0.99874       0.997481        0.99371       0.987435        0.97368       0.947516 
             2       0.436628       0.999553       0.998661       0.997323       0.993316        0.98665       0.972042       0.944271 
           2.2       0.471585       0.999506       0.998518       0.997037       0.992604       0.985232       0.969092       0.938444 
           2.4       0.509371       0.999426       0.998281       0.996566       0.991432       0.982905       0.964261       0.928941 
           2.6       0.550575       0.999311       0.997936       0.995878       0.989724       0.979519       0.957256       0.915215 
           2.8        0.59553        0.99916       0.997485        0.99498       0.987492       0.975103       0.948145       0.897446 
             3       0.643442       0.998978       0.996939       0.993893       0.984802       0.969787        0.93721       0.876205 
           3.2       0.692188        0.99877       0.996316       0.992655       0.981739       0.963743       0.924814        0.85221 
           3.4       0.739008       0.998544       0.995643       0.991318       0.978433        0.95723       0.911492       0.826518 
           3.6       0.781208       0.998317       0.994961       0.989957       0.975079       0.950631       0.898046       0.800699 
           3.8       0.816741       0.998097       0.994311       0.988675       0.971914       0.944425       0.885442       0.776638 
             4       0.844575        0.99791       0.993751       0.987559       0.969175       0.939056       0.874588       0.756028 
           4.2       0.864786       0.997759       0.993303       0.986674       0.967001       0.934813       0.866043         0.7399 
           4.4       0.878328       0.997652       0.992982       0.986038        0.96544       0.931767       0.859928       0.728411 
           4.6       0.886668        0.99758       0.992771       0.985622       0.964421       0.929785       0.855958       0.720981 
           4.8       0.891361       0.997539       0.992647       0.985378       0.963822        0.92862       0.853629       0.716634 
             5       0.893761       0.997518       0.992583       0.985247       0.963506       0.928003       0.852397       0.714339 
           5.2       0.894869       0.997507       0.992551       0.985186       0.963356       0.927711       0.851814       0.713252 
           5.4       0.895329       0.997502       0.992538       0.985161       0.963291       0.927586       0.851566       0.712793 
           5.6       0.895497         0.9975       0.992534        0.98515       0.963267        0.92754       0.851473        0.71262 
           5.8       0.895552       0.997501       0.992533       0.985146       0.963259       0.927524       0.851443       0.712563 
             6       0.895567         0.9975       0.992532       0.985146       0.963257        0.92752       0.851434       0.712547 
           6.2       0.895571         0.9975       0.992532       0.985147       0.963256       0.927518       0.851432       0.712543 
           6.4       0.895572       0.997501       0.992532       0.985146       0.963256       0.927517       0.851432       0.712541 
           6.6       0.895572       0.997501       0.992532       0.985146       0.963256       0.927517       0.851431       0.712541 
           6.8       0.895572       0.997501       0.992532       0.985146       0.963256       0.927517       0.851431       0.712541 
             7       0.895572       0.997501       0.992532       0.985146       0.963256       0.927517       0.851431       0.712541 
           7.2       0.895572       0.997501       0.992532       0.985146       0.963256       0.927517       0.851431       0.712541 
           7.4       0.895572       0.997501       0.992532       0.985146       0.963256       0.927517       0.851431       0.712541 
           7.6       0.895572       0.997501       0.992532       0.985146       0.963256       0.927517       0.851431       0.712541 
           7.8       0.895572       0.997501       0.992532       0.985146       0.963256       0.927517       0.851431       0.712541 
             8       0.895572       0.997501       0.992532       0.985146       0.963256       0.927517       0.851431       0.712541 
