            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2       0.724222      -0.000862          3e-06   -3.55036e-06    1.65036e-05   -9.66338e-05    0.000673435    -0.00540415
           0.4        1.43213      -0.001656          7e-06    2.40765e-06   -1.80765e-05     0.00013398    -0.00107354     0.00943514
           0.6        2.10869      -0.002333        1.2e-05    8.54535e-06   -4.24535e-05    0.000252098    -0.00175545      0.0140009
           0.8        2.74131      -0.002874        2.4e-05   -9.68503e-06    4.68503e-05   -0.000278352      0.0019201     -0.0150874
             1        3.32057      -0.003276        2.9e-05   -5.94765e-06    3.24765e-05   -0.000212736     0.00157343     -0.0130677
           1.2        3.84072      -0.003561        3.6e-05   -1.33679e-05    6.56792e-05   -0.000396071     0.00276518      -0.021973
           1.4        4.29953       -0.00375        3.7e-05     -2.135e-06       5.35e-06   -2.12463e-05    9.24213e-05   -0.000402578
           1.6        4.69801      -0.003867        3.6e-05    9.19622e-06   -4.49622e-05    0.000249781    -0.00163638      0.0123622
           1.8        5.03971      -0.003934        3.9e-05    2.29164e-06   -1.09164e-05    4.89162e-05   -0.000256017     0.00151367
             2        5.32999      -0.003964        3.9e-05    5.70103e-06   -3.10103e-05    0.000180552     -0.0012265     0.00953105
           2.2        5.57537       -0.00397        4.1e-05   -1.03407e-06      3.407e-07    4.33821e-06   -6.58759e-05     0.00075603
           2.4        5.78296      -0.003958        3.9e-05    5.41672e-06   -2.81672e-05    0.000158962    -0.00106364     0.00823842
           2.6        5.96005      -0.003937          4e-05    2.40926e-06   -2.00926e-05    0.000137424    -0.00103618     0.00867148
           2.8        6.11372      -0.003909        3.8e-05    8.11488e-06   -4.51488e-05    0.000269083    -0.00184311      0.0143251
             3        6.25055      -0.003881        4.1e-05    -7.2053e-06     3.4053e-05   -0.000206563     0.00143625      -0.011288
           3.2        6.37631      -0.003855        3.9e-05   -3.92825e-07   -1.07175e-06    6.71757e-06   -5.35352e-05    0.000482545
           3.4        6.49574      -0.003838          4e-05   -6.17888e-06    3.17888e-05   -0.000211938     0.00160588     -0.0136483
           3.6        6.61279      -0.003833        3.9e-05   -1.40445e-06    3.04451e-06   -1.22088e-05    3.97118e-05    4.91148e-05
           3.8         6.7315      -0.003844        3.8e-05    4.10448e-06   -2.20448e-05     0.00011947   -0.000744161     0.00523716
             4        6.85446      -0.003874        3.9e-05     3.4739e-06    -1.8739e-05    0.000103431   -0.000677457     0.00513613
           4.2        6.97946      -0.003927        4.1e-05    2.91144e-06   -1.91143e-05     0.00011731     -0.0008295     0.00664683
           4.4        7.10133      -0.004006        4.6e-05   -5.41283e-06    1.71283e-05   -8.16548e-05    0.000473275     -0.0032408
           4.6         7.2139      -0.004105        4.7e-05    1.35493e-06   -9.54935e-06     5.0368e-05   -0.000332047     0.00262444
           4.8        7.31163      -0.004219        5.2e-05    -6.9348e-08   -8.30652e-06    5.78401e-05   -0.000432458     0.00355115
             5        7.39095      -0.004333        5.8e-05   -5.35159e-06    1.65159e-05   -9.10719e-05    0.000612341    -0.00481605
           5.2        7.45088      -0.004434        6.4e-05   -1.21685e-05    4.96853e-05   -0.000286064     0.00193038     -0.0149233
           5.4        7.49289      -0.004512        6.3e-05     6.9577e-06    -4.5577e-05    0.000270043    -0.00183531      0.0141436
           5.6        7.52014      -0.004569        6.9e-05   -7.03846e-06    2.43846e-05   -0.000143546    0.000984073    -0.00770628
           5.8        7.53642      -0.004605        7.1e-05   -7.11311e-06    2.41311e-05   -0.000147904     0.00106922    -0.00884469
             6        7.54535      -0.004626        7.3e-05    -8.9978e-06     2.6978e-05   -0.000138884    0.000873876     -0.0064932
           6.2        7.54982      -0.004636        7.2e-05   -3.44046e-06     1.4046e-06    5.07748e-06     -9.111e-05     0.00101185
           6.4        7.55185      -0.004641        7.3e-05   -7.17294e-06    2.17294e-05   -0.000121931    0.000815972    -0.00632274
           6.6        7.55269      -0.004643        7.3e-05   -7.06214e-06    2.26214e-05      -0.000135    0.000953756    -0.00774067
           6.8        7.55299      -0.004644        7.4e-05    -1.1016e-05      4.216e-05   -0.000249857     0.00173919     -0.0138712
             7        7.55309      -0.004644        7.3e-05   -7.00672e-06    2.30672e-05    -0.00014004    0.000991779    -0.00798124
           7.2        7.55312      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05    -0.00012703    0.000855584    -0.00658422
           7.4        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05    -0.00012703    0.000854584    -0.00655821
           7.6        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
           7.8        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
             8        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
           8.2        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
           8.4        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
           8.6        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
           8.8        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
             9        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
           9.2        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
           9.4        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
           9.6        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
           9.8        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
            10        7.55313      -0.004644        7.3e-05   -7.00672e-06    2.20672e-05   -0.000128026    0.000875487    -0.00687872
