                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              4.13562          -0.00251477          1.69479e-05         -4.42497e-07         -7.22987e-07          1.27986e-05         -0.000133218           0.00133133 
                 0.4              8.26333          -0.00479442          5.93151e-05          2.90319e-06         -1.53909e-05          6.43736e-05          -0.00028544           0.00117121 
                 0.6              12.3751          -0.00668867          0.000115967          1.23635e-06          -1.7818e-05          8.19548e-05          -0.00043281            0.0025609 
                 0.8              16.4629          -0.00815783          0.000171209          8.44322e-07         -2.66356e-05           0.00012431         -0.000672348           0.00415156 
                   1              20.5185          -0.00924985          0.000220226         -5.39026e-06         -1.91973e-05          0.000128508          -0.00095393            0.0079557 
                 1.2              24.5335           -0.0100457          0.000258088         -1.22159e-05          6.37902e-06         -3.21845e-05          0.000207761          -0.00153557 
                 1.4              28.4997           -0.0106271          0.000286884          -1.8309e-05          2.82915e-05         -0.000160504           0.00108532          -0.00837533 
                 1.6              32.4086           -0.0110564          0.000307172         -1.81989e-05          2.24601e-05          -0.00013099          0.000912869          -0.00720023 
                 1.8              36.2519           -0.0113771          0.000321936         -1.73508e-05          1.44655e-05         -8.32067e-05           0.00057119          -0.00438568 
                   2              40.0212            -0.011619          0.000331761         -1.08567e-05         -2.08614e-05          0.000118722         -0.000757565           0.00556766 
                 2.2              43.7082           -0.0118017          0.000340508         -1.18422e-05         -2.10144e-05          0.000132186         -0.000918165           0.00725516 
                 2.4              47.3041           -0.0119389          0.000348501         -1.99623e-05          1.87933e-05         -0.000108103          0.000756913          -0.00600168 
                 2.6              50.8003           -0.0120394          0.000353429         -2.22814e-05          2.68345e-05         -0.000143913           0.00093753          -0.00699912 
                 2.8              54.1882           -0.0121104          0.000355548         -1.94341e-05          1.25931e-05         -6.45602e-05          0.000426584          -0.00325335 
                   3              57.4595           -0.0121569          0.000355226         -1.30214e-05         -1.59016e-05           9.1012e-05         -0.000586474           0.00439968 
                 3.2              60.6068           -0.0121854          0.000358112         -2.03113e-05          1.48531e-05         -6.90418e-05          0.000402046          -0.00265885 
                 3.4              63.6239           -0.0121962          0.000357727          -1.9851e-05          1.45543e-05         -7.63251e-05          0.000507534          -0.00388391 
                 3.6              66.5063           -0.0121928           0.00035562         -1.44197e-05         -1.21191e-05          8.10028e-05         -0.000571386           0.00456616 
                 3.8              69.2515           -0.0121779          0.000354621         -1.70538e-05          5.67497e-06         -4.24684e-05          0.000373075          -0.00343005 
                   4              71.8581           -0.0121534          0.000352806         -1.69362e-05           5.2882e-06         -3.63216e-05          0.000302592          -0.00266593 
                 4.2              74.3262           -0.0121219          0.000351828         -1.94952e-05          1.18128e-05         -4.48025e-05          0.000202287         -0.000898147 
                 4.4              76.6562           -0.0120837           0.00034883         -1.86939e-05          1.51847e-05         -9.35737e-05          0.000690805          -0.00569119 
                 4.6              78.8489           -0.0120423          0.000346384         -1.66775e-05         -7.48266e-07          2.81805e-05         -0.000284231           0.00277342 
                 4.8              80.9049            -0.011998          0.000344231         -1.89234e-05          1.33984e-05         -6.39516e-05          0.000387161          -0.00268616 
                   5              82.8245           -0.0119519          0.000340805         -1.61063e-05          2.52341e-06         -1.09629e-05          9.29351e-05         -0.000892837 
                 5.2              84.6078           -0.0119057          0.000338066          -1.4845e-05         -4.96408e-06          4.45231e-05         -0.000359967           0.00317421 
                 5.4              86.2548           -0.0118597          0.000335355         -1.42949e-05         -5.27507e-06           3.9221e-05         -0.000287207           0.00238397 
                 5.6               87.766           -0.0118149          0.000333432         -1.50058e-05         -4.34109e-06          4.68633e-05         -0.000406251           0.00372573 
                 5.8               89.142           -0.0117709          0.000331011         -1.51892e-05          4.37502e-07          3.43274e-06         -2.06593e-05           0.00011168 
                   6              90.3849           -0.0117283          0.000328396          -1.3354e-05         -7.87745e-06          5.24647e-05         -0.000360195           0.00280776 
                 6.2              91.4978           -0.0116878           0.00032709         -1.66343e-05          9.88001e-06         -5.45477e-05          0.000378952          -0.00298065 
                 6.4              92.4856           -0.0116491          0.000325726         -1.81001e-05          1.62728e-05         -8.80679e-05          0.000593764          -0.00460161 
                 6.6              93.3548           -0.0116115          0.000322329         -1.20615e-05         -1.11081e-05          6.51919e-05         -0.000416103           0.00305435 
                 6.8              94.1138           -0.0115767          0.000320686          -1.0721e-05         -2.09536e-05          0.000138578         -0.000999441           0.00811844 
                   7              94.7725           -0.0115437          0.000319175         -1.16278e-05         -1.16807e-05          6.35942e-05         -0.000373371           0.00249442 
                 7.2              95.3418           -0.0115133          0.000318433         -1.34777e-05         -4.19595e-06          2.95176e-05         -0.000199399           0.00154498 
                 7.4              95.8333           -0.0114853          0.000318428         -1.78124e-05          1.63942e-05         -8.84415e-05          0.000599596          -0.00469768 
                 7.6              96.2588           -0.0114589          0.000316667         -1.54674e-05          6.15403e-06         -3.10467e-05          0.000212534          -0.00165307 
                 7.8              96.6298           -0.0114347          0.000314502         -1.10045e-05          -1.5879e-05          0.000103448         -0.000746079           0.00612486 
                   8               96.957           -0.0114136          0.000314741         -1.54903e-05          7.06774e-06         -3.45685e-05          0.000215485          -0.00149831 
                 8.2              97.2509           -0.0113943          0.000313141         -1.17973e-05          -1.1057e-05          6.96478e-05         -0.000474751           0.00370141 
                 8.4              97.5221           -0.0113767          0.000311965         -1.11016e-05         -1.03657e-05          4.92136e-05         -0.000250205           0.00141986 
                 8.6              97.7769           -0.0113616          0.000311774         -1.16781e-05         -1.12811e-05          7.13334e-05         -0.000488509           0.00381618 
                 8.8              98.0142           -0.0113493          0.000312053         -1.43595e-05          2.84245e-07          1.16164e-05          -0.00012891           0.00135225 
