            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2        5.00968      -0.002963        2.1e-05    7.43621e-06   -3.73621e-05    0.000219203    -0.00151323       0.012011
           0.4        10.0097      -0.005659        8.5e-05   -6.62558e-06    2.32558e-05   -0.000147212      0.0010946    -0.00925384
           0.6        14.9903      -0.007909       0.000163   -6.43962e-06    3.39623e-06   -1.27569e-05    5.02914e-05   -0.000130143
           0.8        19.9415      -0.009669       0.000242   -1.06584e-05   -2.41625e-06    4.71192e-05   -0.000497797     0.00508163
             1        24.8534      -0.010988        0.00031   -1.89886e-05    2.68859e-05   -0.000169559     0.00125373     -0.0104164
           1.2        29.7158      -0.011958       0.000362   -1.77263e-05    5.26312e-06   -5.07088e-05    0.000484257    -0.00461737
           1.4        34.5185      -0.012672       0.000403   -2.09222e-05     4.2224e-06   -3.75622e-05    0.000390455    -0.00400458
           1.6        39.2512      -0.013202       0.000434   -2.37723e-05    1.72286e-06    7.74791e-06   -9.96063e-05     0.00109437
           1.8        43.9038      -0.013599       0.000455   -1.75016e-05   -3.89843e-05    0.000256491    -0.00185595      0.0152188
             2         48.466      -0.013899       0.000472   -2.11876e-05   -1.81238e-05     9.9297e-05   -0.000600238     0.00428563
           2.2        52.9276      -0.014127       0.000485   -1.98233e-05   -3.87671e-05    0.000257603     -0.0018611      0.0151852
           2.4        57.2781      -0.014299       0.000498   -3.52691e-05    3.56914e-05   -0.000190973     0.00128684     -0.0100074
           2.6        61.5071      -0.014425       0.000505   -3.80341e-05    4.93408e-05   -0.000280863     0.00195634     -0.0155962
           2.8        65.6043      -0.014514       0.000507   -2.88252e-05    1.25174e-06    1.17383e-05   -0.000112938      0.0010732
             3        69.5601      -0.014574       0.000509   -2.84891e-05    5.89142e-06   -4.80118e-05    0.000479649    -0.00478234
           3.2        73.3658       -0.01461        0.00051   -2.62786e-05   -1.12141e-05    7.89335e-05   -0.000533122     0.00408484
           3.4        77.0142      -0.014625        0.00051    -2.8601e-05       6.01e-06   -4.15093e-05    0.000373644    -0.00343368
           3.6        80.5002      -0.014623       0.000509   -2.78753e-05    -2.4687e-07    9.73868e-06    -5.5591e-05    0.000422996
           3.8         83.821      -0.014606       0.000506   -2.36659e-05   -1.83407e-05      0.0001066   -0.000659831     0.00472525
             4        86.9752      -0.014577       0.000502   -1.75033e-05   -4.89671e-05    0.000296169    -0.00202801      0.0159851
           4.2        89.9629      -0.014539       0.000498   -1.28864e-05   -7.11358e-05    0.000424278    -0.00286757      0.0221583
           4.4        92.7851      -0.014495       0.000498   -2.83592e-05    1.25923e-05   -8.92502e-05    0.000734063    -0.00640598
           4.6        95.4426      -0.014446       0.000495   -2.76534e-05    3.53394e-06   -1.43864e-05    0.000143052    -0.00148752
           4.8        97.9363      -0.014393       0.000491   -2.65318e-05    -6.8201e-07    1.51041e-05   -0.000104574    0.000849051
