            dY            C~1        C~2/C~1        C~3/C~1        C~4/C~1        C~5/C~1        C~6/C~1        C~7/C~1        C~8/C~1
           0.2       0.725794      -0.000649              0    2.52721e-06   -5.27206e-06   -2.59689e-06    0.000205101    -0.00282671
           0.4        1.44493      -0.001254          5e-06   -1.58873e-06     1.8873e-06    7.71209e-06    -0.00011812      0.0011301
           0.6        2.15092      -0.001778          9e-06   -3.08919e-06    1.68919e-05   -0.000113907    0.000881404    -0.00765877
           0.8        2.83765      -0.002205        1.3e-05   -3.92707e-06    2.62707e-05   -0.000184104     0.00140275     -0.0117743
             1         3.4995      -0.002536        1.5e-05    6.44069e-06   -3.24069e-05    0.000191141    -0.00132024      0.0104542
           1.2        4.13158      -0.002783          2e-05   -7.32625e-07    4.32625e-06   -3.32508e-05    0.000265011    -0.00227314
           1.4        4.72981       -0.00296          2e-05    1.03387e-05   -5.33872e-05    0.000315521    -0.00215529      0.0167562
           1.6         5.2911      -0.003085        2.4e-05   -1.65045e-07    2.65045e-06    -2.7318e-05    0.000234382    -0.00204741
           1.8        5.81343       -0.00317        2.6e-05     -1.092e-08    -7.8908e-06    7.12083e-05   -0.000610841     0.00551538
             2        6.29584      -0.003224        2.8e-05   -6.95412e-06    3.15412e-05   -0.000179903     0.00119815    -0.00914568
           2.2        6.73844      -0.003255        2.8e-05    -5.7521e-06    2.75209e-05   -0.000164857     0.00114031    -0.00897238
           2.4        7.14226      -0.003269        2.9e-05   -1.02087e-05    5.20873e-05   -0.000318003      0.0022279     -0.0177045
           2.6        7.50911       -0.00327        2.7e-05    -1.6306e-07    -3.3694e-06    3.21024e-05   -0.000295364     0.00284663
           2.8        7.84129      -0.003262        2.6e-05    3.53071e-06   -2.03071e-05    0.000119571   -0.000802743     0.00610618
             3        8.14141      -0.003248        2.7e-05   -2.01803e-06    6.18032e-06    -2.3732e-05    8.04381e-05   -3.92443e-05
           3.2        8.41213       -0.00323        2.7e-05   -3.71268e-06    1.81268e-05    -0.00011418    0.000824466    -0.00672057
           3.4        8.65604      -0.003209        2.4e-05    7.49728e-06   -3.79728e-05      0.0002188    -0.00146866      0.0112773
           3.6        8.87555      -0.003188        2.4e-05    6.69314e-06   -3.49314e-05    0.000203518    -0.00137108      0.0105228
           3.8        9.07285      -0.003167        2.5e-05   -1.05696e-07    3.05696e-06   -3.42948e-05     0.00030921    -0.00280666
             4        9.25001      -0.003147        2.6e-05   -2.87416e-06    9.74164e-06   -4.83638e-05    0.000297767    -0.00219362
           4.2        9.40898      -0.003127        2.6e-05   -5.61891e-06    2.91891e-05    -0.00018832     0.00139187     -0.0116088
           4.4        9.55169      -0.003107        2.2e-05    1.06566e-05    -5.4566e-05    0.000317548    -0.00213609      0.0163751
           4.6        9.68001       -0.00309        2.4e-05    4.00741e-06   -3.10741e-05    0.000224208    -0.00175059      0.0150208
           4.8        9.79579      -0.003073        2.3e-05    5.39262e-06   -3.09262e-05    0.000190926     -0.0013432      0.0106742
             5        9.90077      -0.003059        2.6e-05   -8.13654e-06    3.93654e-05   -0.000239654     0.00169936     -0.0137207
           5.2        9.99653      -0.003045        2.3e-05    4.36724e-06   -2.76724e-05    0.000181749    -0.00134312      0.0111259
           5.4        10.0846      -0.003034        2.3e-05    1.97305e-06   -9.73046e-06    5.03053e-05   -0.000308713      0.0022071
           5.6        10.1665      -0.003026        2.4e-05   -2.32321e-06    1.02321e-05   -6.13159e-05    0.000429267    -0.00344959
