                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              1.96098          -0.00184296          1.01582e-05         -6.33356e-06           3.5574e-05         -0.000231022           0.00170265           -0.0141027 
                 0.4              3.90406          -0.00353635          3.45743e-05         -6.18843e-06          2.22947e-05         -0.000107839           0.00062162          -0.00415947 
                 0.6              5.81181          -0.00497362          6.48336e-05          -2.7186e-06          6.55562e-06         -3.83358e-05          0.000262104           -0.0020432 
                 0.8              7.66773          -0.00611636          9.71213e-05         -2.72571e-06          1.29113e-06         -9.53346e-06          7.90978e-05         -0.000708308 
                   1              9.45672          -0.00697875          0.000125932         -5.31897e-06          9.34785e-06         -6.25692e-05          0.000478189          -0.00407146 
                 1.2              11.1655           -0.0076054          0.000147266            5.105e-07         -3.19645e-05          0.000213425          -0.00158069            0.0130549 
                 1.4               12.783          -0.00804901          0.000165493         -8.58169e-06          1.56301e-05         -9.67142e-05          0.000708189          -0.00588907 
                 1.6              14.3007          -0.00835385          0.000175852         -5.08367e-06         -2.51037e-06          4.02778e-06          4.62426e-05         -0.000875806 
                 1.8              15.7127          -0.00855786          0.000185474         -1.09466e-05          1.75527e-05          -8.6847e-05          0.000536891          -0.00393035 
                   2              17.0161          -0.00868441          0.000190109         -1.20827e-05          2.28137e-05         -0.000111959          0.000641382          -0.00413964 
                 2.2              18.2107          -0.00875344          0.000190081          -3.2124e-06         -1.62212e-05          8.88214e-05         -0.000558282           0.00404083 
                 2.4               19.299          -0.00878015          0.000189901          6.42521e-07         -3.71419e-05          0.000223706           -0.0015589            0.0124133 
                 2.6              20.2855          -0.00877627          0.000190737         -5.60006e-06         -2.62256e-06          9.34658e-06         -5.13175e-05          0.000482019 
                 2.8              21.1763             -0.00875          0.000188929         -2.52169e-06         -1.61879e-05          7.33699e-05         -0.000363058            0.0018948 
                   3              21.9782          -0.00870949          0.000189042         -8.49479e-06          8.29459e-06         -4.07859e-05          0.000226511          -0.00131125 
                 3.2              22.6983          -0.00865881          0.000185657         -1.48469e-06         -2.91872e-05          0.000188926            -0.001366            0.0110852 
                 3.4              23.3436          -0.00860425          0.000186072         -1.31214e-05          3.38808e-05         -0.000202467           0.00141051           -0.0111633 
                 3.6              23.9204          -0.00854621          0.000180942         -3.18975e-06         -8.36944e-06           2.4498e-05         -5.12869e-05         -0.000209572 
                 3.8              24.4346           -0.0084909          0.000180331         -5.08705e-06         -8.98726e-06          6.52886e-05         -0.000491234           0.00404333 
                   4              24.8918          -0.00843607          0.000177918         -4.43519e-06         -6.63671e-06          2.88368e-05         -0.000120108          0.000361335 
                 4.2              25.2976          -0.00838461          0.000178468         -1.34282e-05          3.55014e-05         -0.000200695           0.00131891          -0.00985478 
                 4.4              25.6573          -0.00833447          0.000174332         -2.72047e-06         -1.80105e-05          0.000113971         -0.000813293           0.00655646 
                 4.6              25.9765          -0.00828933          0.000175793         -1.20494e-05          2.10652e-05         -8.73905e-05          0.000422513          -0.00224058 
                 4.8              26.2605          -0.00824427          0.000169806          3.58714e-06         -4.68117e-05          0.000274374          -0.00185891              0.01438 
                   5              26.5146          -0.00820576           0.00017151         -9.01392e-06          1.65645e-05         -9.78067e-05          0.000666664          -0.00513033 
                 5.2              26.7434          -0.00817189          0.000171149         -9.49393e-06          1.32257e-05         -6.00859e-05          0.000342784          -0.00233747 
                 5.4              26.9513          -0.00814122           0.00016699          1.45819e-06         -3.64473e-05          0.000221407          -0.00155844            0.0125256 
                 5.6              27.1424          -0.00811846          0.000167981         -5.44168e-06          5.15799e-08         -1.17676e-05          0.000168014          -0.00194126 
                 5.8              27.3207              -0.0081          0.000165216          2.47798e-06          -3.7726e-05           0.00021121          -0.00138644            0.0105022 
                   6              27.4881          -0.00808954          0.000167341         -7.31225e-06          1.05464e-05         -7.53271e-05          0.000602977          -0.00530163 
                 6.2              27.6429          -0.00808599          0.000166842         -2.43824e-06         -2.51385e-05          0.000186591          -0.00147275            0.0127377 
                 6.4              27.7814          -0.00809056          0.000169214         -1.36782e-05          3.78887e-05         -0.000215475           0.00143902           -0.0109942 
                 6.6              27.9001           -0.0081015          0.000167598          -4.3369e-06         -1.20394e-05          9.48024e-05         -0.000770606           0.00678781 
                 6.8              27.9967          -0.00811846           0.00016877           -4.822e-06           -1.243e-05          0.000104916          -0.00087316           0.00778062 
                   7              28.0706          -0.00813705          0.000171496         -1.39292e-05          3.74769e-05         -0.000209073           0.00137343            -0.010326 
                 7.2              28.1236          -0.00815357          0.000171137         -8.88932e-06          1.32984e-05         -7.58543e-05          0.000532072           -0.0043188 
                 7.4              28.1591          -0.00816713           0.00017252         -1.25359e-05          3.41275e-05          -0.00020914           0.00149001           -0.0120339 
                 7.6              28.1811          -0.00817627          0.000172421         -1.08584e-05          2.76072e-05         -0.000174908           0.00125815           -0.0101312 
                 7.8              28.1936          -0.00818259           0.00017316         -1.07116e-05          2.16006e-05          -0.00011913          0.000776051          -0.00577573 
