                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              2.04881          -0.00183164          9.52262e-06         -1.56677e-06          6.08159e-06         -3.55426e-05          0.000261913          -0.00225829 
                 0.4              4.08718          -0.00350312          3.41703e-05         -6.48124e-06          2.72951e-05         -0.000150957           0.00098288          -0.00737091 
                 0.6              6.10482          -0.00490606          6.33925e-05         -1.47425e-07          -7.2238e-06          4.51447e-05         -0.000311523           0.00239539 
                 0.8              8.09167          -0.00600666          9.48135e-05         -3.84346e-06           9.6519e-06         -6.86261e-05          0.000527616          -0.00443313 
                   1              10.0381           -0.0068291          0.000121995         -5.51898e-06          7.56121e-06         -3.55247e-05           0.00019968          -0.00128297 
                 1.2              11.9349          -0.00742599          0.000142708         -6.43491e-06          9.39262e-06         -5.41018e-05          0.000366966          -0.00281873 
                 1.4              13.7736          -0.00785326          0.000156887         -3.25986e-06         -6.57053e-06          2.61805e-05         -0.000106268          0.000375836 
                 1.6              15.5465          -0.00815833          0.000168122         -3.45415e-06         -1.12566e-05          6.65809e-05         -0.000447728           0.00344487 
                 1.8              17.2466          -0.00837381          0.000176336         -6.08814e-06          1.07267e-06         -1.04368e-05           0.00010362          -0.00101349 
                   2              18.8682          -0.00852293           0.00018138         -6.46062e-06          4.74874e-06         -4.45725e-05          0.000402143          -0.00374587 
                 2.2              20.4063          -0.00862265          0.000184688         -4.53781e-06         -1.09868e-05          7.05321e-05         -0.000502918            0.0040647 
                 2.4              21.8576          -0.00868368          0.000188278          -1.3071e-05           3.4496e-05         -0.000210595           0.00148896            -0.011927 
                 2.6              23.2203          -0.00871402          0.000186264         -8.22557e-07         -2.88928e-05          0.000173861          -0.00120524           0.00954259 
                 2.8               24.494          -0.00872227          0.000188402          -9.9249e-06          1.75798e-05         -0.000108292          0.000783046          -0.00641497 
                   3              25.6799          -0.00871192          0.000188031         -9.64179e-06          1.06309e-05         -4.13553e-05          0.000180055         -0.000747976 
                 3.2              26.7805          -0.00868663          0.000184884         -3.75273e-06         -1.15382e-05          6.11153e-05         -0.000374149           0.00265699 
                 3.4              27.7994           -0.0086527          0.000184155         -6.07208e-06         -1.85256e-06          1.18564e-05         -6.91418e-05          0.000416215 
                 3.6              28.7401          -0.00861242          0.000184474         -1.38761e-05          3.45719e-05         -0.000185741           0.00116934          -0.00841042 
                 3.8              29.6064          -0.00856742          0.000181282         -8.34279e-06          1.04504e-05         -6.33647e-05           0.00046796          -0.00396056 
                   4              30.4015          -0.00852164          0.000180415         -1.11409e-05          2.11009e-05         -0.000108057          0.000665795          -0.00475302 
