                  dY                  C~1              C~2/C~1              C~3/C~1              C~4/C~1              C~5/C~1              C~6/C~1              C~7/C~1              C~8/C~1 
                 0.2              2.52925          -0.00217737          1.28101e-05         -2.02827e-06          1.10191e-05          -7.3433e-05          0.000556237          -0.00472751 
                 0.4              5.04552          -0.00417318          4.59199e-05         -9.65212e-07         -3.73995e-06          4.02872e-05          -0.00036944           0.00346771 
                 0.6              7.53602          -0.00586214          8.96628e-05         -2.45488e-06         -1.32696e-07          5.74574e-06         -6.53263e-05          0.000688652 
                 0.8              9.98823          -0.00720165          0.000135039         -5.54653e-06          2.73322e-06          1.97232e-06         -0.000102461           0.00135903 
                   1              12.3901          -0.00821383          0.000173735         -6.51325e-06          9.76583e-07         -2.09844e-07         -9.30579e-06          8.10517e-05 
                 1.2              14.7304          -0.00895779          0.000205256         -8.93391e-06          3.93744e-06          -1.7155e-05          0.000120581          -0.00107322 
                 1.4              16.9984          -0.00949549          0.000229168          -1.4772e-05          3.16323e-05         -0.000192994           0.00136183           -0.0108592 
                 1.6              19.1847          -0.00988176           0.00024554         -1.24683e-05           1.5012e-05         -9.66188e-05           0.00072389          -0.00605075 
                 1.8              21.2807           -0.0101561           0.00025697         -1.13859e-05          8.35501e-06         -6.58344e-05           0.00055917          -0.00505054 
                   2              23.2792           -0.0103482          0.000265834          -1.1448e-05         -3.26471e-06          4.38331e-05          -0.00040717           0.00384861 
                 2.2              25.1747           -0.0104769          0.000271733         -1.45662e-05          1.28899e-05         -6.36711e-05          0.000411676          -0.00316743 
                 2.4               26.963           -0.0105559          0.000272669         -6.93171e-06         -2.34209e-05          0.000141954         -0.000956613           0.00729114 
                 2.6              28.6423           -0.0105973          0.000273135         -5.18813e-06         -2.67123e-05          0.000138763         -0.000823653           0.00560117 
                 2.8              30.2123           -0.0106103          0.000275742         -1.44941e-05          1.39645e-05         -7.20965e-05          0.000447023          -0.00313449 
                   3              31.6748           -0.0105991          0.000273299         -7.21077e-06         -2.41611e-05          0.000156361          -0.00110958           0.00883033 
                 3.2              33.0332           -0.0105716           0.00027449         -1.92412e-05          3.77589e-05         -0.000215937           0.00147404           -0.0115339 
                 3.4              34.2918           -0.0105298          0.000270624         -1.30702e-05          8.34309e-06         -3.95138e-05          0.000228197          -0.00145554 
                 3.6              35.4554           -0.0104799           0.00026645           -6.126e-06         -2.49496e-05           0.00015317          -0.00106502           0.00843668 
                 3.8              36.5287           -0.0104257          0.000263697         -5.32458e-06         -2.72005e-05          0.000155311         -0.000990571           0.00712983 
                   4              37.5158           -0.0103694          0.000261983         -1.09394e-05          5.82421e-06          -5.2903e-05          0.000481328          -0.00452117 
                 4.2              38.4201           -0.0103137          0.000260173         -1.22175e-05          6.48878e-06         -2.91904e-05          0.000170054          -0.00113387 
                 4.4              39.2444            -0.010258          0.000254974         -2.79275e-06         -3.47845e-05          0.000193997          -0.00125102           0.00927132 
                 4.6               39.991           -0.0102073          0.000256163         -1.51334e-05          2.04946e-05         -0.000103191          0.000629472          -0.00443403 
                 4.8              40.6618           -0.0101579          0.000252529         -1.02578e-05          5.95153e-07         -1.39443e-06          9.51016e-06         -3.95335e-05 
                   5              41.2592           -0.0101127          0.000250885         -1.09818e-05          3.47074e-06          -1.6091e-05           0.00011134         -0.000913572 
                 5.2              41.7858           -0.0100702          0.000247606         -5.37503e-06         -2.21798e-05          0.000126983         -0.000822545           0.00607729 
                 5.4              42.2453            -0.010032          0.000246669           -8.008e-06         -1.02118e-05          6.69448e-05         -0.000485257           0.00400334 
                 5.6              42.6418          -0.00999749          0.000246612         -1.33976e-05          1.69997e-05         -9.68627e-05          0.000665359          -0.00521733 
                 5.8              42.9805          -0.00996599           0.00024546         -1.36667e-05          1.67402e-05          -8.5248e-05          0.000530543          -0.00383417 
                   6              43.2669           -0.0099375          0.000242148         -5.11938e-06         -2.22479e-05          0.000126392         -0.000807629           0.00586459 
