            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        5.09776        1.30969        0.98389       0.974433        0.92078       0.875205       0.680027       0.504791 
           0.4        10.2603        1.29942       0.969002        0.95082       0.849932        0.76532       0.415891       0.118208 
           0.6        15.5477        1.28684       0.956067       0.930164       0.790201       0.673338       0.209735      -0.168596 
           0.8        21.0114        1.27256       0.945316       0.912731       0.741795       0.598539      0.0536942      -0.377407 
             1        26.6903        1.25712       0.936544       0.898173       0.703077       0.537832     -0.0644165      -0.532098 
           1.2        32.6084        1.24102       0.929315       0.885817       0.671629       0.487365      -0.156379      -0.651897 
           1.4        38.7731        1.22467       0.923145       0.874946       0.645111        0.44369      -0.231269      -0.749557 
           1.6        45.1744        1.20849       0.917636        0.86497       0.621696       0.404256      -0.295146      -0.832462 
           1.8        51.7851         1.1928       0.912502       0.855484       0.600146       0.367419      -0.351688       -0.90452 
             2        58.5617        1.17787       0.907569       0.846244       0.579715       0.332245      -0.403001      -0.967705 
           2.2        65.4457         1.1639       0.902741       0.837132       0.559999       0.298282      -0.450243       -1.02303 
           2.4        72.3667        1.15103       0.897974        0.82811       0.540812       0.265375       -0.49403       -1.07107 
           2.6        79.2448        1.13933       0.893261       0.819192       0.522102       0.233553      -0.534669       -1.11215 
           2.8        85.9942        1.12883       0.888614       0.810424       0.503901       0.202952      -0.572281       -1.14655 
             3        92.5275        1.11955       0.884059       0.801878       0.486294       0.173769      -0.606889       -1.17452 
           3.2        98.7594        1.11147       0.879631        0.79363       0.469396       0.146225      -0.638473       -1.19641 
           3.4         104.61        1.10454       0.875371       0.785769       0.453337       0.120545      -0.667001       -1.21263 
           3.6        110.013        1.09874       0.871318       0.778376       0.438251      0.0969321      -0.692446       -1.22367 
           3.8        114.914        1.09399       0.867514       0.771527       0.424262      0.0755645      -0.714774       -1.22997 
             4        119.276        1.09025       0.863996       0.765294       0.411495      0.0566065      -0.733936       -1.23203 
           4.2        123.082        1.08747       0.860803       0.759747       0.400071      0.0402109      -0.749936       -1.23049 
           4.4        126.324         1.0856       0.857974       0.754951       0.390098      0.0264697      -0.762933       -1.22625 
           4.6        129.009        1.08458        0.85554        0.75094       0.381625      0.0153168      -0.773275       -1.22053 
           4.8        131.159        1.08424       0.853516       0.747699       0.374645     0.00652703      -0.781393        -1.2146 
             5        132.815         1.0844       0.851898        0.74518       0.369102   -0.000192157      -0.787678       -1.20939 
           5.2        134.036        1.08486       0.850668       0.743309       0.364888    -0.00515184      -0.792444       -1.20542 
           5.4        134.893        1.08545       0.849782       0.741989       0.361849    -0.00865871      -0.795943       -1.20274 
           5.6        135.462        1.08604       0.849185       0.741113       0.359786     -0.0110096      -0.798397       -1.20117 
           5.8        135.819        1.08654       0.848809       0.740572        0.35848     -0.0124873      -0.800022       -1.20038 
             6        136.028        1.08692       0.848592       0.740263       0.357714     -0.0133492      -0.801028       -1.20006 
           6.2        136.141        1.08717       0.848475       0.740102       0.357301     -0.0138113      -0.801605       -1.19999 
           6.4        136.199        1.08733       0.848419       0.740025       0.357097     -0.0140374       -0.80191           -1.2 
           6.6        136.225        1.08741       0.848394       0.739993       0.357005     -0.0141377      -0.802057       -1.20003 
           6.8        136.236        1.08745       0.848383        0.73998       0.356967     -0.0141777      -0.802121       -1.20005 
             7        136.241        1.08747        0.84838       0.739976       0.356953      -0.014192      -0.802146       -1.20007 
           7.2        136.242        1.08748       0.848378       0.739975       0.356949     -0.0141965      -0.802155       -1.20007 
           7.4        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141977      -0.802157       -1.20007 
           7.6        136.243        1.08748       0.848378       0.739974       0.356947      -0.014198      -0.802158       -1.20007 
           7.8        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
             8        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
           8.2        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
           8.4        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
           8.6        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
           8.8        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
             9        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
           9.2        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
           9.4        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
           9.6        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
           9.8        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
            10        136.243        1.08748       0.848378       0.739974       0.356947     -0.0141981      -0.802158       -1.20007 
