            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        2.06854        10.4117       0.964911       0.962163       0.830158       0.817102       0.339493       0.290936 
           0.4        4.18106        10.2434       0.933771       0.928432       0.688806       0.664559      -0.125834      -0.205974 
           0.6        6.38194         10.019       0.908561       0.900702       0.580765       0.546386      -0.426392      -0.528788 
           0.8        8.71638          9.746        0.88956       0.879228       0.502996       0.459074       -0.61227      -0.732375 
             1        11.2303        9.43145       0.875883       0.863144       0.448751       0.395779      -0.727613      -0.862973 
           1.2        13.9705        9.08231       0.866194       0.851186       0.411042       0.349639      -0.802197      -0.950916 
           1.4        16.9841        8.70657       0.859253       0.842176        0.38426       0.315232      -0.853547        -1.0137 
           1.6        20.3175        8.31288       0.854123       0.835205       0.364482       0.288755      -0.891401       -1.06093 
           1.8        24.0158        7.90979       0.850143       0.829637       0.349101       0.267677      -0.921205       -1.09795 
             2        28.1219        7.50537       0.846879       0.825036       0.336434       0.250329      -0.946174       -1.12795 
           2.2        32.6744        7.10676       0.844038       0.821109       0.325388       0.235588      -0.968256        -1.1529 
           2.4         37.707        6.71979       0.841438       0.817649       0.315245       0.222677      -0.988684       -1.17416 
           2.6        43.2462        6.34901       0.838947       0.814506        0.30554       0.211042       -1.00819       -1.19259 
           2.8        49.3109        5.99764       0.836481       0.811571       0.295981        0.20029       -1.02714       -1.20878 
             3        55.9102         5.6678       0.834001       0.808767       0.286414       0.190138       -1.04566       -1.22309 
           3.2        63.0447        5.36053       0.831486       0.806038       0.276789       0.180398       -1.06363       -1.23571 
           3.4        70.7058        5.07608       0.828932       0.803346       0.267116       0.170946       -1.08092       -1.24674 
           3.6        78.8764        4.81408       0.826351       0.800665       0.257439       0.161694       -1.09742       -1.25629 
           3.8        87.5334        4.57362       0.823745       0.797978       0.247801       0.152582       -1.11297       -1.26442 
             4        96.6469        4.35355       0.821139       0.795268       0.238254       0.143558       -1.12751       -1.27122 
           4.2        106.183        4.15247       0.818536       0.792526       0.228845       0.134584       -1.14096       -1.27676 
           4.4        116.105        3.96885        0.81595       0.789745       0.219615       0.125635       -1.15323        -1.2811 
           4.6        126.377        3.80114       0.813392       0.786918       0.210609       0.116695        -1.1643        -1.2843 
           4.8         136.96         3.6478       0.810876       0.784045        0.20186       0.107752       -1.17415       -1.28643 
             5        147.819        3.50733       0.808406       0.781126       0.193392      0.0987975       -1.18281       -1.28757 
           5.2        158.923        3.37833       0.805986       0.778158       0.185204      0.0898202       -1.19038        -1.2878 
           5.4         170.24        3.25953       0.803612       0.775137       0.177277      0.0808015       -1.19695       -1.28721 
           5.6        181.743        3.14978       0.801272       0.772056       0.169552       0.071713        -1.2027       -1.28586 
           5.8        193.402        3.04812       0.798944       0.768904       0.161945      0.0625142       -1.20781       -1.28379 
             6        205.186        2.95376       0.796598       0.765662       0.154333      0.0531551       -1.21247       -1.28099 
           6.2        217.052        2.86608       0.794185       0.762307       0.146562      0.0435796       -1.21687       -1.27738 
           6.4        228.945        2.78467        0.79165       0.758812       0.138465      0.0337392       -1.22109       -1.27276 
           6.6        240.793        2.70927       0.788944       0.755156       0.129887      0.0236157       -1.22508       -1.26685 
           6.8        252.501        2.63974       0.786019       0.751325        0.12073      0.0132417       -1.22864       -1.25925 
             7        263.959        2.57604       0.782848       0.747323        0.11097     0.00270655       -1.23146       -1.24967 
           7.2        275.037         2.5182       0.779435       0.743177       0.100668    -0.00784664       -1.23322       -1.23784 
           7.4        285.598        2.46623       0.775808       0.738937      0.0899672     -0.0182267        -1.2336       -1.22362 
           7.6        295.504        2.42012       0.772025       0.734673      0.0790835     -0.0282048       -1.23228       -1.20708 
           7.8        304.627        2.37984       0.768172        0.73048      0.0682975     -0.0375361       -1.22914        -1.1886 
             8        312.859        2.34528       0.764357       0.726461      0.0579223     -0.0459892       -1.22426       -1.16887 
           8.2        320.121        2.31627       0.760701       0.722729      0.0482669     -0.0533789       -1.21798        -1.1488 
           8.4        326.371        2.29257       0.757318       0.719385      0.0395891      -0.059589       -1.21089       -1.12944 
           8.6        331.598        2.27386       0.754302       0.716498      0.0320391     -0.0646333       -1.20374       -1.11179 
           8.8        335.828        2.25963       0.751714       0.714089      0.0256699     -0.0686477        -1.1972        -1.0967 
             9        339.126        2.24926       0.749583       0.712146      0.0204702     -0.0718056       -1.19173        -1.0846 
           9.2        341.593        2.24207       0.747905       0.710634      0.0163849     -0.0742622       -1.18746       -1.07546 
           9.4        343.355        2.23735       0.746649       0.709504       0.013321     -0.0761331       -1.18432       -1.06893 
           9.6         344.55        2.23445       0.745764         0.7087      0.0111479     -0.0775058       -1.18217       -1.06452 
           9.8        345.318        2.23277        0.74518        0.70816     0.00970223     -0.0784613       -1.18078       -1.06171 
            10        345.781        2.23189        0.74482       0.707822       0.008806     -0.0790848       -1.17996       -1.06004 
          10.2        346.042        2.23146       0.744616       0.707625     0.00829039      -0.079463       -1.17952       -1.05913 
          10.4        346.179        2.23128        0.74451        0.70752     0.00801678     -0.0796748        -1.1793       -1.05867 
          10.6        346.246        2.23122       0.744458       0.707467     0.00788325     -0.0797837       -1.17921       -1.05846 
          10.8        346.275         2.2312       0.744436       0.707444     0.00782336     -0.0798349       -1.17917       -1.05837 
            11        346.288        2.23119       0.744427       0.707434     0.00779924     -0.0798567       -1.17916       -1.05834 
          11.2        346.292        2.23119       0.744423       0.707431     0.00779047     -0.0798651       -1.17916       -1.05833 
          11.4        346.294        2.23119       0.744422        0.70743     0.00778777      -0.079868       -1.17916       -1.05833 
          11.6        346.294        2.23119       0.744422       0.707429     0.00778686     -0.0798689       -1.17916       -1.05833 
          11.8        346.295        2.23119       0.744422       0.707429      0.0077867     -0.0798691       -1.17916       -1.05833 
            12        346.295        2.23119       0.744422       0.707429     0.00778638     -0.0798692       -1.17916       -1.05833 
          12.2        346.295        2.23119       0.744422       0.707429     0.00778637     -0.0798691       -1.17916       -1.05833 
          12.4        346.295        2.23119       0.744422       0.707429     0.00778637     -0.0798692       -1.17916       -1.05833 
          12.6        346.295        2.23119       0.744422       0.707429     0.00778637     -0.0798692       -1.17916       -1.05833 
          12.8        346.295        2.23119       0.744422       0.707429     0.00778637     -0.0798692       -1.17916       -1.05833 
            13        346.295        2.23119       0.744422       0.707429     0.00778637     -0.0798692       -1.17916       -1.05833 
          13.2        346.295        2.23119       0.744422       0.707429     0.00778637     -0.0798692       -1.17916       -1.05833 
          13.4        346.295        2.23119       0.744422       0.707429     0.00778637     -0.0798692       -1.17916       -1.05833 
          13.6        346.295        2.23119       0.744422       0.707429     0.00778637     -0.0798692       -1.17916       -1.05833 
          13.8        346.295        2.23119       0.744422       0.707429     0.00778637     -0.0798692       -1.17916       -1.05833 
            14        346.295        2.23119       0.744422       0.707429     0.00778637     -0.0798692       -1.17916       -1.05833 
