            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        4.49497        1.38825       0.984471       0.976362       0.923583       0.884468       0.690815       0.540075 
           0.4        9.03418         1.3788       0.970152       0.954599       0.855287       0.782776        0.43479       0.178449 
           0.6        13.6592        1.36738       0.957785       0.935715       0.797968       0.698118       0.235077     -0.0906603 
           0.8        18.4062        1.35445        0.94763       0.920021       0.752027       0.630167      0.0849615      -0.285833 
             1        23.3042        1.34037       0.939526       0.907238       0.716029        0.57625      -0.026848      -0.428607 
           1.2        28.3734        1.32546       0.933069       0.896764       0.687713       0.532845      -0.111679      -0.537072 
           1.4        33.6237        1.31004       0.927801       0.887931       0.664814       0.496684      -0.178554      -0.623807 
           1.6        39.0553         1.2944       0.923328       0.880177       0.645504        0.46525      -0.233735       -0.69657 
           1.8        44.6585        1.27882       0.919355       0.873091       0.628497       0.436829       -0.28122      -0.759824 
             2        50.4139        1.26358       0.915695       0.866408       0.612957       0.410348      -0.323446      -0.816071 
           2.2         56.294        1.24888       0.912227       0.859969       0.598376       0.385178      -0.361879      -0.866726 
           2.4        62.2637        1.23491       0.908882       0.853685       0.584451       0.360968      -0.397411       -0.91263 
           2.6        68.2815        1.22179       0.905618       0.847514       0.571007       0.337535      -0.430607      -0.954332 
           2.8        74.3001        1.20959       0.902416       0.841439       0.557942       0.314796      -0.461843      -0.992218 
             3        80.2679        1.19837       0.899266        0.83546       0.545202       0.292725      -0.491375       -1.02657 
           3.2          86.13        1.18815       0.896164       0.829586       0.532763       0.271339       -0.51937       -1.05758 
           3.4        91.8294        1.17895       0.893112       0.823836       0.520625       0.250693      -0.545907       -1.08532 
           3.6        97.3089        1.17076       0.890118        0.81824       0.508814       0.230878      -0.570976       -1.10979 
           3.8        102.513        1.16358       0.887197       0.812835       0.497389       0.212021      -0.594508       -1.13098 
             4         107.39        1.15739       0.884372       0.807669       0.486428       0.194268      -0.616409       -1.14895 
           4.2        111.897        1.15218       0.881667       0.802789       0.476016       0.177752      -0.636598       -1.16379 
           4.4            116         1.1479       0.879104       0.798238       0.466231       0.162586      -0.654992       -1.17565 
           4.6        119.677        1.14452       0.876705       0.794053       0.457147       0.148875      -0.671499       -1.18462 
           4.8        122.913        1.14199       0.874493       0.790273       0.448847       0.136727      -0.686011       -1.19085 
             5        125.707        1.14029       0.872491        0.78694       0.441418       0.126251      -0.698454       -1.19454 
           5.2        128.061        1.13939       0.870724        0.78409       0.434927       0.117496      -0.708877       -1.19618 
           5.4        129.987        1.13918        0.86921       0.781727       0.429407       0.110391      -0.717463        -1.1965 
           5.6         131.51        1.13949       0.867955       0.779832       0.424855       0.104773      -0.724422       -1.19626 
           5.8        132.666        1.14015       0.866958       0.778367       0.421241       0.100456      -0.729935       -1.19596 
             6        133.504        1.14096       0.866204       0.777283       0.418504      0.0972517      -0.734149       -1.19586 
           6.2        134.082        1.14177       0.865666       0.776522       0.416544      0.0949801      -0.737218       -1.19599 
           6.4        134.458        1.14249       0.865308       0.776021        0.41523      0.0934604      -0.739321       -1.19625 
           6.6        134.688        1.14305       0.865086       0.775713       0.414412      0.0925123      -0.740668       -1.19656 
           6.8         134.82        1.14344        0.86496       0.775541       0.413943      0.0919664      -0.741467       -1.19682 
             7        134.889         1.1437       0.864894       0.775452       0.413696      0.0916788      -0.741904       -1.19702 
           7.2        134.923        1.14384       0.864863        0.77541       0.413577      0.0915411      -0.742123       -1.19714 
           7.4        134.938        1.14392       0.864849       0.775393       0.413525      0.0914816      -0.742222       -1.19721 
           7.6        134.944        1.14396       0.864844       0.775386       0.413505      0.0914585      -0.742263       -1.19724 
           7.8        134.947        1.14397       0.864842       0.775384       0.413497      0.0914505      -0.742278       -1.19725 
             8        134.947        1.14398       0.864842       0.775383       0.413495      0.0914481      -0.742283       -1.19726 
           8.2        134.948        1.14398       0.864841       0.775383       0.413495      0.0914474      -0.742285       -1.19726 
           8.4        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
           8.6        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
           8.8        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
             9        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
           9.2        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
           9.4        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
           9.6        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
           9.8        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
            10        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
          10.2        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
          10.4        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
          10.6        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
          10.8        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
            11        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
          11.2        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
          11.4        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
          11.6        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
          11.8        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
            12        134.948        1.14398       0.864841       0.775383       0.413494      0.0914472      -0.742285       -1.19726 
