                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2               5.8378              2.03598             0.969714             0.961495             0.852981             0.814597             0.424166             0.287819 
                 0.4              11.7723               2.0105             0.942516             0.926959             0.728445             0.660302           0.00394794            -0.198751 
                 0.6              17.8981              1.97886              0.92001             0.898113             0.630668             0.539878            -0.280539            -0.508021 
                 0.8              24.3046              1.94227             0.902486             0.875157              0.55768              0.44914            -0.466742            -0.700404 
                   1              31.0736              1.90175             0.889249             0.857198             0.504171             0.380853             -0.59022            -0.824367 
                 1.2              38.2754              1.85823             0.879195             0.842911             0.464274             0.327867            -0.676479            -0.910399 
                 1.4              45.9649              1.81271             0.871257             0.831034             0.433115             0.284574            -0.741139            -0.974906 
                 1.6              54.1789              1.76619             0.864596             0.820588             0.407221              0.24711            -0.792964             -1.02589 
                 1.8              62.9325               1.7197             0.858642             0.810895             0.384348             0.213027            -0.836644             -1.06699 
                   2              72.2181              1.67411             0.853036             0.801529             0.363143              0.18088            -0.874573             -1.09972 
                 2.2              82.0054              1.63019              0.84757             0.792242             0.342858             0.149892            -0.907891             -1.12461 
                 2.4              92.2431              1.58849             0.842137             0.782911             0.323127              0.11972            -0.937064              -1.1418 
                 2.6              102.861              1.54941             0.836698             0.773498             0.303828            0.0902942            -0.962246             -1.15139 
                 2.8              113.775              1.51317             0.831257             0.764028             0.284985            0.0617033            -0.983498             -1.15366 
                   3               124.89              1.47985             0.825845             0.754557             0.266698            0.0341091             -1.00094             -1.14918 
                 3.2              136.105              1.44942             0.820507             0.745166             0.249086           0.00767984             -1.01484             -1.13886 
                 3.4              147.318               1.4218             0.815291             0.735934             0.232256           -0.0174547             -1.02561              -1.1238 
                 3.6              158.426              1.39682             0.810237             0.726937             0.216275           -0.0412225             -1.03376             -1.10521 
                 3.8               169.33              1.37431             0.805376             0.718233              0.20117            -0.063604             -1.03983             -1.08417 
                   4              179.937              1.35409             0.800726             0.709866             0.186928           -0.0846228             -1.04434             -1.06159 
                 4.2              190.158              1.33598             0.796292             0.701861             0.173503            -0.104328              -1.0477             -1.03812 
                 4.4               199.91              1.31981             0.792073             0.694233             0.160834            -0.122779             -1.05026              -1.0142 
                 4.6              209.114              1.30546             0.788054             0.686985             0.148848            -0.140024              -1.0522            -0.989992 
                 4.8                217.7               1.2928             0.784222             0.680117             0.137491            -0.156077             -1.05357            -0.965468 
                   5              225.609               1.2817             0.780564             0.673637             0.126744            -0.170896             -1.05424            -0.940489 
                 5.2              232.791              1.27208              0.77708             0.667562              0.11664            -0.184379             -1.05399             -0.91502 
