                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              7.36738               2.0185             0.963535             0.953587             0.824013             0.778181             0.320241             0.163214 
                 0.4              14.8541              1.99091             0.930717             0.911953             0.676412             0.596481            -0.154104            -0.372474 
                 0.6              22.5764              1.95769             0.903375             0.877026             0.561128             0.456314            -0.459987            -0.686564 
                 0.8              30.6443               1.9201             0.881872             0.849023             0.475166             0.351496            -0.650284            -0.863677 
                   1              39.1578               1.8791             0.865456             0.826942             0.412056             0.272978            -0.770602            -0.966065 
                 1.2              48.2028              1.83555             0.852888             0.809276             0.364937             0.212285            -0.851462             -1.03002 
                 1.4              57.8464              1.79031             0.842931             0.794571             0.328188              0.16296              -0.9103             -1.07333 
                 1.6              68.1335              1.74426             0.834597             0.781674             0.297815             0.120632            -0.956128             -1.10354 
                 1.8              79.0833              1.69831             0.827197             0.769779             0.271229            0.0825637            -0.993348             -1.12341 
                   2              90.6885              1.65327             0.820282             0.758365             0.246866            0.0471475             -1.02402             -1.13373 
                 2.2              102.914              1.60982             0.813592             0.747122             0.223838             0.013511             -1.04905             -1.13463 
                 2.4              115.702               1.5685             0.806984             0.735892             0.201699           -0.0187496             -1.06883             -1.12617 
                 2.6               128.97              1.52967             0.800399             0.724614             0.180267           -0.0497532             -1.08357             -1.10862 
                 2.8              142.621              1.49355             0.793827             0.713298             0.159521           -0.0794599             -1.09347             -1.08261 
                   3              156.544              1.46023             0.787291             0.701995             0.139518            -0.107766             -1.09886             -1.04917 
                 3.2              170.622              1.42969             0.780832             0.690778             0.120339            -0.134573             -1.10028             -1.00968 
                 3.4              184.735              1.40184             0.774492             0.679724             0.102046            -0.159829             -1.09835            -0.965661 
                 3.6              198.766              1.37653             0.768309             0.668902             0.084667            -0.183533              -1.0938            -0.918558 
                 3.8              212.605              1.35358             0.762308             0.658362            0.0681862            -0.205738             -1.08728            -0.869584 
                   4              226.149              1.33282             0.756492             0.648127            0.0525311            -0.226548             -1.07937            -0.819621 
                 4.2              239.297              1.31405             0.750843             0.638191            0.0375793            -0.246082             -1.07046            -0.769053 
                 4.4              251.952              1.29712             0.745321             0.628537            0.0232197            -0.264383              -1.0606            -0.717892 
                 4.6               264.01               1.2819             0.739902             0.619168           0.00941012            -0.281409             -1.04979            -0.666343 
                 4.8              275.367               1.2683             0.734585             0.610118          -0.00383062             -0.29709             -1.03807            -0.614724 
                   5              285.933              1.25623             0.729393             0.601443           -0.0164326             -0.31132             -1.02542            -0.563314 
                 5.2              295.638               1.2456             0.724357             0.593205           -0.0283014            -0.323995             -1.01185            -0.512546 
                 5.4              304.434              1.23632             0.719509             0.585464            -0.039335            -0.335006            -0.997343            -0.463026 
                 5.6              312.293              1.22832             0.714892             0.578294           -0.0494054            -0.344245            -0.982056            -0.415786 
                 5.8                319.2              1.22154             0.710573             0.571792           -0.0583654            -0.351661            -0.966418             -0.37215 
                   6              325.136              1.21594             0.706615             0.566022           -0.0661896            -0.357438            -0.951213            -0.333328 
                 6.2              330.081              1.21145              0.70307             0.561006           -0.0729367            -0.361893            -0.937197            -0.300055 
                 6.4              334.047              1.20797             0.699992             0.556765           -0.0786282            -0.365273            -0.924812            -0.272479 
                 6.6              337.092              1.20538             0.697432             0.553314           -0.0832428            -0.367737            -0.914282            -0.250429 
                 6.8              339.314              1.20356             0.695421             0.550653             -0.08678            -0.369428            -0.905764            -0.233626 
                   7              340.847              1.20235             0.693945              0.54873           -0.0893158            -0.370518            -0.899327            -0.221606 
                 7.2              341.841               1.2016             0.692943             0.547438            -0.091007            -0.371185            -0.894852            -0.213612 
                 7.4              342.445              1.20117             0.692318             0.546636           -0.0920535            -0.371578            -0.892016            -0.208694 
                 7.6              342.785              1.20095              0.69196             0.546179           -0.0926527            -0.371802            -0.890386            -0.205902 
                 7.8              342.963              1.20084             0.691773              0.54594           -0.0929688            -0.371925            -0.889538            -0.204445 
                   8              343.048               1.2008             0.691684             0.545826           -0.0931219            -0.371988            -0.889139            -0.203751 
                 8.2              343.086              1.20079             0.691645             0.545777           -0.0931895            -0.372019             -0.88897             -0.20345 
                 8.4              343.101              1.20078             0.691631             0.545758           -0.0932165            -0.372032            -0.888906            -0.203333 
                 8.6              343.106              1.20078             0.691626             0.545751           -0.0932262            -0.372037            -0.888884            -0.203292 
                 8.8              343.108              1.20078             0.691624             0.545749           -0.0932293            -0.372039            -0.888878            -0.203279 
                   9              343.108              1.20078             0.691624             0.545749           -0.0932302            -0.372039            -0.888876            -0.203276 
                 9.2              343.108              1.20078             0.691624             0.545748           -0.0932304            -0.372039            -0.888876            -0.203275 
                 9.4              343.108              1.20078             0.691624             0.545748           -0.0932305            -0.372039            -0.888876            -0.203275 
