                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              5.47252              2.78117             0.964238             0.958406             0.827099             0.800085             0.329364             0.235436 
                 0.4              11.0199              2.74645             0.932123             0.921118              0.68186             0.634442              -0.1442            -0.278493 
                 0.6              16.7165              2.70413             0.905523             0.890023             0.568648               0.5059            -0.452878            -0.597818 
                 0.8              22.6353              2.65549             0.884826             0.865422             0.484856             0.410029            -0.646268            -0.789908 
                   1              28.8464              2.60142             0.869329             0.846469             0.424342             0.339282            -0.768289            -0.907977 
                 1.2              35.4159              2.54269             0.857839             0.831848             0.380476             0.286211            -0.849023            -0.985369 
                 1.4              42.4032              2.48016              0.84916              0.82027             0.347749             0.244919            -0.906271             -1.04019 
                 1.6              49.8588              2.41484              0.84233             0.810704             0.322161             0.211241            -0.949848             -1.08156 
                 1.8              57.8213              2.34789             0.836656             0.802403             0.301008             0.182402            -0.985105               -1.114 
                   2              66.3149              2.28048             0.831665             0.794856             0.282533             0.156602             -1.01498             -1.13977 
                 2.2              75.3477               2.2137              0.82705             0.787722             0.265619             0.132695             -1.04104             -1.15999 
                 2.4                84.91              2.14853             0.822618             0.780783             0.249595             0.109978             -1.06411             -1.17512 
                 2.6               94.975              2.08577             0.818253             0.773907             0.234077            0.0880448             -1.08453             -1.18537 
                 2.8              105.499              2.02603               0.8139             0.767019              0.21888            0.0666921             -1.10242             -1.19081 
                   3              116.427              1.96973             0.809535              0.76009             0.203944            0.0458455             -1.11778             -1.19155 
                 3.2              127.688              1.91713             0.805158             0.753122             0.189288            0.0255116             -1.13062             -1.18778 
                 3.4               139.21              1.86832             0.800794             0.746134             0.174972           0.00574042             -1.14096             -1.17983 
                 3.6              150.911              1.82328             0.796465              0.73916             0.161078           -0.0134007              -1.1489             -1.16816 
                 3.8              162.715              1.78187             0.792206              0.73224             0.147689           -0.0318483             -1.15463             -1.15333 
                   4              174.545              1.74388             0.788046             0.725412             0.134873           -0.0495587             -1.15839             -1.13599 
