                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              10.1696              1.01087             0.967981             0.937762             0.845561             0.705212              0.40415            -0.087406 
                 0.4              20.3697              1.00045             0.938546             0.881338             0.713442             0.466133           -0.0187468            -0.728808 
                 0.6              30.6205             0.991002             0.912963             0.832876              0.60607              0.28169             -0.30097             -1.05811 
                 0.8              40.9214             0.982765             0.891547             0.792644               0.5212             0.142369            -0.485069             -1.20416 
                   1              51.2431             0.975691             0.873841             0.759517             0.454106            0.0359828            -0.607819             -1.25663 
                 1.2              61.5226             0.969592             0.859007             0.731781             0.399744           -0.0481186            -0.694017             -1.26407 
                 1.4              71.6625              0.96425             0.846194             0.707826             0.354052            -0.117381            -0.757631             -1.24741 
                 1.6              81.5365             0.959501              0.83476             0.686488              0.31433            -0.176243             -0.80567             -1.21429 
                 1.8              90.9985             0.955257              0.82432             0.667099             0.279053            -0.227071            -0.841696             -1.16819 
                   2              99.8962             0.951493             0.814706              0.64937             0.247482            -0.271078            -0.867945             -1.11227 
                 2.2              108.088             0.948215             0.805883             0.633244             0.219307             -0.30894            -0.886212             -1.05003 
                 2.4              115.458             0.945441             0.797879             0.618764             0.194425             -0.34108            -0.897993            -0.984792 
                 2.6              121.936             0.943185             0.790745             0.606014             0.172818            -0.367771             -0.90448             -0.91939 
                 2.8               127.49             0.941456             0.784519              0.59506             0.154467            -0.389274            -0.906777            -0.856647 
                   3              132.112             0.940226             0.779208             0.585882             0.139217            -0.406144            -0.906276            -0.799649 
                 3.2              135.823             0.939427             0.774799             0.578404             0.126843            -0.419084             -0.90433            -0.750804 
                 3.4              138.681             0.938981             0.771269             0.572526             0.117116            -0.428753            -0.901919              -0.7112 
                 3.6               140.78             0.938799             0.768573             0.568114             0.109786            -0.435721            -0.899629            -0.680823 
                 3.8              142.243             0.938797             0.766633             0.564988             0.104553            -0.440504            -0.897768            -0.658938 
                   4              143.202             0.938896              0.76533             0.562924             0.101054            -0.443597            -0.896453            -0.644302 
                 4.2              143.793             0.939031             0.764521             0.561665            0.0988812            -0.445467            -0.895656            -0.635322 
                 4.4              144.132             0.939159             0.764062             0.560962             0.097637            -0.446514            -0.895251             -0.63032 
                 4.6              144.312              0.93926             0.763823             0.560607            0.0969846            -0.447053            -0.895087             -0.62781 
                 4.8                144.4             0.939327             0.763711             0.560444            0.0966729            -0.447306            -0.895041            -0.626684 
                   5               144.44             0.939366             0.763664             0.560378             0.096538            -0.447413            -0.895039            -0.626236 
                 5.2              144.456             0.939386             0.763646             0.560354            0.0964853            -0.447453            -0.895045            -0.626079 
                 5.4              144.461             0.939395              0.76364             0.560346             0.096467            -0.447466             -0.89505            -0.626032 
                 5.6              144.463             0.939398             0.763638             0.560344            0.0964614             -0.44747            -0.895053            -0.626019 
                 5.8              144.464             0.939399             0.763637             0.560344            0.0964598            -0.447471            -0.895054            -0.626017 
                   6              144.464               0.9394             0.763637             0.560343            0.0964594            -0.447471            -0.895054            -0.626016 
                 6.2              144.464               0.9394             0.763637             0.560343            0.0964593            -0.447471            -0.895054            -0.626016 
                 6.4              144.464               0.9394             0.763637             0.560344            0.0964593            -0.447471            -0.895054            -0.626016 
                 6.6              144.464               0.9394             0.763637             0.560343            0.0964593            -0.447471            -0.895054            -0.626016 
                 6.8              144.464               0.9394             0.763637             0.560343            0.0964593            -0.447471            -0.895054            -0.626016 
                   7              144.464               0.9394             0.763637             0.560343            0.0964593            -0.447471            -0.895054            -0.626016 
                 7.2              144.464               0.9394             0.763637             0.560343            0.0964593            -0.447471            -0.895054            -0.626016 
                 7.4              144.464               0.9394             0.763637             0.560343            0.0964593            -0.447471            -0.895054            -0.626016 
                 7.6              144.464               0.9394             0.763637             0.560343            0.0964593            -0.447471            -0.895054            -0.626016 
                 7.8              144.464               0.9394             0.763637             0.560343            0.0964593            -0.447471            -0.895054            -0.626016 
                   8              144.464               0.9394             0.763637             0.560343            0.0964593            -0.447471            -0.895054            -0.626016 
