            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        23.7351       0.996253       0.924673       0.855168       0.654601       0.364921       -0.17828      -0.921718 
           0.4          47.53       0.971982        0.85745       0.730543       0.397766     -0.0407827      -0.668229       -1.17615 
           0.6        71.4192       0.950465       0.800833       0.629038       0.217062      -0.278635       -0.78772      -0.792587 
           0.8          95.39       0.932149       0.754826       0.548666      0.0921265      -0.412775      -0.751518      -0.296366 
             1        119.365       0.916797       0.717746       0.484893     0.00383015      -0.489935      -0.666828       0.139359 
           1.2        143.193       0.903822       0.687329       0.432935     -0.0616085      -0.536872       -0.57371       0.494419 
           1.4        166.652       0.892599       0.661541       0.389045      -0.112581      -0.566403       -0.48253       0.786285 
           1.6        189.457        0.88265       0.638923       0.350786      -0.153724      -0.584174      -0.394701        1.03008 
           1.8        211.282       0.873687       0.618594       0.316772       -0.18755      -0.592975       -0.31043        1.23396 
             2        231.774       0.865577       0.600107       0.286305      -0.215505      -0.594616      -0.230223        1.40291 
           2.2        250.579       0.858298       0.583318       0.259162      -0.238402       -0.59045      -0.154887        1.54011 
           2.4        267.406        0.85191       0.568308        0.23544      -0.256725      -0.581846     -0.0859539        1.64691 
           2.6        282.093       0.846482        0.55519       0.215239      -0.270997      -0.570361     -0.0248835        1.72582 
           2.8        294.606       0.842034       0.543982       0.198497      -0.281803      -0.557409      0.0274267        1.77975 
             3        304.967        0.83851        0.53459       0.184938      -0.289848      -0.544483      0.0703171         1.8124 
           3.2         313.26       0.835813       0.526896       0.174201      -0.295801      -0.532814       0.104005        1.82955 
           3.4        319.639       0.833838       0.520783       0.165935      -0.300167      -0.523049       0.129586        1.83717 
           3.6        324.327       0.832471       0.516127       0.159812      -0.303294      -0.515368       0.148396        1.83964 
           3.8        327.602       0.831594       0.512768       0.155504      -0.305449        -0.5097       0.161665        1.83964 
             4        329.763       0.831091       0.510498       0.152657      -0.306872      -0.505824       0.170524        1.83879 
           4.2        331.106       0.830839       0.509072       0.150906       -0.30777      -0.503396       0.176057        1.83795 
           4.4        331.886        0.83074       0.508247        0.14991      -0.308309      -0.502018       0.179264        1.83742 
           4.6        332.307       0.830718       0.507808       0.149391      -0.308616      -0.501315       0.180977        1.83719 
           4.8        332.518       0.830725       0.507595       0.149144      -0.308779      -0.500994       0.181814        1.83713 
             5        332.616       0.830738       0.507501       0.149038      -0.308859      -0.500864       0.182186        1.83714 
           5.2        332.657       0.830748       0.507463       0.148997      -0.308894      -0.500818       0.182335        1.83715 
           5.4        332.672       0.830754       0.507449       0.148983      -0.308909      -0.500803       0.182388        1.83716 
           5.6        332.677       0.830758       0.507446       0.148979      -0.308914      -0.500799       0.182405        1.83716 
           5.8        332.679       0.830759       0.507444       0.148978      -0.308916      -0.500799        0.18241        1.83716 
             6        332.679       0.830759       0.507444       0.148977      -0.308917      -0.500798       0.182411        1.83716 
           6.2         332.68       0.830759       0.507444       0.148977      -0.308917      -0.500798       0.182411        1.83717 
           6.4         332.68       0.830759       0.507444       0.148977      -0.308917      -0.500798       0.182411        1.83717 
           6.6         332.68       0.830759       0.507444       0.148977      -0.308917      -0.500798       0.182412        1.83717 
           6.8         332.68       0.830759       0.507444       0.148977      -0.308917      -0.500798       0.182412        1.83717 
             7         332.68       0.830759       0.507444       0.148977      -0.308917      -0.500798       0.182412        1.83717 
           7.2         332.68       0.830759       0.507444       0.148977      -0.308917      -0.500798       0.182412        1.83717 
           7.4         332.68       0.830759       0.507444       0.148977      -0.308917      -0.500798       0.182412        1.83717 
           7.6         332.68       0.830759       0.507444       0.148977      -0.308917      -0.500798       0.182412        1.83717 
           7.8         332.68       0.830759       0.507444       0.148977      -0.308917      -0.500798       0.182412        1.83717 
             8         332.68       0.830759       0.507444       0.148977      -0.308917      -0.500798       0.182412        1.83717 
