            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        7.38342        1.18791       0.975863       0.959031       0.882375       0.802771       0.534935       0.242972 
           0.4        14.8414        1.17707       0.953761       0.921741       0.779985       0.636394       0.178442      -0.278833 
           0.6        22.4409        1.16537       0.934778       0.889701       0.696003       0.503123     -0.0795019      -0.615019 
           0.8        30.2348        1.15327        0.91916       0.863123       0.629512       0.398884      -0.261918      -0.826951 
             1        38.2564        1.14107       0.906497       0.841226       0.577174        0.31677      -0.392743      -0.964456 
           1.2        46.5164        1.12893       0.896081       0.822821       0.535066       0.249996      -0.490432         -1.059 
           1.4        55.0021        1.11701         0.8872       0.806768       0.499833       0.193347      -0.566926       -1.12719 
           1.6        63.6777        1.10545       0.879305       0.792215       0.469081       0.143385      -0.629204       -1.17691 
           1.8        72.4872        1.09438        0.87203       0.778614       0.441304      0.0980726       -0.68121       -1.21196 
             2        81.3592        1.08393       0.865163       0.765662       0.415624      0.0562799      -0.725275       -1.23468 
           2.2        90.2104        1.07418       0.858592       0.753212       0.391555      0.0173905      -0.762941       -1.24698 
           2.4        98.9502        1.06521        0.85226       0.741199       0.368809     -0.0189708       -0.79539       -1.25065 
           2.6        107.482        1.05703        0.84613       0.729586       0.347173     -0.0530894      -0.823596       -1.24722 
           2.8        115.704        1.04967       0.840172       0.718344       0.326475     -0.0851888      -0.848304        -1.2378 
             3        123.506        1.04311       0.834368       0.707473        0.30663      -0.115322      -0.869811       -1.22272 
           3.2        130.782        1.03736       0.828747       0.697049        0.28775      -0.143231      -0.887908        -1.2019 
           3.4        137.439        1.03242       0.823384       0.687226        0.27009      -0.168535       -0.90243       -1.17607 
           3.6        143.413        1.02827       0.818358       0.678143        0.25387      -0.190977      -0.913486       -1.14649 
           3.8        148.669        1.02489       0.813724       0.669911       0.239252      -0.210367      -0.921216       -1.11435 
             4        153.185        1.02227       0.809534       0.662619       0.226358      -0.226623      -0.925965       -1.08125 
           4.2        156.947        1.02033       0.805835       0.656326       0.215255      -0.239886      -0.928423       -1.04941 
           4.4        159.965        1.01898       0.802679       0.651071       0.205987      -0.250405      -0.929365       -1.02086 
           4.6        162.285        1.01812       0.800105       0.646865       0.198557      -0.258468      -0.929437      -0.996915 
           4.8        163.982        1.01763       0.798117        0.64367       0.192895      -0.264387      -0.929102      -0.978153 
             5        165.158        1.01739       0.796679        0.64139       0.188833      -0.268508      -0.928672      -0.964478 
           5.2        165.927        1.01732       0.795711       0.639875       0.186113      -0.271207       -0.92832      -0.955289 
           5.4        166.398        1.01734        0.79511       0.638943       0.184422       -0.27286       -0.92811      -0.949638 
           5.6        166.667        1.01738       0.794767       0.638417       0.183452      -0.273801      -0.928021      -0.946479 
           5.8         166.81        1.01743       0.794587       0.638145        0.18294      -0.274295      -0.928005       -0.94488 
             6        166.881        1.01746       0.794502       0.638016       0.182693      -0.274534      -0.928017      -0.944151 
           6.2        166.912        1.01748       0.794464       0.637962       0.182584      -0.274639      -0.928033      -0.943853 
           6.4        166.925         1.0175        0.79445        0.63794       0.182541       -0.27468      -0.928044      -0.943745 
           6.6         166.93         1.0175       0.794445       0.637933       0.182525      -0.274695       -0.92805       -0.94371 
           6.8        166.932         1.0175       0.794443       0.637931        0.18252        -0.2747      -0.928053        -0.9437 
             7        166.932         1.0175       0.794443       0.637931       0.182519      -0.274702      -0.928054      -0.943698 
           7.2        166.932         1.0175       0.794442        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
           7.4        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
           7.6        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
           7.8        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
             8        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
           8.2        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
           8.4        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
           8.6        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
           8.8        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
             9        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
           9.2        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
           9.4        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
           9.6        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
           9.8        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
            10        166.932         1.0175       0.794443        0.63793       0.182518      -0.274702      -0.928054      -0.943697 
