            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        1.03831        10.6151       0.982029       0.980602       0.911609       0.904662       0.642917       0.615442 
           0.4        2.09867        10.4737        0.96596       0.963136       0.835062       0.821629       0.357092       0.306866 
           0.6        3.20338        10.2691       0.952853       0.948654       0.774404       0.754754       0.146472      0.0763999 
           0.8         4.3751        10.0085       0.942935       0.937368        0.72945       0.703796   -0.000550845     -0.0887144 
             1        5.63692        9.69946       0.935755       0.928881       0.697437       0.666067      -0.100857      -0.205721 
           1.2        7.01227        9.35054       0.930666        0.92256       0.674922       0.638229       -0.16968      -0.289773 
           1.4        8.52477        8.97103       0.927021       0.917797       0.658852       0.617352      -0.218266      -0.351914 
           1.6        10.1977         8.5708       0.924326       0.914115        0.64698       0.601252      -0.254124      -0.399489 
           1.8        12.0537        8.15928       0.922234       0.911176       0.637763       0.588423      -0.282053      -0.437215 
             2        14.1141         7.7453       0.920517        0.90875       0.630198       0.577853      -0.305105      -0.468146 
           2.2        16.3985        7.33649        0.91903       0.906682       0.623615       0.568858      -0.325242      -0.494308 
           2.4        18.9235        6.93912       0.917668       0.904861       0.617586       0.560958      -0.343741       -0.51709 
           2.6        21.7025        6.55803       0.916361       0.903207       0.611817       0.553814       -0.36142      -0.537474 
           2.8        24.7448        6.19666       0.915073       0.901664       0.606126       0.547176      -0.378774      -0.556149 
             3         28.055        5.85727       0.913778       0.900189       0.600417       0.540867      -0.396054      -0.573601 
           3.2        31.6332        5.54102       0.912464       0.898753       0.594649       0.534762       -0.41332      -0.590141 
           3.4        35.4749         5.2482       0.911127       0.897336       0.588822        0.52878      -0.430528      -0.605976 
           3.6        39.5715        4.97844       0.909782       0.895923       0.582957       0.522863        -0.4476       -0.62125 
           3.8        43.9111        4.73086       0.908421       0.894505       0.577082       0.516968      -0.464435      -0.636065 
             4         48.479        4.50424       0.907058       0.893075       0.571221       0.511065      -0.480948      -0.650511 
           4.2        53.2579        4.29719       0.905696       0.891624       0.565406       0.505128      -0.497061      -0.664654 
           4.4        58.2292        4.10815        0.90435       0.890151       0.559664        0.49914      -0.512694       -0.67854 
           4.6        63.3743        3.93551       0.903016       0.888653       0.554019       0.493091      -0.527774      -0.692205 
           4.8        68.6745        3.77767       0.901696       0.887128       0.548492       0.486976      -0.542251      -0.705673 
             5        74.1117        3.63311       0.900408       0.885576       0.543101       0.480791      -0.556097       -0.71897 
           5.2        79.6693         3.5004       0.899146       0.883996       0.537851       0.474532      -0.569325      -0.732125 
           5.4        85.3324        3.37819       0.897905       0.882387        0.53273        0.46819      -0.581984      -0.745176 
           5.6        91.0864        3.26534       0.896684       0.880743        0.52771       0.461748      -0.594181      -0.758173 
           5.8        96.9162        3.16086       0.895472       0.879061       0.522741        0.45518      -0.606075      -0.771179 
             6        102.805        3.06392       0.894246       0.877331       0.517748       0.448453      -0.617872      -0.784261 
           6.2        108.732        2.97392       0.892989       0.875538       0.512638       0.441522      -0.629821      -0.797482 
           6.4        114.669        2.89043       0.891672       0.873672       0.507301        0.43434      -0.642176      -0.810876 
           6.6         120.58        2.81318       0.890268       0.871719       0.501629       0.426871      -0.655152      -0.824416 
           6.8        126.416        2.74207       0.888755        0.86967        0.49554       0.419099      -0.668856      -0.837976 
             7        132.124        2.67702       0.887112       0.867523       0.488984       0.411047      -0.683264      -0.851352 
           7.2        137.639        2.61808       0.885343       0.865289       0.481976       0.402778      -0.698227      -0.864265 
           7.4        142.894        2.56523       0.883461       0.862993       0.474587       0.394402      -0.713476      -0.876396 
           7.6        147.821        2.51847       0.881491        0.86067       0.466942       0.386068      -0.728641      -0.887408 
           7.8        152.356        2.47774       0.879484       0.858369        0.45922        0.37796      -0.743297      -0.896997 
             8        156.447        2.44288       0.877485       0.856146       0.451637       0.370279      -0.757004      -0.904947 
           8.2        160.056        2.41372       0.875564       0.854063       0.444425       0.363227      -0.769388      -0.911166 
           8.4        163.162        2.38998       0.873779        0.85218       0.437804       0.356982      -0.780196      -0.915709 
           8.6        165.759        2.37131       0.872182       0.850539       0.431936       0.351643       -0.78937      -0.918842 
           8.8        167.862        2.35716       0.870807       0.849161       0.426917       0.347222      -0.796982      -0.920985 
             9        169.502        2.34691        0.86967       0.848042       0.422783       0.343665      -0.803156      -0.922531 
           9.2        170.728        2.33985       0.868774        0.84717       0.419523       0.340891      -0.808014      -0.923751 
           9.4        171.605        2.33525       0.868101       0.846516       0.417077       0.338808      -0.811676      -0.924765 
           9.6        172.201        2.33244       0.867627       0.846052       0.415344       0.337314      -0.814296      -0.925601 
           9.8        172.583        2.33085       0.867312        0.84574       0.414194       0.336303      -0.816055      -0.926251 
            10        172.813        2.33002       0.867117       0.845546       0.413485       0.335664      -0.817159      -0.926724 
          10.2        172.944        2.32963       0.867006       0.845434       0.413079       0.335288      -0.817802      -0.927038 
          10.4        173.012        2.32947       0.866951       0.845373       0.412866       0.335084       -0.81815      -0.927229 
          10.6        173.045        2.32942       0.866923       0.845343       0.412763       0.334982      -0.818321      -0.927336 
          10.8         173.06         2.3294        0.86691        0.84533       0.412717       0.334936      -0.818399      -0.927389 
            11        173.066         2.3294       0.866905       0.845324       0.412699       0.334917      -0.818432      -0.927413 
          11.2        173.069         2.3294       0.866903       0.845322       0.412691        0.33491      -0.818444      -0.927423 
          11.4        173.069         2.3294       0.866903       0.845322        0.41269       0.334907      -0.818448      -0.927426 
          11.6        173.069         2.3294       0.866903       0.845321        0.41269       0.334907      -0.818449      -0.927428 
          11.8         173.07         2.3294       0.866902       0.845321       0.412689       0.334906      -0.818449      -0.927428 
