            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        2.24548        1.40518       0.992142       0.988094       0.961019       0.941146       0.839321       0.759336 
           0.4        4.51274        1.39816       0.984866       0.977054       0.925497       0.887774        0.69825       0.552528 
           0.6         6.8222        1.38877       0.978562       0.967413       0.895151       0.842103        0.58183       0.384295 
           0.8        9.19162        1.37741       0.973376       0.959364       0.870469         0.8046       0.489883          0.252 
             1        11.6352        1.36449       0.969231       0.952789       0.850923       0.774351       0.418698       0.148766 
           1.2        14.1626        1.35041       0.965929       0.947397        0.83545       0.749756       0.363229      0.0667213 
           1.4        16.7786        1.33556        0.96324       0.942857       0.822899       0.729162       0.318722    -0.00093415 
           1.6        19.4831        1.32033        0.96096       0.938879       0.812301       0.711197       0.281479     -0.0591928 
           1.8        22.2708        1.30506       0.958944       0.935251       0.802956       0.694895       0.248945      -0.111351 
             2        25.1322        1.29006       0.957091       0.931835       0.794403       0.679628       0.219485      -0.159436 
           2.2        28.0535        1.27559       0.955339       0.928547       0.786356       0.665024       0.192098      -0.204635 
           2.4        31.0171        1.26183       0.953652        0.92534       0.778645       0.650872       0.166182      -0.247623 
           2.6        34.0025        1.24893        0.95201       0.922191       0.771171       0.637065       0.141376      -0.288769 
           2.8        36.9864        1.23696         0.9504       0.919091        0.76388       0.623555       0.117461      -0.328271 
             3        39.9432        1.22599       0.948818       0.916038        0.75674       0.610335      0.0943073      -0.366213 
           3.2        42.8459        1.21605        0.94726       0.913037        0.74974        0.59742      0.0718467      -0.402605 
           3.4        45.6665        1.20713       0.945729       0.910099       0.742881       0.584848      0.0500627      -0.437383 
           3.6        48.3769        1.19926       0.944228       0.907238       0.736181       0.572676      0.0289902       -0.47042 
           3.8        50.9498         1.1924       0.942764       0.904471       0.729669       0.560983     0.00871499      -0.501535 
             4        53.3605        1.18656       0.941347       0.901824        0.72339       0.549862     -0.0106402      -0.530528 
           4.2        55.5878        1.18169       0.939989        0.89932       0.717393       0.539406     -0.0289445      -0.557221 
           4.4        57.6155        1.17777         0.9387       0.896978       0.711726       0.529696     -0.0460736      -0.581468 
