                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2               4.6492              1.41663             0.982311             0.973405             0.913149             0.870415             0.650483             0.487929 
                 0.4              9.34828                1.406             0.966264             0.949327             0.837105             0.758901             0.369956             0.100398 
                 0.6               14.144              1.39334             0.952787             0.929003             0.775217             0.668927             0.159467             -0.17554 
                 0.8              19.0771              1.37913             0.942082             0.912628             0.727268             0.598995            0.0070649            -0.368125 
                   1              24.1796              1.36374             0.933789             0.899636             0.690775              0.54488            -0.103301            -0.505673 
                 1.2              29.4725              1.34747             0.927308             0.889148             0.662581             0.501879            -0.185784            -0.609269 
                 1.4              34.9643              1.33065              0.92205             0.880324             0.639896             0.466103            -0.250557             -0.69213 
                 1.6              40.6505              1.31363             0.917565             0.872529             0.620693             0.434834            -0.304107            -0.761742 
                 1.8              46.5138              1.29675             0.913551             0.865347             0.603661             0.406382            -0.350284             -0.82212 
                   2              52.5254              1.28031             0.909826             0.858533             0.588027             0.379783            -0.391281            -0.875377 
                 2.2              58.6463              1.26455             0.906291             0.851964             0.573361             0.354542            -0.428329             -0.92266 
                 2.4               64.829              1.24969             0.902898             0.845585             0.559446             0.330434            -0.462134            -0.964662 
                 2.6              71.0198              1.23583             0.899626             0.839386             0.546182             0.307386            -0.493129             -1.00189 
                 2.8              77.1596              1.22307             0.896472              0.83338             0.533531               0.2854            -0.521619             -1.03481 
                   3              83.1862              1.21143             0.893442             0.827595             0.521492             0.264515            -0.547839             -1.06383 
                 3.2              89.0358              1.20095             0.890544              0.82206             0.510076             0.244791             -0.57198             -1.08937 
                 3.4              94.6451              1.19162             0.887794             0.816811             0.499311             0.226297            -0.594196             -1.11175 
                 3.6              99.9536              1.18343             0.885203             0.811884             0.489224             0.209105            -0.614604             -1.13131 
                 3.8              104.907              1.17636             0.882785             0.807313             0.479849             0.193286            -0.633293             -1.14831 
                   4              109.459              1.17037             0.880553             0.803127             0.471217               0.1789             -0.65032             -1.16295 
                 4.2              113.575              1.16543             0.878515             0.799347             0.463351             0.165992            -0.665711             -1.17541 
                 4.4              117.235              1.16148             0.876675             0.795985             0.456264             0.154585            -0.679464             -1.18576 
                 4.6              120.429              1.15845             0.875038             0.793047             0.449971             0.144693            -0.691549             -1.19408 
                 4.8              123.163              1.15626             0.873605             0.790534             0.444485             0.136323             -0.70193             -1.20043 
                   5              125.455              1.15487              0.87238             0.788451             0.439815              0.12947            -0.710605             -1.20494 
                 5.2               127.33              1.15419             0.871361             0.786787              0.43595             0.124079            -0.717667             -1.20789 
                 5.4              128.819               1.1541              0.87054             0.785511             0.432844             0.119998             -0.72331             -1.20975 
                 5.6              129.961              1.15445             0.869901              0.78457             0.430423             0.117011            -0.727749               -1.211 
                 5.8              130.804              1.15506             0.869423             0.783904             0.428605             0.114894            -0.731169             -1.21197 
                   6              131.398              1.15576             0.869083             0.783455             0.427298             0.113446            -0.733716             -1.21281 
                 6.2              131.796              1.15644             0.868854             0.783168             0.426409             0.112501            -0.735521             -1.21353 
                 6.4              132.047                1.157             0.868709             0.782996             0.425842             0.111919            -0.736721              -1.2141 
                 6.6              132.197              1.15743             0.868625             0.782901             0.425507             0.111588            -0.737461             -1.21452 
                 6.8               132.28              1.15772             0.868579             0.782854             0.425324             0.111417            -0.737883              -1.2148 
                   7              132.322              1.15789             0.868557             0.782833             0.425233             0.111337            -0.738103             -1.21495 
                 7.2              132.343              1.15799             0.868546             0.782825             0.425191             0.111304            -0.738207             -1.21504 
                 7.4              132.351              1.15804             0.868543             0.782822             0.425174             0.111292            -0.738253             -1.21507 
                 7.6              132.355              1.15806             0.868541             0.782822             0.425167             0.111289             -0.73827             -1.21509 
                 7.8              132.356              1.15807              0.86854             0.782822             0.425165             0.111288            -0.738277             -1.21509 
                   8              132.357              1.15807              0.86854             0.782822             0.425165             0.111288            -0.738279              -1.2151 
                 8.2              132.357              1.15808              0.86854             0.782822             0.425165             0.111288            -0.738279              -1.2151 
                 8.4              132.357              1.15808              0.86854             0.782821             0.425165             0.111288            -0.738279              -1.2151 
                 8.6              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                 8.8              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                   9              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                 9.2              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                 9.4              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                 9.6              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                 9.8              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                  10              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                10.2              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                10.4              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                10.6              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                10.8              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                  11              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                11.2              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
                11.4              132.357              1.15808              0.86854             0.782821             0.425164             0.111288            -0.738279              -1.2151 
