                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              3.69154              2.05423             0.981385             0.976348             0.908581             0.884403             0.631866             0.539841 
                 0.4              7.44251              2.03348             0.964492             0.954829             0.828462             0.783822             0.335863             0.181806 
                 0.6              11.3108              2.00578              0.95031             0.936548             0.763285             0.701739             0.113922           -0.0804491 
                 0.8              15.3512              1.97225              0.93909             0.921752             0.713015             0.637423           -0.0457699            -0.267521 
                   1              19.6133              1.93402             0.930493             0.910017             0.675197             0.587599            -0.159817            -0.402375 
                 1.2              24.1395              1.89221             0.923901             0.900609             0.646534              0.54827            -0.243359            -0.503663 
                 1.4               28.963              1.84797             0.918679              0.89278             0.623998              0.51589            -0.307666            -0.584156 
                 1.6              34.1055              1.80246             0.914318             0.885924             0.605273             0.487792            -0.360204            -0.651765 
                 1.8              39.5763              1.75676             0.910451             0.879603              0.58878             0.462166            -0.405568            -0.711089 
                   2              45.3709              1.71183             0.906843             0.873535             0.573526             0.437877            -0.446429            -0.764668 
                 2.2              51.4716              1.66845             0.903357             0.867549             0.558934             0.414267            -0.484255            -0.813799 
                 2.4              57.8483              1.62721             0.899916             0.861553             0.544695                0.391            -0.519771            -0.859057 
                 2.6              64.4602              1.58851             0.896485             0.855509             0.530678             0.367957            -0.553276            -0.900615 
                 2.8              71.2583              1.55259              0.89306             0.849421              0.51686             0.345151            -0.584834            -0.938473 
                   3              78.1874              1.51954             0.889651             0.843312             0.503284             0.322676            -0.614416            -0.972607 
                 3.2               85.189              1.48933             0.886277             0.837223             0.490018             0.300658            -0.641994             -1.00308 
                 3.4              92.2035              1.46187             0.882962             0.831195             0.477134             0.279223            -0.667593             -1.03007 
                 3.6               99.173                1.437             0.879725             0.825271             0.464686             0.258473            -0.691301             -1.05385 
                 3.8              106.043              1.41454             0.876581             0.819482             0.452706             0.238475            -0.713269             -1.07475 
                   4              112.763              1.39429             0.873531             0.813845             0.441183             0.219243            -0.733721             -1.09315 
                 4.2              119.284              1.37607             0.870565             0.808359             0.430053             0.200733            -0.752937             -1.10935 
                 4.4              125.557              1.35972             0.867664             0.803009             0.419229             0.182899            -0.771097             -1.12341 
                 4.6              131.531              1.34512              0.86481             0.797795              0.40867             0.165761             -0.78822             -1.13523 
                 4.8              137.154              1.33218             0.862006             0.792734             0.398389             0.149388            -0.804274             -1.14476 
                   5              142.379              1.32081             0.859267             0.787861             0.388446              0.13389            -0.819154             -1.15197 
                 5.2              147.172              1.31092             0.856617             0.783214             0.378916             0.119383            -0.832731             -1.15682 
                 5.4              151.512              1.30241             0.854067             0.778822             0.369861             0.105964            -0.844868              -1.1593 
                 5.6              155.385              1.29518             0.851635             0.774716             0.361354            0.0937453            -0.855393             -1.15937 
                 5.8              158.788              1.28915             0.849351             0.770943             0.353509            0.0828697            -0.864158             -1.15719 
                   6              161.711              1.28427             0.847248              0.76755             0.346411            0.0733915            -0.871298             -1.15339 
                 6.2              164.147              1.28045             0.845354             0.764562             0.340109            0.0652735            -0.877106              -1.1488 
                 6.4              166.101              1.27756             0.843701             0.762006             0.334665            0.0584845            -0.881779             -1.14403 
                 6.6              167.601              1.27548             0.842321             0.759907             0.330155            0.0530146            -0.885395             -1.13951 
                 6.8              168.697              1.27407              0.84123             0.758274             0.326621             0.048831            -0.888023             -1.13553 
                   7              169.453              1.27316             0.840426             0.757082             0.324035             0.045828            -0.889802             -1.13234 
                 7.2              169.943              1.27262             0.839877             0.756276             0.322281            0.0438208             -0.89093             -1.13004 
                 7.4              170.241              1.27233             0.839534             0.755774             0.321186            0.0425776            -0.891609             -1.12855 
                 7.6               170.41              1.27218             0.839337             0.755487             0.320558            0.0418671            -0.891996             -1.12771 
                 7.8              170.497              1.27212             0.839234             0.755337             0.320229            0.0414941            -0.892206             -1.12728 
                   8               170.54               1.2721             0.839185             0.755266             0.320071             0.041315            -0.892312             -1.12708 
                 8.2              170.558              1.27209             0.839164             0.755236             0.320003            0.0412368            -0.892361             -1.12701 
                 8.4              170.565              1.27209             0.839156             0.755224             0.319976            0.0412058            -0.892382             -1.12698 
                 8.6              170.568              1.27209             0.839153              0.75522             0.319967            0.0411949             -0.89239             -1.12697 
                 8.8              170.569              1.27209             0.839152             0.755218             0.319964            0.0411914            -0.892392             -1.12697 
                   9              170.569              1.27209             0.839152             0.755218             0.319963            0.0411905            -0.892393             -1.12697 
                 9.2              170.569              1.27209             0.839152             0.755218             0.319962            0.0411902            -0.892393             -1.12697 
                 9.4              170.569              1.27209             0.839152             0.755218             0.319962            0.0411902            -0.892393             -1.12697 
                 9.6              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                 9.8              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                  10              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                10.2              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                10.4              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                10.6              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                10.8              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                  11              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                11.2              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                11.4              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                11.6              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                11.8              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
                  12              170.569              1.27209             0.839152             0.755218             0.319962            0.0411901            -0.892393             -1.12697 
