            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        1.00447        2.79971       0.993647        0.99262       0.968424       0.963353       0.869208       0.848565 
           0.4        2.02233        2.77992       0.987793        0.98578        0.93966       0.929847       0.753278       0.714503 
           0.6        3.06683        2.75013       0.982776       0.979841       0.915268       0.901113       0.657433       0.602912 
           0.8        4.15092         2.7113        0.97873       0.974951       0.895773       0.877692       0.582468       0.514222 
             1        5.28693        2.66459       0.975607       0.971058       0.880816        0.85919       0.525885       0.445512 
           1.2        6.48636        2.61126       0.973241       0.967992       0.869531       0.844695       0.483657       0.392381 
           1.4        7.75935        2.55274       0.971432       0.965542       0.860935       0.833154       0.451688       0.350437 
           1.6        9.11434        2.49049       0.970008        0.96352       0.854168       0.823644       0.426595       0.316063 
           1.8        10.5576        2.42597       0.968828       0.961774       0.848572       0.815452       0.405892         0.2866 
             2        12.0929        2.36057       0.967801       0.960198       0.843698       0.808073       0.387894       0.260218 
           2.2        13.7212        2.29551        0.96686        0.95872       0.839242       0.801168       0.371502       0.235711 
           2.4         15.441        2.23183       0.965964       0.957291       0.835016       0.794516       0.356035       0.212303 
           2.6        17.2478        2.17037       0.965094       0.955881       0.830907       0.787978        0.34109       0.189519 
           2.8         19.135        2.11175        0.96423       0.954473        0.82685       0.781471        0.32644       0.167079 
             3        21.0941         2.0564       0.963369       0.953056       0.822819       0.774955       0.311977       0.144839 
           3.2        23.1149        2.00456       0.962508       0.951627       0.818796       0.768408       0.297663       0.122736 
           3.4        25.1863        1.95633       0.961648       0.950187       0.814786        0.76183       0.283504       0.100767 
           3.6         27.297        1.91169       0.960791       0.948736       0.810801       0.755233       0.269531      0.0789588 
           3.8        29.4353        1.87051       0.959938        0.94728       0.806849       0.748632       0.255782      0.0573532 
             4        31.5906        1.83258       0.959093       0.945821       0.802945       0.742045       0.242294      0.0359925 
           4.2        33.7527        1.79765       0.958258       0.944364       0.799098       0.735484        0.22909      0.0149051 
           4.4        35.9129        1.76544       0.957435       0.942911       0.795314        0.72896       0.216177    -0.00590199 
           4.6        38.0644        1.73568       0.956624        0.94146       0.791586       0.722468       0.203529     -0.0264536 
           4.8        40.2013        1.70807        0.95582        0.94001         0.7879       0.715989       0.191077     -0.0468211 
             5        42.3191        1.68235       0.955014        0.93855       0.784217       0.709485       0.178694     -0.0671333 
           5.2        44.4134        1.65833       0.954196       0.937067       0.780482       0.702892       0.166185     -0.0875843 
           5.4        46.4786        1.63584       0.953347       0.935539        0.77661       0.696118       0.153271      -0.108438 
           5.6        48.5063         1.6148       0.952443       0.933939       0.772498       0.689049       0.139619      -0.129982 
           5.8        50.4853        1.59515       0.951459       0.932238       0.768031       0.681574       0.124929      -0.152403 
             6        52.4013        1.57691       0.950371       0.930411       0.763128       0.673618       0.109054      -0.175661 
           6.2        54.2389        1.56008       0.949171        0.92845       0.757759       0.665184      0.0920786      -0.199436 
           6.4         55.981        1.54469       0.947861       0.926365       0.751964       0.656349      0.0742559      -0.223273 
           6.6        57.6077        1.53079       0.946457       0.924182       0.745822       0.647243       0.055909      -0.246689 
           6.8        59.1007        1.51843       0.944994       0.921948       0.739487        0.63808      0.0375806      -0.268971 
             7        60.4343         1.5077       0.943509       0.919723       0.733139        0.62912      0.0198315      -0.289455 
           7.2         61.579        1.49871       0.942056       0.917582       0.726986        0.62064     0.00315607      -0.307692 
           7.4        62.5157         1.4915       0.940696        0.91561       0.721282        0.61296     -0.0118409      -0.323188 
           7.6        63.2412          1.486       0.939496       0.913899       0.716306       0.606411      -0.024489      -0.335449 
           7.8        63.7697        1.48203       0.938516       0.912519       0.712284        0.60123     -0.0343237      -0.344323 
             8        64.1292        1.47935       0.937782       0.911498       0.709307       0.597472     -0.0413146       -0.35018 
           8.2        64.3563        1.47766       0.937282       0.910812       0.707305       0.594986     -0.0458473      -0.353725 
           8.4        64.4886        1.47669       0.936977       0.910394       0.706089       0.593492     -0.0485259      -0.355708 
           8.6        64.5592        1.47618       0.936809       0.910164       0.705423       0.592681     -0.0499658      -0.356734 
           8.8        64.5935        1.47593       0.936726       0.910052       0.705095       0.592284     -0.0506671      -0.357223 
             9        64.6085        1.47583       0.936689       0.910002       0.704951       0.592109     -0.0509748      -0.357436 
           9.2        64.6144        1.47579       0.936674       0.909983       0.704894        0.59204     -0.0510957       -0.35752 
           9.4        64.6165        1.47577       0.936669       0.909976       0.704874       0.592016     -0.0511379       -0.35755 
           9.6        64.6171        1.47577       0.936668       0.909974       0.704868       0.592009      -0.051151      -0.357559 
           9.8        64.6173        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511545      -0.357561 
            10        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511553      -0.357562 
          10.2        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          10.4        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          10.6        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          10.8        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
            11        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          11.2        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          11.4        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          11.6        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          11.8        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
            12        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          12.2        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          12.4        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          12.6        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          12.8        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
            13        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          13.2        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          13.4        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          13.6        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
          13.8        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
            14        64.6174        1.47577       0.936667       0.909973       0.704866       0.592007     -0.0511555      -0.357562 
