                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              8.53044              1.01456             0.971141             0.944009             0.860346             0.733506             0.457023           0.00505493 
                 0.4              17.0744              1.00516             0.944835             0.893616             0.741051             0.516481            0.0642702            -0.607881 
                 0.6              25.6362             0.996742             0.922357             0.850989             0.644958             0.349303            -0.203111            -0.947401 
                 0.8              34.2025             0.989491             0.903958             0.816312             0.570031             0.223626            -0.381809             -1.12354 
                   1               42.736             0.983346             0.889111             0.788383             0.511732             0.128302            -0.504296             -1.21386 
                 1.2              51.1714             0.978111             0.876967             0.765515             0.465276            0.0535683            -0.592748             -1.26105 
                 1.4              59.4165             0.973594             0.866722             0.746197             0.426887           -0.0074192            -0.660018             -1.28456 
                 1.6              67.3579             0.969661             0.857801             0.729378             0.394092            -0.058792            -0.712933             -1.29255 
                 1.8              74.8713             0.966252             0.849869             0.714472             0.365496            -0.102811             -0.75518              -1.2892 
                   2              81.8341             0.963353             0.842777             0.701213             0.340397            -0.140679             -0.78904             -1.27773 
                 2.2              88.1399             0.960969             0.836475             0.689509             0.318457            -0.173083            -0.816156             -1.26103 
                 2.4              93.7124             0.959102             0.830954             0.679341             0.299501            -0.200467             -0.83774             -1.24145 
                 2.6              98.5141             0.957744             0.826213             0.670701             0.283416            -0.223142            -0.854659             -1.22074 
                 2.8              102.546             0.956876             0.822241             0.663559              0.27008            -0.241403            -0.867598             -1.20026 
                   3               105.83             0.956442             0.818991             0.657817              0.25927            -0.255731            -0.877355             -1.18142 
                 3.2              108.412             0.956348             0.816401             0.653328             0.250715            -0.266712             -0.88471              -1.1654 
                 3.4              110.357             0.956489             0.814406             0.649937             0.244149            -0.274897            -0.890244             -1.15276 
                 3.6              111.756             0.956763             0.812937             0.647487             0.239315             -0.28077            -0.894326             -1.14346 
                 3.8              112.709             0.957084             0.811915             0.645816             0.235947            -0.284767            -0.897222             -1.13709 
                   4               113.32              0.95739             0.811252             0.644755             0.233752            -0.287313            -0.899171             -1.13307 
                 4.2              113.688             0.957642             0.810855             0.644135             0.232429            -0.288812            -0.900404             -1.13078 
                 4.4              113.894             0.957827             0.810637             0.643804             0.231696             -0.28962            -0.901133             -1.12961 
                 4.6              114.001             0.957948             0.810528             0.643646             0.231326            -0.290015            -0.901533             -1.12909 
                 4.8              114.052              0.95802             0.810478             0.643577             0.231156            -0.290189            -0.901734             -1.12889 
                   5              114.075             0.958058             0.810459             0.643551             0.231085            -0.290257            -0.901826             -1.12883 
                 5.2              114.083             0.958075             0.810451             0.643543             0.231059             -0.29028            -0.901864             -1.12881 
                 5.4              114.087             0.958083             0.810448              0.64354              0.23105            -0.290287            -0.901879             -1.12881 
                 5.6              114.088             0.958085             0.810448              0.64354             0.231047            -0.290289            -0.901883             -1.12881 
                 5.8              114.088             0.958086             0.810448              0.64354             0.231047            -0.290289            -0.901884             -1.12881 
                   6              114.088             0.958086             0.810448              0.64354             0.231047             -0.29029            -0.901885             -1.12881 
                 6.2              114.088             0.958086             0.810448              0.64354             0.231047             -0.29029            -0.901885             -1.12881 
                 6.4              114.088             0.958087             0.810448              0.64354             0.231047             -0.29029            -0.901885             -1.12881 
                 6.6              114.088             0.958087             0.810448              0.64354             0.231047             -0.29029            -0.901885             -1.12881 
                 6.8              114.088             0.958087             0.810448              0.64354             0.231047             -0.29029            -0.901885             -1.12881 
                   7              114.088             0.958087             0.810448              0.64354             0.231047             -0.29029            -0.901885             -1.12881 
                 7.2              114.088             0.958087             0.810448              0.64354             0.231047             -0.29029            -0.901885             -1.12881 
                 7.4              114.088             0.958087             0.810448              0.64354             0.231047             -0.29029            -0.901885             -1.12881 
                 7.6              114.088             0.958087             0.810448              0.64354             0.231047             -0.29029            -0.901885             -1.12881 
                 7.8              114.088             0.958087             0.810448              0.64354             0.231047             -0.29029            -0.901885             -1.12881 
                   8              114.088             0.958087             0.810448              0.64354             0.231047             -0.29029            -0.901885             -1.12881 
