            dY             K1          K2/K1          K3/K1          K4/K2          K5/K1          K6/K2          K7/K1          K8/K2 
           0.2        3.25048       0.997109       0.991349       0.982733       0.957168        0.91493       0.824195       0.654874 
           0.4        6.52299       0.994403       0.983289       0.966708       0.918019       0.838234       0.670714       0.365012 
           0.6        9.83752       0.992011       0.976197       0.952657       0.884165       0.772741       0.543546       0.133772 
           0.8        13.2102       0.989984       0.970203       0.940812       0.855963       0.718751       0.441413     -0.0457761 
             1        16.6518       0.988291       0.965216       0.930978       0.832766        0.67469       0.359782      -0.185431 
           1.2        20.1667       0.986867       0.961027        0.92272       0.813433       0.638164       0.293187      -0.297041 
           1.4        23.7523        0.98563       0.957394       0.915565        0.79678        0.60683       0.236801      -0.389957 
           1.6        27.3989       0.984511       0.954116       0.909113       0.781847       0.578849       0.187073      -0.470535 
           1.8        31.0899       0.983464        0.95105       0.903085       0.767973       0.552975       0.141686      -0.542702 
             2        34.8023       0.982458       0.948109       0.897308       0.754754       0.528449      0.0992573      -0.608757 
           2.2         38.508       0.981476       0.945243       0.891686       0.741963       0.504852      0.0590111      -0.670017 
           2.4        42.1743       0.980508       0.942426       0.886171       0.729486       0.481963      0.0205288      -0.727239 
           2.6        45.7648       0.979554       0.939651       0.880744       0.717274        0.45968     -0.0164103      -0.780881 
           2.8        49.2402       0.978611       0.936913       0.875397        0.70531       0.437963     -0.0519094      -0.831206 
             3        52.5599        0.97768       0.934218        0.87014       0.693608       0.416835     -0.0859583      -0.878265 
           3.2        55.6842       0.976767       0.931575       0.864994       0.682218       0.396388      -0.118412      -0.921846 
           3.4        58.5767       0.975877       0.929005       0.859998       0.671223       0.376786      -0.148993      -0.961501 
           3.6        61.2075       0.975019       0.926533       0.855206       0.660751        0.35827      -0.177302      -0.996631 
           3.8        63.5548       0.974208       0.924201       0.850699       0.650972       0.341157      -0.202856       -1.02664 
             4        65.5999       0.973458       0.922053       0.846567       0.642075       0.325764      -0.225252       -1.05127 
           4.2        67.3259       0.972788       0.920137       0.842893       0.634224       0.312333        -0.2443       -1.07081 
           4.4        68.7276       0.972212       0.918492       0.839752       0.627557       0.301039      -0.259954       -1.08583 
           4.6        69.8165        0.97174        0.91715       0.837195       0.622157       0.291964      -0.272294       -1.09699 
           4.8        70.6208       0.971376       0.916116       0.835231       0.618025       0.285064       -0.28154       -1.10495 
             5        71.1825       0.971115       0.915374       0.833821       0.615067       0.280144      -0.288062       -1.11037 
           5.2        71.5513        0.97094       0.914879       0.832883       0.613104       0.276885      -0.292359       -1.11386 
           5.4        71.7778       0.970834       0.914577       0.832309       0.611903       0.274892      -0.294983       -1.11599 
           5.6        71.9072       0.970775       0.914408       0.831988       0.611231       0.273775       -0.29646       -1.11721 
           5.8        71.9753       0.970745       0.914323       0.831825       0.610889       0.273203      -0.297221       -1.11785 
             6        72.0084       0.970731       0.914283       0.831749       0.610731       0.272938      -0.297578       -1.11817 
           6.2         72.023       0.970725       0.914267       0.831719       0.610665       0.272827      -0.297729       -1.11831 
           6.4        72.0289       0.970722        0.91426       0.831707        0.61064       0.272786      -0.297787       -1.11836 
           6.6         72.031       0.970722       0.914258       0.831703       0.610632       0.272772      -0.297806       -1.11838 
           6.8        72.0316       0.970722       0.914258       0.831702        0.61063       0.272767      -0.297812       -1.11839 
             7        72.0318       0.970722       0.914258       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           7.2        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           7.4        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           7.6        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           7.8        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
             8        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           8.2        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           8.4        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           8.6        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           8.8        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
             9        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           9.2        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           9.4        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           9.6        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
           9.8        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
            10        72.0319       0.970722       0.914257       0.831702       0.610629       0.272766      -0.297814       -1.11839 
