                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              6.05019             0.994724             0.984245             0.968611              0.92265               0.8473             0.688737             0.398893 
                 0.4              12.1548              0.98986             0.969844             0.940131              0.85441             0.716034             0.437011           -0.0512285 
                 0.6              18.3635             0.985672             0.957543             0.915953             0.797919             0.609882             0.244827            -0.368702 
                 0.8              24.7168             0.982224             0.947475             0.896256              0.75283             0.526717             0.101439            -0.589001 
                   1              31.2423             0.979417             0.939313             0.880326             0.716936             0.461359          -0.00707572            -0.746233 
                 1.2              37.9524             0.977079             0.932538             0.867115             0.687522             0.408265           -0.0927292            -0.864754 
                 1.4              44.8422             0.975043             0.926655             0.855654             0.662263             0.363015            -0.163901            -0.959053 
                 1.6              51.8894             0.973185             0.921298             0.845234             0.639534             0.322657            -0.225688             -1.03683 
                 1.8              59.0545             0.971424             0.916241             0.835426             0.618365             0.285479            -0.280898             -1.10199 
                   2              66.2824             0.969724             0.911369             0.826007             0.598264              0.25061             -0.33097             -1.15662 
                 2.2              73.5046             0.968067             0.906642             0.816898             0.579039             0.217686            -0.376615             -1.20208 
                 2.4              80.6423             0.966456              0.90206             0.808099             0.560669             0.186618            -0.418196             -1.23947 
                 2.6              87.6108               0.9649              0.89765             0.799656              0.54322             0.157445             -0.45594             -1.26988 
                 2.8              94.3233             0.963415             0.893451             0.791631             0.526793             0.130253            -0.490032             -1.29436 
                   3              100.696             0.962014             0.889499             0.784095             0.511489             0.105134            -0.520651             -1.31392 
                 3.2              106.655             0.960712              0.88583             0.777104             0.497395            0.0821558            -0.547975             -1.32944 
                 3.4              112.134             0.959517              0.88247             0.770705             0.484574            0.0613657            -0.572165             -1.34164 
                 3.6              117.085             0.958436             0.879436             0.764929             0.473066            0.0427933            -0.593338             -1.35098 
                 3.8               121.48             0.957474             0.876739             0.759797             0.462894            0.0264589            -0.611575              -1.3578 
                   4              125.305             0.956634             0.874384              0.75532              0.45407            0.0123796             -0.62693             -1.36235 
                 4.2              128.569             0.955916             0.872377              0.75151             0.446605           0.00056105            -0.639476             -1.36492 
                 4.4              131.296             0.955321             0.870716             0.748368             0.440484          -0.00904135            -0.649373             -1.36595 
                 4.6              133.517             0.954845             0.869391             0.745865             0.435636           -0.0165833            -0.656943             -1.36606 
                 4.8              135.272             0.954479             0.868372             0.743946             0.431931           -0.0223195             -0.66261             -1.36587 
                   5               136.61             0.954209             0.867622             0.742532             0.429205           -0.0265393             -0.66678             -1.36579 
                 5.2              137.588              0.95402             0.867096             0.741538             0.427286           -0.0295282            -0.669784             -1.36595 
                 5.4              138.271             0.953894             0.866747             0.740876             0.426001            -0.031549            -0.671877             -1.36632 
                 5.6              138.722             0.953817             0.866529             0.740462             0.425193           -0.0328388            -0.673267             -1.36676 
                 5.8              139.004             0.953772             0.866404             0.740221             0.424721           -0.0336069            -0.674132             -1.36717 
                   6              139.168             0.953748             0.866337             0.740093             0.424466           -0.0340289            -0.674631             -1.36749 
                 6.2              139.257             0.953737             0.866305              0.74003             0.424341            -0.034241            -0.674895              -1.3677 
                 6.4              139.302             0.953732             0.866292             0.740003             0.424285           -0.0343377            -0.675022             -1.36783 
                 6.6              139.323              0.95373             0.866286             0.739992             0.424263           -0.0343774            -0.675077             -1.36789 
                 6.8              139.332             0.953729             0.866284             0.739988             0.424255            -0.034392            -0.675098             -1.36792 
                   7              139.335             0.953729             0.866284             0.739987             0.424253           -0.0343968            -0.675106             -1.36793 
                 7.2              139.336             0.953729             0.866283             0.739987             0.424252           -0.0343981            -0.675108             -1.36793 
                 7.4              139.337             0.953729             0.866283             0.739987             0.424252           -0.0343985            -0.675109             -1.36793 
                 7.6              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343985            -0.675109             -1.36793 
                 7.8              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343985            -0.675109             -1.36793 
                   8              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343986            -0.675109             -1.36793 
                 8.2              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343986            -0.675109             -1.36793 
                 8.4              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343986            -0.675109             -1.36793 
                 8.6              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343986            -0.675109             -1.36793 
                 8.8              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343986            -0.675109             -1.36793 
                   9              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343986            -0.675109             -1.36793 
                 9.2              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343986            -0.675109             -1.36793 
                 9.4              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343986            -0.675109             -1.36793 
                 9.6              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343986            -0.675109             -1.36793 
                 9.8              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343986            -0.675109             -1.36793 
                  10              139.337             0.953729             0.866284             0.739987             0.424252           -0.0343986            -0.675109             -1.36793 
