                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              7.66238             0.993564             0.980799             0.961773             0.906086             0.815098              0.62548             0.282134 
                 0.4              15.3908               0.9876             0.963194             0.927035             0.823625              0.65781             0.330058             -0.23175 
                 0.6              23.2458             0.982422             0.948051             0.897385             0.755396             0.531434             0.109478            -0.576751 
                 0.8              31.2774             0.978116             0.935554             0.873053             0.700841              0.43279           -0.0519072            -0.803911 
                   1              39.5209             0.974581             0.925356             0.853261             0.657354             0.355521             -0.17192            -0.957804 
                 1.2              47.9936             0.971629              0.91687             0.836816             0.621781             0.293068            -0.265072             -1.06824 
                 1.4              56.6929             0.969062             0.909517             0.822583              0.59139             0.240244            -0.341141             -1.15189 
                 1.6              65.5954             0.966727             0.902852             0.809704             0.564236             0.193559            -0.405956             -1.21707 
                 1.8              74.6575             0.964524             0.896586             0.797628             0.539109              0.15093            -0.462741             -1.26778 
                   2              83.8167             0.962397             0.890557              0.78605             0.515347              0.11123            -0.513218             -1.30624 
                 2.2              92.9944             0.960318             0.884693             0.774835             0.492646            0.0739129            -0.558337             -1.33399 
                 2.4              102.099             0.958284             0.878978             0.763946             0.470906            0.0387532            -0.598676             -1.35245 
                 2.6              111.033             0.956301             0.873427             0.753407             0.450142           0.00569229            -0.634638             -1.36296 
                 2.8              119.693              0.95438              0.86807             0.743269             0.430415           -0.0252631            -0.666572             -1.36686 
                   3               127.98             0.952535             0.862938             0.733582             0.411787           -0.0541035            -0.694813              -1.3654 
                 3.2              135.797             0.950776             0.858062             0.724399             0.394323           -0.0807975            -0.719611             -1.35955 
                 3.4              143.055             0.949118             0.853481              0.71579              0.37813             -0.10522            -0.741046             -1.34997 
                 3.6              149.682             0.947579             0.849242             0.707849             0.363351            -0.127205            -0.759203             -1.33754 
                 3.8               155.63             0.946179             0.845391             0.700652             0.350094            -0.146662            -0.774294             -1.32326 
                   4               160.88             0.944923             0.841951             0.694243             0.338406            -0.163576            -0.786536             -1.30791 
                 4.2               165.43              0.94382             0.838938             0.688648             0.328306            -0.177954            -0.796128             -1.29215 
                 4.4                169.3             0.942873             0.836359             0.683881             0.319794            -0.189852            -0.803345             -1.27676 
                 4.6              172.515             0.942082             0.834212             0.679933             0.312812            -0.199442            -0.808618             -1.26268 
                 4.8              175.109             0.941442             0.832481             0.676759             0.307242            -0.206994            -0.812464              -1.2507 
                   5              177.131             0.940945             0.831134             0.674293             0.302935            -0.212797            -0.815314             -1.24127 
                 5.2              178.647             0.940573             0.830129             0.672455             0.299726            -0.217126            -0.817459              -1.2344 
                 5.4              179.733              0.94031             0.829418             0.671149             0.297443            -0.220229            -0.819069             -1.22976 
                 5.6              180.472             0.940134             0.828942             0.670273             0.295906            -0.222343            -0.820245             -1.22688 
                 5.8              180.948             0.940025             0.828646             0.669725             0.294937            -0.223698            -0.821063             -1.22525 
                   6              181.236             0.939961             0.828474             0.669406             0.294369            -0.224507            -0.821594             -1.22442 
                 6.2                181.4             0.939929             0.828383             0.669234             0.294062            -0.224954            -0.821916             -1.22406 
                 6.4              181.486             0.939912             0.828338              0.66915              0.29391            -0.225181            -0.822094             -1.22393 
                 6.6              181.527             0.939905             0.828319             0.669112             0.293841            -0.225286            -0.822184             -1.22389 
                 6.8              181.546             0.939902             0.828311             0.669097             0.293813            -0.225331            -0.822226             -1.22389 
                   7              181.554             0.939901             0.828308             0.669091             0.293802            -0.225348            -0.822243             -1.22389 
                 7.2              181.557             0.939901             0.828307              0.66909             0.293798            -0.225354             -0.82225              -1.2239 
                 7.4              181.558             0.939901             0.828307             0.669089             0.293797            -0.225356            -0.822252              -1.2239 
                 7.6              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                 7.8              181.558             0.939901             0.828307             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                   8              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                 8.2              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                 8.4              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                 8.6              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                 8.8              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                   9              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                 9.2              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                 9.4              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                 9.6              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                 9.8              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
                  10              181.558             0.939901             0.828306             0.669089             0.293797            -0.225356            -0.822253              -1.2239 
