                  dY                   K1                K2/K1                K3/K1                K4/K2                K5/K1                K6/K2                K7/K1                K8/K2 
                 0.2              6.04799             0.996513             0.989569             0.979192             0.948476             0.897849             0.789693             0.589064 
                 0.4              12.1084              0.99334             0.980136             0.960468             0.902962             0.809136             0.614119             0.262198 
                 0.6              18.1937             0.990687             0.972284             0.944947             0.865839              0.73785             0.477961            0.0200816 
                 0.8              24.3166             0.988603             0.966143             0.932845             0.837254             0.683581             0.377233            -0.152319 
                   1              30.4903             0.987025             0.961505             0.923719             0.815899             0.643338             0.304043            -0.274232 
                 1.2              36.7281             0.985842              0.95803             0.916881             0.799994             0.613476             0.250425            -0.362126 
                 1.4              43.0432             0.984938             0.955383             0.911669             0.787916             0.590829             0.210058            -0.427791 
                 1.6              49.4489             0.984228               0.9533             0.907567             0.778432             0.573047             0.178495            -0.478965 
                 1.8              55.9575             0.983647             0.951597             0.904209             0.770683             0.558516             0.152782             -0.52057 
                   2              62.5802             0.983152             0.950146             0.901347             0.764092             0.546155             0.130973            -0.555774 
                 2.2              69.3261             0.982713             0.948862             0.898814             0.758265             0.535234             0.111768            -0.586662 
                 2.4              76.2016             0.982311             0.947684             0.896491             0.752932              0.52525            0.0942778            -0.614652 
                 2.6              83.2096              0.98193             0.946571             0.894296             0.747902             0.515846            0.0778788            -0.640725 
                 2.8              90.3491             0.981562             0.945492             0.892166             0.743038             0.506772            0.0621396            -0.665543 
                   3              97.6151             0.981197             0.944426             0.890067             0.738246             0.497857            0.0467711            -0.689539 
                 3.2              104.999             0.980831             0.943359             0.887966              0.73347             0.488997            0.0316006            -0.712948 
                 3.4              112.489             0.980463             0.942283             0.885853             0.728675             0.480132            0.0165374            -0.735887 
                 3.6              120.072              0.98009             0.941197             0.883718             0.723845             0.471234            0.0015365            -0.758417 
                 3.8              127.732             0.979712             0.940095             0.881558             0.718973             0.462291           -0.0134171            -0.780545 
                   4              135.454             0.979327             0.938979             0.879372             0.714057             0.453302           -0.0283257            -0.802279 
